Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,Virgin Islands,WI,,Bermuda,New England,New York,Philadelphia,Providence,Rhode Island,NA,,Dublin,IRE,,Isle of May,Madeira,SEU,,TOTAL,
,,1754,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate,boxes,,,,168.35,0,,,,,,,,0,0,,,,11,,,11,0,,0,0,,,0,0,11,0
Coffee,casks,,,,168.35,0,,,,,,,,0,0,,,,1,,,1,0,,0,0,,,0,0,1,0
Coffee,hhds,,,,168.35,0,,,,2,,,,2,0,,,,,,,0,0,,0,0,,,0,0,2,0
Cotton,packs,1.58,,6,168.35,5.631125631,,2,,,,,,2,11,,,,,,,0,0,,0,0,,,0,0,2,11
Cotton,pounds,1.58,,0.05,168.35,0.046926047,,,1610,,,,,1610,76,,,,,,,0,0,,0,0,,,0,0,1610,76
Flour,barrels,14.11,,0.089285714,168.35,0.748334677,,,,,,,,0,0,,,,3,,,3,2,,0,0,,,0,0,3,2
Loaf sugar,barrels,1.06,,6.25,168.35,3.935253935,,,,,,,,0,0,,,,8,,,8,31,,0,0,,,0,0,8,31
Molasses,gallons,2,,0.05,168.35,0.059400059,,,,,,,900,900,53,,393,,4240,,,4633,275,,0,0,,,0,0,5533,328
Negroes,,33.1,,1,100,33.1,,,40,,,,,40,1324,4,,,,,,4,132,,0,0,,,0,0,44,1456
Pig iron,tons,7.67,,1,168.35,4.555984556,,,,,,,,0,0,,,,160,,,160,729,,0,0,,,0,0,160,729
Pimento,bags,,,,168.35,0,,,,1,,,,1,0,,,,,,,0,0,,0,0,,,0,0,1,0
Rum,gallons,3.22,,0.05,168.35,0.095634096,,5160,31520,109,900,4410,1000,43099,4122,,554,659,4600,,202,6015,575,,0,0,800,,800,77,49914,4774
Salt,bushels,1.55,,0.05,168.35,0.046035046,1000,,,,,,,1000,46,,285,,,400,,685,32,,0,0,4000,,4000,184,5685,262
Servants,,12.03636364,,1,100,12.03636364,,,,,,,,0,0,,,,,,,0,0,40,40,481,,,0,0,40,481
Sugar,quarters,50.85,,0.0125,168.35,0.377561628,,3,20,,,,,23,9,,3,,,,,3,1,,0,0,,,0,0,26,10
Sugar,pounds,50.85,,0.000446429,168.35,0.013484344,,12,160,,12,,,184,2,,13,,,,,13,0,,0,0,,,0,0,197,2
Sugar,cwt,50.85,,0.05,168.35,1.51024651,,66,481,281,51,,90,969,1463,,8,,22,,,30,45,,0,0,,,0,0,999,1508
Wine,quarter casks,28.96,,0.25,168.35,4.300564301,,,,,,,,0,0,,,,12,,,12,52,,0,0,,30,30,129,42,181
Wine,pipes,28.96,,1,168.35,17.2022572,,,,,,,,0,0,,,,6,,,6,103,,0,0,,102,102,1755,108,1858
Wine,hhds,28.96,,0.5,168.35,8.601128601,,,,,,,,0,0,,,,2,,,2,17,,0,0,,35,35,301,37,318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,7106,,,,,,,,1994,,,481,,,,2446,,12027
