Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,Newcastle,North Carolina,Piscataqua,Salem,NA,,Liverpool,Glasgow,GB,,Cork,IRE,,Senegal,AFR,,Teneriff,SEU,,TOTAL,
,,1772,,,,Sterling,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cast iron,C,8.15,,0.05,160.83,0.253373127,,0,0,,,,,4,4,1,,,0,0,,0,0,,0,0,,0,0,4,1
Cheese,pounds,,,,160.83,0,,0,0,4396,,,90,1700,6186,0,,,0,0,,0,0,,0,0,,0,0,6186,0
Cheese,cwt,,,,160.83,0,,0,0,,,,,,0,0,,,0,0,5,5,0,,0,0,,0,0,5,0
Chocolate,pounds,,,,160.83,0,,0,0,1312,56,,212,936,2516,0,,,0,0,,0,0,,0,0,,0,0,2516,0
Convicts,,13.96,,1,100,13.96,,0,0,,,,,,0,0,,1,1,14,,0,0,,0,0,,0,0,1,14
Deer Skin,pounds,,,,160.83,0,,0,0,,,50,,,50,0,,,0,0,,0,0,,0,0,,0,0,50,0
Furs,bundles,,,,160.83,0,,0,0,,,1,,,1,0,,,0,0,,0,0,,0,0,,0,0,1,0
Linen,pieces,,,,160.83,0,,0,0,,,,,,0,0,,,0,0,16,16,0,,0,0,,0,0,16,0
Molasses,gallons,1.75,,0.05,160.83,0.054405273,,0,0,2205,,,1200,11465,14870,809,,,0,0,,0,0,,0,0,,0,0,14870,809
Negroes,,38.39,,1,100,38.39,5,5,192,,,,,,0,0,,,0,0,,0,0,86,86,3302,1,1,38,92,3532
Pepper,pounds,,,,160.83,0,,0,0,20,,,,,20,0,,,0,0,,0,0,,0,0,,0,0,20,0
Rum,gallons,3.44,,0.05,160.83,0.106945222,9050,9050,968,1814,400,,2050,9276,13540,1448,,,0,0,,0,0,,0,0,,0,0,22590,2416
Salt,bushels,1.85,,0.05,160.83,0.057514145,,0,0,175,,,737.5,261,1173.5,67,15246,,15246,877,,0,0,,0,0,,0,0,16419.5,944
Servants,,13.96,,1,100,13.96,,0,0,,,,,,0,0,,,0,0,10,10,140,,0,0,,0,0,10,140
Sterling cash,pounds,1,,1,100,1,,0,0,40,,,,,40,40,,,0,0,,0,0,,0,0,,0,0,40,40
Sugar,pounds,49.18,,0.000446429,160.83,0.013651282,9500,9500,130,4427,224,,448,15238,20337,278,,,0,0,,0,0,,0,0,,0,0,29837,408
Tar,barrels,14.32,,0.05,160.83,0.445190574,,0,0,,,55,,,55,24,,,0,0,,0,0,,0,0,,0,0,55,24
Tea,pounds,4.1,,0.05,160.83,0.127463782,,0,0,55,,,,,55,7,,,0,0,,0,0,,0,0,,0,0,55,7
Turpentine,barrels,16.69,,0.05,160.83,0.518870857,,0,0,,,10,,,10,5,,,0,0,,0,0,,0,0,,0,0,10,5
Wine,hhds,54.03,,0.5,160.83,16.79723932,2,2,34,,,,,,0,0,,,0,0,,0,0,,0,0,,0,0,2,34
Wine,gallons,54.03,,0.007936508,160.83,0.266622846,,0,0,,,,,330,330,88,,,0,0,,0,0,,0,0,375,375,100,705,188
Wine,quarter casks,54.03,,0.25,160.83,8.398619661,1,1,8,,,,,,0,0,,,0,0,,0,0,,0,0,,0,0,1,8
Wine,pipes,54.03,,1,160.83,33.59447864,3,3,101,,,,,,0,0,,,0,0,,0,0,,0,0,,0,0,3,101
Wrought iron,cwt,27.07,,0.05,160.83,0.841571846,,0,0,,,,,,0,0,5,,5,4,,0,0,,0,0,,0,0,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1433,,,,,,,2767,,,,895,,,140,,,3302,,,138,,8675
