Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,New England,North Carolina,Rhode Island,NA,,London,Bristol,Liverpool,Glasgow,Arbroath,GB,,TOTAL,
,,1741,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.74,,0.05,146.14,0.093745723,,0,0,,2,,,2,0,,,,,,0,0,2,0
Bread,pounds,19.58,,0.000446429,146.14,0.0059813,,0,0,,,,,0,0,,,,3500,,3500,21,3500,21
Corn,bushels,2.74,,0.05,146.14,0.093745723,11065,11065,1037,5995,5324,,800,12119,1136,,,,,,0,0,23184,2173
Deer Skin,pounds,,,,146.14,0,,0,0,,,,,0,0,,232,,,,232,0,232,0
Deer Skin,chests,,,,146.14,0,,0,0,,,,,0,0,,1,,,,1,0,1,0
Deer Skins,,,,,146.14,0,,0,0,,,,,0,0,2701,761,,,,3462,0,3462,0
Deer Skins,hhds,,,,146.14,0,,0,0,,,,,0,0,,1,,,,1,0,1,0
Flour,barrels,13.66,,0.089285714,146.14,0.834571546,1,1,1,,,,,0,0,,,,,,0,0,1,1
Heading,,4.5,,0.001,146.14,0.003079239,2808,2808,9,,,,,0,0,,,,,,0,0,2808,9
Iron,pigs,9.59,,,146.14,0,,0,0,,,,,0,0,81,921,,,,1002,0,1002,0
Iron,tons,9.59,,1,146.14,6.56220063,,0,0,,,,,0,0,750,212,,,,962,6313,962,6313
Peas,bushels,2.74,,0.05,146.14,0.093745723,80,80,7,30,40,,,70,7,,,,,,0,0,150,14
Pitch,barrels,17.54,,0.05,146.14,0.600109484,,0,0,,,,,0,0,,100,,,,100,60,100,60
Plank,pieces,7.2,,0.005,146.14,0.024633913,,0,0,4,,,,4,0,,,,,,0,0,4,0
Plank,feet,7.2,,0.0005,146.14,0.002463391,,0,0,350,574,,,924,2,1065,100,,2100,,3265,8,4189,10
Plank,C feet,7.2,,0.05,146.14,0.246339127,,0,0,,,,,0,0,15,,,,,15,4,15,4
Planks,,7.2,,0.005,146.14,0.024633913,,0,0,,,,,0,0,,96,,,,96,2,96,2
Pork,pounds,49.83,,0.00025,146.14,0.00852436,,0,0,,280,,,280,2,,,,,,0,0,280,2
Pork,barrels,49.83,,0.05,146.14,1.704872041,57,57,97,28,14,,,42,72,,,,20,,20,34,119,203
Rum,gallons,2.96,,0.05,146.14,0.101272752,,0,0,,158,113,60,331,34,833,,64,,,897,91,1228,125
Shingles,,,,,146.14,0,134700,134700,0,,,,,0,0,,,,,,0,0,134700,0
Skins,bundles,,,,146.14,0,,0,0,,,,,0,0,4,1,,,,5,0,5,0
Skins,cases,,,,146.14,0,,0,0,,,,,0,0,1,,,,,1,0,1,0
Skins,hhds,,,,146.14,0,,0,0,,,,,0,0,,5,,,,5,0,5,0
Skins,chests,,,,146.14,0,,0,0,,,,,0,0,,1,,,,1,0,1,0
Skins,casks,,,,146.14,0,,0,0,,,,,0,0,2,1,,,,3,0,3,0
Staves,,4.5,,0.001,146.14,0.003079239,10535,10535,32,,1200,,,1200,4,172150,39761,3560,2700,3500,221671,683,233406,719
Tar,barrels,14.08,,0.05,146.14,0.481729848,,0,0,,,,,0,0,,487,,,,487,235,487,235
Tobacco,hhds,14.83,,0.4705,146.14,4.774541536,3,3,14,,,,,0,0,11888,2956,263,157,205,15469,73857,15472,73871
Wheat,bushels,4.47,,0.05,146.14,0.152935541,,0,0,,48.5,,,48.5,7,,,,3500,,3500,535,3548.5,542
Wine,gallons,21.83,,0.007936508,146.14,0.11855342,,0,0,,,,,0,0,32,,,,,32,4,32,4
Wine,pipes,21.83,,1,146.14,14.93773094,,0,0,,,,,0,0,1,,,,,1,15,1,15
Wine,hhds,21.83,,0.5,146.14,7.468865471,,0,0,,,,,0,0,2,,,,,2,15,2,15
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1197,,,,,,1264,,,,,,,81877,,84338
