Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Bermuda,Boston,Rhode Island,South Carolina,NA,,London,Bristol,Hull,Liverpool,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1756,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,22.74,,1,172.57,13.1772614,,,,0,0,,,,,0,0,20,,,,,20,264,,0,0,20,264
Beef,barrels,48.96,,0.05,172.57,1.418554789,,20,,20,28,,,,,0,0,,,,,,0,0,54,54,77,74,105
Bread,barrels,21.21,,0.089285714,172.57,1.097380773,,,,0,0,,,,58,58,64,,,,,,0,0,,0,0,58,64
Bread,tierces,21.21,,0.11875,172.57,1.459516428,,61,37,98,143,,,,,0,0,,,,,,0,0,,0,0,98,143
Corn,bushels,2.5,,0.05,172.57,0.072434374,8467,42163.5,900,51530.5,3733,1500,650,1000,,3150,228,,,,,,0,0,600,600,43,55280.5,4004
Deer Skins,casks,,,,172.57,0,,,,0,0,,,,,0,0,,1,,,,1,0,,0,0,1,0
Deer Skins,hhds,,,,172.57,0,,,,0,0,,,,,0,0,2,,,,,2,0,,0,0,2,0
Flour,barrels,12.76,,0.089285714,172.57,0.660187584,,97,35,132,87,,20,,110,130,86,,,,,,0,0,,0,0,262,173
Handspikes,,,,,172.57,0,,,,0,0,,,,,0,0,60,72,,,,132,0,,0,0,132,0
Heading,,3.54,,0.001,172.57,0.002051341,,,,0,0,,,,,0,0,,,,,160,160,0,,0,0,160,0
Hoops,,,,,172.57,0,3400,,,3400,0,,,,,0,0,,,,,240,240,0,,0,0,3640,0
Indigo,barrels,12.07,,,172.57,0,,,,0,0,,,,,0,0,12,,,,,12,0,,0,0,12,0
Indigo,casks,12.07,,,172.57,0,,,,0,0,,,,,0,0,23,11,,,,34,0,,0,0,34,0
Indigo,boxes,12.07,,,172.57,0,,,,0,0,,,,,0,0,5,,,,,5,0,,0,0,5,0
Iron,tons,7.58,,1,172.57,4.392420467,,,,0,0,,,,,0,0,266,239,3,69,,577,2534,,0,0,577,2534
Peas,bushels,2.5,,0.05,172.57,0.072434374,30,413,,443,32,50,,,,50,4,,,,,,0,0,400,400,29,893,65
Pig iron,tons,7.58,,1,172.57,4.392420467,,,,0,0,,,,,0,0,,75,,,,75,329,,0,0,75,329
Plank,feet,5.664,,0.0005,172.57,0.001641073,,1262,,1262,2,,,,,0,0,400,200,,,,600,1,,0,0,1862,3
Planks,,5.664,,0.005,172.57,0.016410732,340,,,340,6,,,,,0,0,,,,23,,23,0,,0,0,363,6
Pork,barrels,61.42,,0.05,172.57,1.779567712,,76,20,96,171,,,,,0,0,,,,,,0,0,10,10,18,106,189
Rum,gallons,2.73,,0.05,172.57,0.079098337,,,,0,0,,,,,0,0,1143,231,110,118.5,110,1712.5,135,,0,0,1712.5,135
Shingles,,,,,172.57,0,1000,185380,4500,190880,0,,,,,0,0,,,,,,0,0,,0,0,190880,0
Skins,hhds,,,,172.57,0,,,,0,0,,,,,0,0,,1,,,,1,0,,0,0,1,0
Staves,,3.54,,0.001,172.57,0.002051341,5000,28600,,33600,69,,,,,0,0,169260,45200,2200,16790,28200,261650,537,5890,5890,12,301140,618
Sugar,hhds,48.83,,0.632142857,172.57,17.88696512,,,,0,0,,,,,0,0,7,,,,,7,125,,0,0,7,125
Sugar,tierces,48.83,,0.489285714,172.57,13.84471312,,,,0,0,,,,,0,0,3,,,,,3,42,,0,0,3,42
Tar,barrels,11.42,,0.05,172.57,0.330880223,,40,,40,13,,,,,0,0,,,,,,0,0,,0,0,40,13
Tobacco,hhds,15.88,,0.5525,172.57,5.084139769,,,,0,0,,,,,0,0,5679,2132,180,1012,897,9900,50333,,0,0,9900,50333
Wax,barrels,,,,172.57,0,,,,0,0,,,,,0,0,7,,,,,7,0,,0,0,7,0
Wax,casks,,,,172.57,0,,,,0,0,,,,,0,0,1,,,,,1,0,,0,0,1,0
Wheat,bushels,4.34,,0.05,172.57,0.125746074,,,,0,0,,23,300,,323,41,,,,,,0,0,7100,7100,893,7423,934
Wine,quarter casks,32.78,,0.25,172.57,4.748797589,,,,0,0,,,,,0,0,,,2,,,2,9,,0,0,2,9
Wine,hhds,32.78,,0.5,172.57,9.497595179,,,,0,0,,,,,0,0,,,2,,,2,19,,0,0,2,19
Wine,pipes,32.78,,1,172.57,18.99519036,,,,0,0,,,,,0,0,2,,7,,,9,171,,0,0,9,171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4284,,,,,,423,,,,,,,54499,,,1072,,60278
