Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Bermuda,NA,,London,Bristol,Hull,Liverpool,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1745,,,,Sterling,,,,Quantity,Value,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,36.88,,0.05,174.77,1.05510099,,1,,1,1,,0,0,,,,,,0,0,,0,0,1,1
Corn,bushels,1.69,,0.05,174.77,0.048349259,,8630,,8630,417,3000,3000,145,,,,,,0,0,1492,1492,72,13122,634
Deer Skins,,,,,174.77,0,,,,0,0,,0,0,8220,2655,,,,10875,0,,0,0,10875,0
Heading,,2.93,,0.001,174.77,0.001676489,,500,,500,1,,0,0,,,,,,0,0,,0,0,500,1
Hoops,,,,,174.77,0,,3000,,3000,0,,0,0,,,,,,0,0,,0,0,3000,0
Indigo,pounds,6.34,,0.05,174.77,0.181381244,,,,0,0,,0,0,692.5,,,,,692.5,126,,0,0,692.5,126
Iron,tons,8,,1,174.77,4.577444642,,,,0,0,,0,0,496,92,,26,,614,2811,,0,0,614,2811
Peas,bushels,1.69,,0.05,174.77,0.048349259,100,698,175,973,47,80,80,4,,,,,,0,0,80,80,4,1133,55
Pitch,barrels,13.5,,0.05,174.77,0.386221892,100,,103,203,78,,0,0,,,,,,0,0,,0,0,203,78
Plank,feet,4.688,,0.0005,174.77,0.001341191,,,,0,0,,0,0,300,1000,,,350,1650,2,3000,3000,4,4650,6
Pork,casks,53.02,,0.05,174.77,1.516850718,,2,,2,3,,0,0,,,,,,0,0,,0,0,2,3
Pork,barrels,53.02,,0.05,174.77,1.516850718,,286,20,306,464,,0,0,,,,,,0,0,,0,0,306,464
Rum,gallons,3.25,,0.05,174.77,0.092979344,,,,0,0,,0,0,2134.5,235,106,120,165,2760.5,257,,0,0,2760.5,257
Shingles,,,,,174.77,0,13800,21800,2670,38270,0,,0,0,,,,,,0,0,,0,0,38270,0
Shingles,M,,,,174.77,0,,40,,40,0,,0,0,,,,,,0,0,,0,0,40,0
Spirits,hhds,3.25,,5.25,174.77,9.76283115,,,,0,0,,0,0,1,,,,,1,10,,0,0,1,10
Staves,,2.93,,0.001,174.77,0.001676489,,5400,,5400,9,,0,0,117320,40650,5000,9659,15900,188529,316,,0,0,193929,325
Tar,barrels,10.38,,0.05,174.77,0.296961721,303,10,302,615,183,,0,0,,,,,,0,0,,0,0,615,183
Tobacco,hhds,13.05,,0.4875,174.77,3.640141329,,2,,2,7,,0,0,7654,2848,208,915,814,12439,45280,,0,0,12441,45287
Turpentine,barrels,12.51,,0.05,174.77,0.357898953,35,20,35,90,32,,0,0,,45,,,,45,16,,0,0,135,48
Wax,pounds,,,,174.77,0,,,,0,0,,0,0,,,,,,0,0,300,300,0,300,0
Wax,cwt,,,,174.77,0,,,,0,0,,0,0,,12,,,,12,0,,0,0,12,0
Wheat,bushels,2.6,,0.05,174.77,0.074383475,,,,0,0,,0,0,,,,,,0,0,3226,3226,240,3226,240
Wine,gallons,27.5,,0.007936508,174.77,0.124880682,,,,0,0,,0,0,150,,100,,,250,31,,0,0,250,31
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1242,,,149,,,,,,,48849,,,320,,50560
