Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Bermuda,Boston,New England,Rhode Island,NA,,London,Bristol,GB,,Madeira,SEU,,TOTAL,
,,1737,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.08,,0.05,170.25,0.061086637,,,0,0,,,,10,10,1,,,0,0,,0,0,10,1
Beef,barrels,36.06,,0.05,170.25,1.059030837,,50,50,53,,,,,0,0,,,0,0,,0,0,50,53
Bread,barrels,15.21,,0.089285714,170.25,0.797671492,,30,30,24,,,,,0,0,,,0,0,,0,0,30,24
Corn,bushels,2.08,,0.05,170.25,0.061086637,5850,,5850,357,3800,1500,2800,1407,9507,581,,,0,0,1617,1617,99,16974,1037
Deer Skin,pounds,,,,170.25,0,,,0,0,,,,,0,0,10,,10,0,,0,0,10,0
Deer Skins,hhds,,,,170.25,0,,,0,0,,,,,0,0,,1,1,0,,0,0,1,0
Deer Skins,,,,,170.25,0,,,0,0,,,,,0,0,211,26,237,0,,0,0,237,0
Deer Skins,casks,,,,170.25,0,,,0,0,,,,,0,0,2,2,4,0,,0,0,4,0
Deer Skins,bundles,,,,170.25,0,,,0,0,,,,,0,0,1,,1,0,,0,0,1,0
Deer skins (raw),,,,,170.25,0,,,0,0,,,,,0,0,,11,11,0,,0,0,11,0
Flour,barrels,11.71,,0.089285714,170.25,0.614117894,,50,50,31,,,,,0,0,,,0,0,,0,0,50,31
Heading,,3.19,,0.001,170.25,0.001873715,1000,,1000,2,,,,,0,0,,,0,0,,0,0,1000,2
Iron,tons,,,,170.25,0,,,0,0,,,,,0,0,126,411,537,0,,0,0,537,0
Negroes,,18.5,,1,100,18.5,,,0,0,,,,,0,0,,,0,0,3,3,56,3,56
Peas,bushels,2.08,,0.05,170.25,0.061086637,150,1000,1150,70,146,100,100,,346,21,,,0,0,1170,1170,71,2666,162
Plank,feet,5.104,,0.0005,170.25,0.001498972,1500,,1500,2,2000,60,600,,2660,4,2587,657,3244,5,,0,0,7404,11
Pork,barrels,54.44,,0.05,170.25,1.598825257,,50,50,80,,,,6,6,10,,,0,0,,0,0,56,90
Salt,bushels,1.73,,0.05,170.25,0.050807636,,,0,0,,,,100,100,5,,,0,0,,0,0,100,5
Shingles,,,,,170.25,0,11000,10000,21000,0,,,,,0,0,,,0,0,,0,0,21000,0
Skins,hhds,,,,170.25,0,,,0,0,,,,,0,0,2,,2,0,,0,0,2,0
Skins,boxes,,,,170.25,0,,,0,0,,,,,0,0,1,,1,0,,0,0,1,0
Staves,,3.19,,0.001,170.25,0.001873715,17000,,17000,32,8500,,,,8500,16,120025,92405,212430,398,520,520,1,238450,447
Tobacco,hhds,17.41,,0.4365,170.25,4.463709251,,,0,0,,,,,0,0,9011,3709,12720,56778,,0,0,12720,56778
Turpentine,barrels,12.9,,0.05,170.25,0.378854626,,,0,0,,,,,0,0,43,7,50,19,,0,0,50,19
Wheat,bushels,3.88,,0.05,170.25,0.113950073,,,0,0,,20,,,20,2,,,0,0,162,162,18,182,20
Wine,pipes,20.88,,1,170.25,12.26431718,,,0,0,,,,,0,0,16,,16,196,,0,0,16,196
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,651,,,,,,640,,,,57396,,,245,,58932
