Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Bermuda,New England,Rhode Island,NA,,London,Bristol,Lancaster,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1732,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,pounds,11.91,,0.000446429,160.9,0.003304515,,,0,0,,,,0,0,,,,,0,0,1500,1500,5,1500,5
Corn,bushels,1.81,,0.05,160.9,0.056246116,4607.5,735,5342.5,300,,1400,1200,2600,146,,,,,0,0,1300,1300,73,9242.5,519
Corn and peas,bushels,1.81,,0.05,160.9,0.056246116,1949,,1949,110,4432,,,4432,249,,,,,0,0,,0,0,6381,359
Deer Skin,casks,,,,160.9,0,,,0,0,,,,0,0,1,,,,1,0,,0,0,1,0
Deer Skin,chests,,,,160.9,0,,,0,0,,,,0,0,1,,,,1,0,,0,0,1,0
Deer Skins,,,,,160.9,0,,,0,0,,,,0,0,15,,,,15,0,,0,0,15,0
Flour,barrels,8.17,,0.089285714,160.9,0.453365,,,0,0,,,,0,0,,,,,0,0,5,5,2,5,2
Furs and skins,barrels,,,,160.9,0,,,0,0,,,,0,0,1,,,,1,0,,0,0,1,0
Furs and skins,hhds,,,,160.9,0,,,0,0,,,,0,0,1,,,,1,0,,0,0,1,0
Heading,,3.6,,0.00005,160.9,0.000111871,450,,450,0,,,,0,0,1600,,,,1600,0,,0,0,2050,0
Iron,pigs,,,,160.9,0,,,0,0,,,,0,0,57,,,,57,0,,0,0,57,0
Iron,tons,,,,160.9,0,,,0,0,,,,0,0,622,479,,,1101,0,,0,0,1101,0
Iron,cwt,,,,160.9,0,,,0,0,,,,0,0,230,,,,230,0,,0,0,230,0
Peas,bushels,1.81,,0.05,160.9,0.056246116,83,,83,5,,,,0,0,,,,,0,0,,0,0,83,5
Peas,casks,1.81,,0.175,160.9,0.196861405,,18,18,4,,,,0,0,,,,,0,0,,0,0,18,4
Pitch,barrels,14.31,,0.05,160.9,0.44468614,,,0,0,,,,0,0,117,,,,117,52,,0,0,117,52
Plank,feet,3.6,,0.00005,160.9,0.000111871,,,0,0,,,,0,0,13842,6799,4000,,24641,3,800,800,0,25441,3
Pork,casks,49.41,,0.05,160.9,1.53542573,5,,5,8,,,,0,0,,,,,0,0,,0,0,5,8
Pork,barrels,49.41,,0.05,160.9,1.53542573,215,17,232,356,9,10,,19,29,,,,,0,0,119,119,183,370,568
Pork,hhds,49.41,,0.1,160.9,3.070851461,1,,1,3,,,,0,0,,,,,0,0,,0,0,1,3
Rum,gallons,2.5,,0.05,160.9,0.077688005,,,0,0,,,,0,0,,200,,,200,16,,0,0,200,16
Shingles,,,,,160.9,0,31540,21550,53090,0,,,,0,0,,,,,0,0,,0,0,53090,0
Staves (barrels),,22.5,,0.00005,160.9,0.000699192,500,1230,1730,1,,,,0,0,47166,16200,1900,8200,73466,51,,0,0,75196,52
Staves (hhds),,2.25,,0.001,160.9,0.001398384,700,1850,2550,4,,,,0,0,71808,28200,,,100008,140,1500,1500,2,104058,146
Staves (pipes),,3,,0.001,160.9,0.001864512,,300,300,1,,,,0,0,71450,23305,500,,95255,178,2500,2500,5,98055,184
Tar,barrels,11,,0.05,160.9,0.341827222,,,0,0,,,,0,0,461,609,,,1070,366,,0,0,1070,366
Tobacco,hhds,15.53,,0.4035,160.9,3.894564947,,,0,0,,,,0,0,7440,2278,40,341,10099,39331,,0,0,10099,39331
Wax,pounds,,,,160.9,0,,,0,0,,,,0,0,,,,,0,0,450,450,0,450,0
Wheat,bushels,2.7,,0.05,160.9,0.083903045,,,0,0,,,,0,0,,,,,0,0,4074,4074,342,4074,342
Wine,pipes,20.5,,1,160.9,12.74083282,,,0,0,,,,0,0,18,,,,18,229,,0,0,18,229
Wine,hhds,20.5,,0.5,160.9,6.370416408,,,0,0,,,,0,0,1,,,,1,6,,0,0,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,792,,,,,424,,,,,,40372,,,612,,42200
