Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,New England,NA,,London,Bristol,Kingston,Liverpool,Port Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1750,,,,Sterling,,,,,Quantity,Value,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.56,,0.05,170.6,0.075029308,,,,,0,0,,30,30,2,,,,,,0,0,,0,0,30,2
Beef,barrels,38.17,,0.05,170.6,1.11869871,,50,,,50,56,,,0,0,,,,,,0,0,,0,0,50,56
Biscuits,cwt,15.23,,0.05,170.6,0.446365768,50,400,100,,550,246,,,0,0,,,,,,0,0,,0,0,550,246
Corn,bushels,2.56,,0.05,170.6,0.075029308,3100,33024,5070,,41194,3091,4200,1800,6000,450,,,,,,0,0,8430,8430,632,55624,4173
Cotton wool,pounds,1.89,,0.05,170.6,0.055392732,,,,,0,0,,,0,0,1100,,,,,1100,61,,0,0,1100,61
Cotton wool,bags,1.89,,6,170.6,6.647127784,,,,,0,0,,,0,0,3,5,,1,,9,60,,0,0,9,60
Deer Skins,,,,,170.6,0,,,,,0,0,,,0,0,4491,,402,225,,5118,0,,0,0,5118,0
Flour,barrels,13.1,,0.089285714,170.6,0.685605426,641,305,11,300,1257,862,,,0,0,,,,,,0,0,,0,0,1257,862
Heading,,5.98,,0.001,170.6,0.003505275,,,,,0,0,,,0,0,,,,,,0,0,500,500,2,500,2
Iron,tons,8.8,,1,170.6,5.158264947,,,,,0,0,,,0,0,291,,23,14,,328,1692,,0,0,328,1692
Oats,bushels,2.56,,0.05,170.6,0.075029308,,200,,,200,15,,50,50,4,,,,,,0,0,,0,0,250,19
Peas,bushels,2.56,,0.05,170.6,0.075029308,,702,1050,,1752,131,60,,60,5,,,,,,0,0,940,940,71,2752,207
Plank,feet,9.568,,0.0005,170.6,0.00280422,,,,,0,0,,,0,0,60,900,,2000,,2960,8,,0,0,2960,8
Planks,,9.568,,0.005,170.6,0.028042204,,500,,,500,14,,,0,0,,,,,,0,0,,0,0,500,14
Pork,barrels,63.99,,0.05,170.6,1.875439625,,71,,,71,133,20,,20,38,,,,,,0,0,,0,0,91,171
Rum,gallons,3.46,,0.05,170.6,0.1014068,,,,,0,0,,,0,0,1465,339,115,337,,2256,229,,0,0,2256,229
Shingles,,,,,170.6,0,13000,54000,,,67000,0,,,0,0,,,,,,0,0,,0,0,67000,0
Shingles,C,,,,170.6,0,,,,400,400,0,,,0,0,,,,,,0,0,,0,0,400,0
Staves,,5.98,,0.001,170.6,0.003505275,5900,7900,40000,,53800,189,,,0,0,174100,74200,5000,19500,30000,302800,1061,6790,6790,24,363390,1274
Tar,barrels,12.89,,0.05,170.6,0.377784291,,65,,,65,25,,,0,0,,,,,,0,0,,0,0,65,25
Tobacco,hhds,19.98,,0.5005,170.6,5.861658851,,4,,,4,23,,,0,0,7393,2808,374,1168,1278,13021,76325,,0,0,13025,76348
Turpentine,barrels,19.5,,0.05,170.6,0.571512309,,10,,,10,6,,,0,0,,,,,,0,0,,0,0,10,6
Wax,pounds,,,,170.6,0,,,,,0,0,,,0,0,,,,,,0,0,600,600,0,600,0
Wax,cwt,,,,170.6,0,30,,,,30,0,,,0,0,,,,,,0,0,,0,0,30,0
Wheat,bushels,4.51,,0.05,170.6,0.132180539,,,,,0,0,,,0,0,,,,,,0,0,3350,3350,443,3350,443
Wine,quarter casks,29.74,,0.25,170.6,4.358147714,,,,,0,0,,,0,0,1,,,,,1,4,,0,0,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,4791,,,,499,,,,,,,79440,,,1172,,85902
