Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,London,Bideford,Bristol,Whitehaven,Glasgow,GB,,Unknown,UNK,,TOTAL,
,,1726,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.13,,0.05,144.46,0.07372283,,0,0,4350,300,4650,343,,,,,,0,0,,0,0,4650,343
Deer Skins,hhds,,,,144.46,0,,0,0,,,0,0,3,,,,,3,0,,0,0,3,0
Deer Skins,boxes,,,,144.46,0,,0,0,,,0,0,1,,,,,1,0,,0,0,1,0
Deer Skins,,,,,144.46,0,,0,0,,,0,0,21,,40,,,61,0,,0,0,61,0
Iron,tons,,,,144.46,0,,0,0,,,0,0,,,78,,,78,0,18,18,0,96,0
Peas,bushels,2.13,,0.05,144.46,0.07372283,,0,0,2020,,2020,149,,,,,,0,0,,0,0,2020,149
Plank,feet,3.6,,0.001,144.46,0.002492039,,0,0,,,0,0,500,,490,,,990,2,,0,0,990,2
Rum,hhds,3.19,,5.25,144.46,11.59317458,,0,0,,,0,0,1,,,,,1,12,,0,0,1,12
Staves (barrels),,22.5,,0.00005,144.46,0.000778762,2000,2000,2,,,0,0,4000,2900,2310,6000,6000,21210,17,1800,1800,1,25010,20
Staves (hhds),,2.25,,0.001,144.46,0.001557525,,0,0,,,0,0,19660,,16140,4000,,39800,62,900,900,1,40700,63
Staves (pipes),,3,,0.001,144.46,0.002076699,,0,0,,,0,0,37460,,41830,,,79290,165,3200,3200,7,82490,172
Tar,barrels,14.74,,0.05,144.46,0.510175827,,0,0,,,0,0,,,211,,,211,108,,0,0,211,108
Tobacco,barrels,17.22,,0.196,144.46,2.336369929,,0,0,,,0,0,,,,8,,8,19,,0,0,8,19
Tobacco,hhds,17.22,,0.392,144.46,4.672739859,,0,0,,,0,0,6800,112,2655,449,278,10294,48101,373,373,1743,10667,49844
Tobacco,tubs,17.22,,0.098,144.46,1.168184965,,0,0,,,0,0,,,5,5,,10,12,,0,0,10,12
Wine,pipes,,,,144.46,0,,0,0,,,0,0,2,,,,,2,0,,0,0,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,2,,,,492,,,,,,,48498,,,1752,,50744
