Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Curacao,WI,,Bermuda,New York,NA,,London,Bristol,Hull,Liverpool,Whitehaven,Port Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1749,,,,Sterling,,,Quantity,Value,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,37.31,,0.05,171.39,1.088453235,,,0,0,,,0,0,,,,,,,0,0,35,35,38,35,38
Biscuits,pounds,17.6,,0.000446429,171.39,0.004584365,,400,400,2,,,0,0,,,,,,,0,0,,0,0,400,2
Corn,bushels,2.63,,0.05,171.39,0.076725597,10688,400,11088,851,7250,2700,9950,763,,,,,,,0,0,10763,10763,826,31801,2440
Deer Skins,,,,,171.39,0,,,0,0,,,0,0,15551,212,254,,,,16017,0,,0,0,16017,0
Flour,barrels,16.59,,0.089285714,171.39,0.864256958,8,6,14,12,,,0,0,,,,,,,0,0,63,63,54,77,66
Iron,tons,8.56,,1,171.39,4.994457086,,,0,0,,,0,0,240,68,,25,,,333,1663,,0,0,333,1663
Oats,bushels,2.63,,0.05,171.39,0.076725597,300,,300,23,,,0,0,,,,,,,0,0,,0,0,300,23
Peas,bushels,2.63,,0.05,171.39,0.076725597,175,75,250,19,,,0,0,,,,,,,0,0,953,953,73,1203,92
Plank,feet,8.4,,0.0005,171.39,0.002450551,,,0,0,,,0,0,1400,1400,800,17640,,12000,33240,81,,0,0,33240,81
Pork,barrels,60.16,,0.05,171.39,1.755061556,40,,40,70,,,0,0,,,,,,,0,0,54,54,95,94,165
Rum,gallons,3.77,,0.05,171.39,0.10998308,,,0,0,,,0,0,1620,375,338,439,,115,2887,318,,0,0,2887,318
Shingles,,,,,171.39,0,36200,,36200,0,,7000,7000,0,,,,,,,0,0,,0,0,43200,0
Staves,,5.25,,0.001,171.39,0.003063189,,,0,0,,,0,0,128880,59600,9800,41500,2000,23000,264780,811,6000,6000,18,270780,829
Tobacco,hhds,17.1,,0.4985,171.39,4.973656573,,,0,0,,,0,0,6261,3081,478,903,65,1146,11934,59356,,0,0,11934,59356
Turpentine,barrels,17.12,,0.05,171.39,0.499445709,20,,20,10,,,0,0,,,62,,,,62,31,,0,0,82,41
Wax,pounds,,,,171.39,0,,,0,0,,,0,0,,,,,,,0,0,2000,2000,0,2000,0
Wheat,bushels,5.66,,0.05,171.39,0.165120485,,,0,0,,,0,0,,,,,,,0,0,114,114,19,114,19
Wine,hhds,28.77,,0.5,171.39,8.393138456,,,0,0,,,0,0,2,,,,,,2,17,,0,0,2,17
Wine,pipes,28.77,,1,171.39,16.78627691,,,0,0,,,0,0,2,,1,,,,3,50,,0,0,3,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,987,,,,763,,,,,,,,62327,,,1123,,65200
