Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,North Carolina,Rhode Island,Salem,NA,,London,Liverpool,Aberdeen,GB,,Madeira,SEU,,TOTAL,
,,1745,,,,Sterling,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.69,,0.05,174.77,0.048349259,,199.5,,,,199.5,10,,,,0,0,,0,0,199.5,10
Corn,bushels,1.69,,0.05,174.77,0.048349259,1600,1623,,2400,900,6523,315,,,,0,0,,0,0,6523,315
Flour,barrels,8.01,,0.089285714,174.77,0.40921129,,197,,,,197,81,,,,0,0,,0,0,197,81
Furs,casks,,,,174.77,0,,,,,,0,0,1,,,1,0,,0,0,1,0
Heading,,2.93,,0.001,174.77,0.001676489,,750,,,,750,1,,1400,,1400,2,,0,0,2150,3
Logs (walnut),,,,,174.77,0,,,,,,0,0,,59,,59,0,,0,0,59,0
Peas,bushels,1.69,,0.05,174.77,0.048349259,,938,,,,938,45,,,,0,0,,0,0,938,45
Pig iron,tons,8,,1,174.77,4.577444642,,,,,,0,0,77,,,77,352,,0,0,77,352
Plank,feet,4.688,,0.0005,174.77,0.001341191,,,,,500,500,1,1276,,433,1709,2,,0,0,2209,3
Planks,,4.688,,0.005,174.77,0.013411913,,,,,,0,0,,18,,18,0,,0,0,18,0
Pork,barrels,53.02,,0.05,174.77,1.516850718,,167,,45,4,216,328,,,,0,0,,0,0,216,328
Salt,bushels,2.595,,0.05,174.77,0.07424043,,,1000,,,1000,74,,,,0,0,,0,0,1000,74
Staves,,2.93,,0.001,174.77,0.001676489,,,,,,0,0,3692,8930,1500,14122,24,,0,0,14122,24
Staves (barrels),,39.79,,0.00005,174.77,0.001138353,,,,,,0,0,3900,,,3900,4,,0,0,3900,4
Staves (hhds),,2.93,,0.001,174.77,0.001676489,,1700,,,,1700,3,11362,6420,,17782,30,14000,14000,23,33482,56
Staves (pipes),,4.96,,0.001,174.77,0.002838016,,,,,,0,0,,,500,500,1,,0,0,500,1
Staves and heading,,2.93,,0.001,174.77,0.001676489,,,,,,0,0,,,3500,3500,6,,0,0,3500,6
Tobacco,pounds,13.05,,0.0005,174.77,0.003733478,,2232,,,,2232,8,,,,0,0,,0,0,2232,8
Tobacco,hhds,13.05,,0.4875,174.77,3.640141329,,5,,,,5,18,1376,2016,307,3699,13465,,0,0,3704,13483
Wheat,bushels,2.6,,0.05,174.77,0.074383475,,5144.5,,300,1000,6444.5,479,,,,0,0,,0,0,6444.5,479
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,1363,,,,,13886,,,23,,15272
