Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,New Hampshire,New York,Philadelphia,Rhode Island,Salem,NA,,London,Bideford,Exon,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1743,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,25,,1,159.79,15.64553476,,,0,0,,,0.75,,2,,2.75,43,,,,,,,,0,0,,0,0,2.75,43
Beef,barrels,44.75,,0.05,159.79,1.400275361,,,0,0,17,,,,,,17,24,,,,,,,,0,0,,0,0,17,24
Beef,pounds,44.75,,0.00025,159.79,0.007001377,,40,40,0,,,,,,,0,0,,,,,,,,0,0,,0,0,40,0
Bread,barrels,14.31,,0.089285714,159.79,0.79959858,,,0,0,46,,,,,,46,37,,,,,,,,0,0,,0,0,46,37
Corn,bushels,2.14,,0.05,159.79,0.066962889,,,0,0,85,30,,,25,25,165,11,,,,,,,,0,0,30,30,2,195,13
Flour,barrels,8.69,,0.089285714,159.79,0.485570347,213,20,233,113,197,,,,558,,755,367,,,,,,,,0,0,66,66,32,1054,512
Heading,,3.31,,0.001,159.79,0.002071469,,5000,5000,10,,,,,1000,,1000,2,1000,,,400,,600,,2000,4,5000,5000,10,13000,26
Heading (hhd),,3.31,,0.001,159.79,0.002071469,600,3000,3600,7,,,,,,,0,0,,,,300,,,,300,1,,0,0,3900,8
Hemp,tons,,,9.333333333,159.79,0,,,0,0,,,,,6,,6,0,,,,,,,,0,0,,0,0,6,0
Logs (walnut),feet,5.296,,0.0005,159.79,0.001657175,,,0,0,,,,100,,,100,0,,,,,,,,0,0,,0,0,100,0
Logs (walnut),,,,,159.79,0,,,0,0,,,,,,,0,0,,,,12,,5,,17,0,,0,0,17,0
Oats,bushels,2.14,,0.05,159.79,0.066962889,,150,150,10,,,,,,,0,0,,,,,,,,0,0,,0,0,150,10
Oats,tierces,2.14,,0.23275,159.79,0.311712247,,2,2,1,,,,,,,0,0,,,,,,,,0,0,,0,0,2,1
Peas,bushels,2.14,,0.05,159.79,0.066962889,,303,303,20,442,100,,,210,,752,50,,,,,,,,0,0,,0,0,1055,70
Peas,tierces,2.14,,0.23275,159.79,0.311712247,,2,2,1,,,,,,,0,0,,,,,,,,0,0,,0,0,2,1
Pig iron,tons,8.34,,1,159.79,5.219350397,,,0,0,,,,,,,0,0,,45,,25,,,,70,365,,0,0,70,365
Plank,feet,5.296,,0.0005,159.79,0.001657175,,,0,0,270,,,300,1000,150,1720,3,500,,192,62,310,,2000,3064,5,,0,0,4784,8
Planks,,5.296,,0.005,159.79,0.01657175,,,0,0,,,,,,,0,0,2,,,43,,,,45,1,,0,0,45,1
Pork,hhds,54.17,,0.1,159.79,3.390074473,,,0,0,,,,,6,,6,20,,,,,,,,0,0,,0,0,6,20
Pork,barrels,54.17,,0.05,159.79,1.695037236,,206,206,349,,,,,131,6,137,232,,,,,,,,0,0,,0,0,343,581
Salt,hhds,2.07,,0.35,159.79,0.453407597,,,0,0,,,,,10,,10,5,,,,,,,,0,0,,0,0,10,5
Salt,bushels,2.07,,0.05,159.79,0.064772514,,,0,0,,,,,30,,30,2,,,,,,,,0,0,,0,0,30,2
Staves,,3.31,,0.001,159.79,0.002071469,,2000,2000,4,,,,,,,0,0,10006,14000,,14000,15900,,22000,75906,157,,0,0,77906,161
Staves (barrels),,40.85,,0.00005,159.79,0.00127824,,,0,0,,,,,2000,,2000,3,3800,,3000,1500,1800,1000,,11100,14,,0,0,13100,17
Staves (hhds),,3.31,,0.001,159.79,0.002071469,,,0,0,1000,5000,,1000,21500,,28500,59,4656,,4717,7090,10500,1000,,27963,58,,0,0,56463,117
Staves (pipes),,5.34,,0.001,159.79,0.003341886,,,0,0,,,,,,,0,0,3780,,610,,2000,,,6390,21,12000,12000,40,18390,61
Staves and heading,,3.31,,0.001,159.79,0.002071469,,1000,1000,2,,,,,10000,,10000,21,,,,12660,,,,12660,26,,0,0,23660,49
Tar,barrels,10.4,,0.05,159.79,0.325427123,,,0,0,,,,,20,,20,7,,,,,,,,0,0,,0,0,20,7
Tobacco,tubs,16.25,,0.11975,159.79,1.217809312,,,0,0,,,,,,,0,0,,,13,,,,,13,16,,0,0,13,16
Tobacco,hhds,16.25,,0.479,159.79,4.871237249,,,0,0,,,,,1,,1,5,1501,647,384,2055,1842,114,500,7043,34308,,0,0,7044,34313
Tobacco,barrels,16.25,,0.2395,159.79,2.435618624,,,0,0,,,,,,,0,0,,,,,31,,,31,76,,0,0,31,76
Tobacco,pounds,16.25,,0.0005,159.79,0.005084799,1016,5690,6706,34,2152,500,,2000,,,4652,24,,,,,,,,0,0,,0,0,11358,58
Wax,pounds,,,,159.79,0,,,0,0,,,,,250,,250,0,,,,,,,,0,0,,0,0,250,0
Wheat,bushels,2.84,,0.05,159.79,0.088866637,,,0,0,5882,2000,2800,,2993,1200,14875,1322,,,,,,,,0,0,1400,1400,124,16275,1446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,551,,,,,,,,2237,,,,,,,,,35052,,,208,,38048
