Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,WI,,Boston,Nantucket,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,London,Whitehaven,Glasgow,GB,,Alicant,Cadiz,Lisbon,Oporto,Teneriff,SEU,,TOTAL,
,,1770,,,,Sterling,,,,Quantity,Value,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,23.17,,1,153.92,15.05327443,,,0.5,0.5,8,,,,,,,0,0,20,,15,35,527,,,,,,0,0,35.5,535
Beans,bushels,3.6,,0.05,153.92,0.116943867,,,,0,0,,9,,,,8,17,2,,,,0,0,,,,,,0,0,17,2
Bread,pounds,28.53,,0.000446429,153.92,0.008274823,,,,0,0,40000,,,,,,40000,331,,,,0,0,,,,,,0,0,40000,331
Bread,barrels,28.53,,0.089285714,153.92,1.654964546,20,52,160,232,384,116,,,,,,116,192,,,,0,0,,10,,,,10,17,358,593
Chocolate,pounds,,,,153.92,0,,,,0,0,,,,,,30,30,0,,,,0,0,,,,,,0,0,30,0
Corn,bushels,3.6,,0.05,153.92,0.116943867,1000,5458,400,6858,802,1732,1300,,2000,,1973,7005,819,,,,0,0,,2800,,2500,,5300,620,19163,2241
Flaxseed,bushels,5.16,,0.05,153.92,0.167619543,,,,0,0,,,390,,,,390,65,,,,0,0,,,,,,0,0,390,65
Flour,barrels,15.71,,0.089285714,153.92,0.911303646,300,537,512,1349,1229,620,56,,,,,676,616,,,,0,0,40,240,,,,280,255,2305,2100
Hoops,,,,,153.92,0,,2800,5000,7800,0,,,,,,,0,0,,,288,288,0,,,,,,0,0,8088,0
Logs (walnut),feet,9.872,,0.0005,153.92,0.003206861,,,,0,0,,,,,,,0,0,,356,,356,1,,,,,,0,0,356,1
Peas,bushels,3.6,,0.05,153.92,0.116943867,,,,0,0,17,10,,,,,27,3,,,,0,0,,,,,,0,0,27,3
Pig iron,tons,7.77,,1,153.92,5.048076923,,,,0,0,2,,,,,,2,10,189.75,,98,287.75,1453,,,,,,0,0,289.75,1463
Plank,feet,9.872,,0.0005,153.92,0.003206861,,,8600,8600,28,,,,,,,0,0,27424,9004,2200,38628,124,,,,,120,120,0,47348,152
Pork,barrels,77.04,,0.05,153.92,2.502598753,,,,0,0,,,,11,,10,21,53,,,,0,0,,,,,,0,0,21,53
Pork,hhds,77.04,,0.1,153.92,5.005197505,,,,0,0,,,2,,,,2,10,,,,0,0,,,,,,0,0,2,10
Pork,cwt,77.04,,0.028,153.92,1.401455301,,,,0,0,,,,,,1.5,1.5,2,,,,0,0,,,,,,0,0,1.5,2
Rum,hhds,3.01,,5.25,153.92,10.26669699,,,,0,0,,,1,,,,1,10,,,,0,0,,,,,,0,0,1,10
Rum,gallons,3.01,,0.05,153.92,0.097778067,,,,0,0,,,,,100,,100,10,,,,0,0,,,,,,0,0,100,10
Rye,bushels,3.6,,0.05,153.92,0.116943867,,,,0,0,120,9.5,,150,,360,639.5,75,,,,0,0,,,,,,0,0,639.5,75
Shingles,,,,,153.92,0,,,2000,2000,0,,,,,,,0,0,,,,0,0,,,,,,0,0,2000,0
Staves,,6.17,,0.001,153.92,0.004008576,,,,0,0,,,,,,,0,0,,,,0,0,2000,,,,,2000,8,2000,8
Staves and heading,,6.17,,0.001,153.92,0.004008576,,19500,12700,32200,129,23089,2500,,,6000,,31589,127,108318,7300,42438,158056,634,,600,,1700,2918,5218,21,227063,911
Sugar,casks,51.8,,0.15,153.92,5.048076923,,,,0,0,,,9,,,,9,45,,,,0,0,,,,,,0,0,9,45
Tobacco,hhds,28.73,,0.542,153.92,10.11672297,,,,0,0,,,,,,,0,0,2324,,1520,3844,38889,,,,,,0,0,3844,38889
Wheat,bushels,5.92,,0.05,153.92,0.192307692,,,,0,0,3794,,4250,900,1075,887,10906,2097,,,,0,0,10720,15400,2500,50,5079,33749,6490,44655,8587
Wine,hampers,49.58,,,153.92,0,,,,0,0,,,1,,,,1,0,,,,0,0,,,,,,0,0,1,0
Wine,quarter casks,49.58,,0.25,153.92,8.052884615,,,,0,0,,,1,,,,1,8,,,,0,0,,,,,,0,0,1,8
Wine,cases,49.58,,,153.92,0,,,,0,0,,,2,,,,2,0,,,,0,0,,,,,,0,0,2,0
Wine,hhds,49.58,,0.5,153.92,16.10576923,,,,0,0,,,1,,,,1,16,,,,0,0,,,,,,0,0,1,16
Wine,pipes,49.58,,1,153.92,32.21153846,,,,0,0,,,33,,,,33,1063,,,,0,0,,,,,,0,0,33,1063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2580,,,,,,,,5554,,,,,41628,,,,,,,7411,,57173
