OXFO Clearances,,,,,,,,,,
Summary,,,,,,,,,,Check
,,,,,,,,,SUM,from
,NA,WI,GB,IRE,NEU,SEU,AFR,UNK,TOTAL,Page
1725,249,600,21548,0,0,49,0,0,22445,
1726,325,676,21478,0,0,77,0,97,22654,
1727,479,652,18189,0,0,77,0,0,19398,
1728,451,634,17282,0,0,66,0,0,18432,
1729,423,615,16374,0,0,81,0,0,17493,
1730,395,596,15467,0,0,136,0,113,16706,
1731,631,627,15899,0,0,111,0,0,17269,
1732,610,425,8722,0,0,156,0,0,9913,
1733,513,2303,11246,0,0,198,0,0,14260,
1734,777,2510,13220,0,0,223,0,0,16729,
1735,650,1817,9222,1,0,258,0,0,11948,
1736,524,1123,9632,2,0,286,0,0,11566,
1737,487,843,10925,11,0,240,0,0,12506,
1738,535,1092,8273,135,0,214,0,0,10249,
1739,431,724,7767,0,0,246,0,0,9168,
1740,856,1453,8241,123,0,444,0,0,11117,
1741,1183,2156,15617,381,0,236,0,0,19573,
1742,644,1662,14369,0,0,106,0,0,16781,
1743,551,2237,35052,0,0,208,0,0,38048,38048
1744,250,1389,22829,0,0,0,0,0,24468,24468
1745,0,1363,13886,0,0,23,0,0,15272,15272
1746,159,1172,23033,0,0,0,0,0,24364,24364
1747,431,1837,20667,11,0,249,0,0,23194,
1748,702,2502,18301,23,0,498,0,0,22025,
1749,974,3167,15935,34,0,747,0,0,20855,
1750,1662,1530,27564,5,0,1448,0,0,32209,
1751,2117,861,27098,4,0,258,0,0,30337,
1752,4081,1233,26998,92,375,630,0,0,33408,
1753,2430,638,8688,49,0,4180,0,0,15984,
1754,2548,949,23869,274,0,733,0,0,28372,
1755,2724,2169,15967,310,0,267,0,0,21436,
1756,2206,3847,8855,102,0,277,0,0,15286,
1757,1119,1735,19143,1441,0,0,0,0,23437,
1758,2817,6776,23297,12,0,598,0,0,33500,
1759,3449,3878,18195,459,0,0,0,0,25981,
1760,1326,10600,39363,0,0,0,0,202,51491,51491
1761,1951,11963,33632,0,0,0,0,0,47546,47546
1762,1130,8725,16135,658,0,0,0,0,26648,26648
1763,1857,7725,35652,331,0,536,0,0,46101,46101
1764,3094,3597,18619,0,0,2284,0,0,27594,27594
1765,2013,3178,18616,684,0,4282,0,0,28773,28773
1766,2793,2903,13705,0,0,4786,0,0,24187,24187
1767,2350,2644,17974,0,0,6865,0,0,29833,29833
1768,2261,3717,21381,0,0,6057,0,0,33416,33416
1769,2779,6870,32174,0,0,4326,0,0,46149,46149
1770,2580,5554,41628,0,0,7411,0,0,57173,57173
1771,1387,3792,54536,372,0,293,0,0,60380,60380
1772,1599,1936,41264,251,0,1801,0,0,46851,46851
1773,,,,,,,,,0,
1774,,,,,,,,,0,
1775,,,,,,,,,0,
