Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Guadeloupe,St. Christophers,WI,,Bermuda,Boston,Halifax,New York,North Carolina,Piscataqua,Rhode Island,Salem,NA,,London,Bideford,Falmouth,Whitehaven,Glasgow,GB,,Cork,IRE,,Fyal,Madeira,SEU,,TOTAL,
,,1763,,,,Sterling,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,3.75,,0.05,173,0.108381503,,,,0,0,,126,100,,,60,20,72,378,41,,,,,,0,0,,0,0,,,0,0,378,41
Beef,barrels,60.29,,0.05,173,1.742485549,,,,0,0,,,,,,,,,0,0,,,,,,0,0,,0,0,,6,6,10,6,10
Bread,barrels,30.18,,0.089285714,173,1.557597027,140,20,,160,249,,61,100,,,,,,161,251,,,,,,0,0,,0,0,,,0,0,321,500
Bread,tierces,30.18,,0.11875,173,2.071604046,,,,0,0,,2,,,,,,,2,4,,,,,,0,0,,0,0,,,0,0,2,4
Corn,bushels,3.75,,0.05,173,0.108381503,3239.5,500,,3739.5,405,4800,23676,,1848,,4100,2600,12100,49124,5324,,,2000,,,2000,217,,0,0,,3742,3742,406,58605.5,6352
Flour,barrels,16.94,,0.089285714,173,0.874277457,593,80,236,909,795,16,145,100,,10,,10,,281,246,,,100,,,100,87,,0,0,,,0,0,1290,1128
Heading,,6.82,,0.001,173,0.003942197,7546,,,7546,30,,,,,,,,,0,0,,,,,,0,0,,0,0,,,0,0,7546,30
Hoops,,,,,173,0,1700,,,1700,0,,,,,,,,,0,0,,,,,,0,0,,0,0,,,0,0,1700,0
Iron,tons,9,,1,173,5.202312139,,,,0,0,,,,,,,10,,10,52,246.5,28,,,20,294.5,1532,,0,0,,,0,0,304.5,1584
Logs (walnut),,,,,173,0,,,,0,0,,,,,,,,,0,0,9,,,,,9,0,,0,0,,,0,0,9,0
Peas,bushels,3.75,,0.05,173,0.108381503,,,,0,0,,32.5,,,,,,10,42.5,5,,,,,,0,0,,0,0,,,0,0,42.5,5
Plank,feet,10.912,,0.0005,173,0.003153757,,10000,,10000,32,6000,,,,,,,,6000,19,,1400,,200,,1600,5,,0,0,,,0,0,17600,56
Pork,hhds,86.95,,0.1,173,5.026011561,,,,0,0,,,,,,2,,,2,10,,,,,,0,0,,0,0,,,0,0,2,10
Pork,pounds,86.95,,0.00025,173,0.012565029,,,,0,0,,1000,,,,,,,1000,13,,,,,,0,0,,0,0,,,0,0,1000,13
Pork,barrels,86.95,,0.05,173,2.51300578,,18,6,24,60,,13,,,,10,,2,25,63,,,,,,0,0,,0,0,,24,24,60,73,183
Rum,hhds,3.72,,5.25,173,11.28901734,,,,0,0,,2,,,,1,,,3,34,,,,,,0,0,,0,0,,,0,0,3,34
Shingles,,,,,173,0,,8000,6000,14000,0,,,,,,,,,0,0,,,,,,0,0,,0,0,,5000,5000,0,19000,0
Staves,,6.82,,0.001,173,0.003942197,53000,18000,,71000,280,20000,33500,,3000,,,,5800,62300,246,115078,9000,12800,10000,11000,157878,622,84000,84000,331,13300,2000,15300,60,390478,1539
Tobacco,hhds,19.48,,0.561,173,6.316924855,1,,,1,6,,,,,,,,,0,0,4089,235,224,356,350,5254,33189,,0,0,,,0,0,5255,33195
Wheat,bushels,6.06,,0.05,173,0.175144509,,,,0,0,,7445,,352,,30,10,255,8092,1417,,,,,,0,0,,0,0,,,0,0,8092,1417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1857,,,,,,,,,,7725,,,,,,,35652,,,331,,,,536,,46101
