Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,Nevis,WI,,Boston,Marblehead,Rhode Island,Salem,NA,,London,Falmouth,Glasgow,GB,,Barcelona,Fyal,Madeira,SEU,,TOTAL,
,,1764,,,,Sterling,,,,,Quantity,Value,,,,,Quantity,Value,,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,25.5,,1,172.86,14.75182228,,,,,0,0,,,,,0,0,45,,,45,664,,,,0,0,45,664
Beans,bushels,2.74,,0.05,172.86,0.079254888,,,,,0,0,79,,,48,127,10,,,,0,0,,,,0,0,127,10
Bread,barrels,23.84,,0.089285714,172.86,1.231384605,,246,,,246,303,,,,,0,0,,,,0,0,,,,0,0,246,303
Bread,pounds,23.84,,0.000446429,172.86,0.006156923,2000,,,,2000,12,,,,,0,0,,,,0,0,,,,0,0,2000,12
Corn,bushels,2.74,,0.05,172.86,0.079254888,7346,11776.5,2600,2500,24222.5,1920,20070,1000,600,4200,25870,2050,,,,0,0,,,1400,1400,111,51492.5,4081
Flour,barrels,12.81,,0.089285714,172.86,0.661662617,112,447,,,559,370,20,,,,20,13,,,,0,0,,,,0,0,579,383
Heading,,5.4,,0.001,172.86,0.003123915,10000,4800,,400,15200,47,3000,,,,3000,9,,,,0,0,,1650,,1650,5,19850,61
Hoops,,,,,172.86,0,250,350,1000,,1600,0,,,,,0,0,,,,0,0,,,,0,0,1600,0
Peas,bushels,2.74,,0.05,172.86,0.079254888,19,,,,19,2,,,,,0,0,,,,0,0,,,,0,0,19,2
Pig iron,tons,8.5,,1,172.86,4.917274095,,,,,0,0,,,,,0,0,95,,27,122,600,,,,0,0,122,600
Plank,feet,8.64,,0.0005,172.86,0.002499132,10000,23300,,,33300,83,,,,,0,0,,,,0,0,,,,0,0,33300,83
Pork,barrels,98.26,,0.05,172.86,2.842184427,,,,,0,0,,4,,4,8,23,,,,0,0,,,,0,0,8,23
Shingles,M,,,,172.86,0,,35,,,35,0,,,,,0,0,,,,0,0,,,,0,0,35,0
Shingles,,,,,172.86,0,,3800,,,3800,0,,,,,0,0,,,,0,0,,,,0,0,3800,0
Staves,,5.4,,0.001,172.86,0.003123915,9600,89890,800,3600,103890,325,4500,,6000,2000,12500,39,27560,,,27560,86,15000,75921,500,91421,286,235371,736
Staves (barrels),,64.9,,0.00005,172.86,0.001877242,,,,,0,0,800,,,,800,2,9000,1100,2300,12400,23,300,,,300,1,13500,26
Staves (hhds),,5.4,,0.001,172.86,0.003123915,,,,,0,0,14000,,,,14000,44,22700,3600,8700,35000,109,10000,,,10000,31,59000,184
Staves (pipes),,9.18,,0.001,172.86,0.005310656,,,,,0,0,,,,,0,0,6000,,,6000,32,,,,0,0,6000,32
Tobacco,hhds,17.71,,0.558,172.86,5.716869143,,3,,,3,17,,,,,0,0,2499,82,406,2987,17076,,,,0,0,2990,17093
Wheat,bushels,4.6,,0.05,172.86,0.133055652,,,,,0,0,9074,400,500,600,10574,1407,,,,0,0,12800,,1102,13902,1850,24476,3257
Wine,quarter casks,50.56,,0.25,172.86,7.31227583,,,2,,2,15,,,,,0,0,,,,0,0,,,,0,0,2,15
Wine,pipes,50.56,,1,172.86,29.24910332,,,,,0,0,,,,,0,0,1,,,1,29,,,,0,0,1,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,3094,,,,,,3597,,,,,18619,,,,,2284,,27594
