Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Rhode Island,Salem,NA,,London,Liverpool,Whitehaven,Glasgow,GB,,TOTAL,
,,1744,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.53,,0.05,166.67,0.045899082,,0,0,,100,40,26,166,8,,,,,0,0,166,8
Beef,pounds,44.75,,0.00025,166.67,0.006712366,400,400,3,,,,,0,0,,,,,0,0,400,3
Bread,pounds,13.32,,0.000446429,166.67,0.003567786,,0,0,,,8400,,8400,30,,,,,0,0,8400,30
Corn,bushels,1.53,,0.05,166.67,0.045899082,1609,1609,74,4200,550,900,3000,8650,397,,,,,0,0,10259,471
Flour,pounds,7.68,,0.000446429,166.67,0.002057102,,0,0,,,11400,,11400,23,,,,,0,0,11400,23
Furs,barrels,,,,166.67,0,,0,0,,,,,0,0,2,,,,2,0,2,0
Logs (walnut),,,,,166.67,0,,0,0,,,,,0,0,,20,,,20,0,20,0
Peas,bushels,1.53,,0.05,166.67,0.045899082,148,148,7,30,75,,,105,5,,,,,0,0,253,12
Plank,feet,4.736,,0.0005,166.67,0.001420772,,0,0,,,,425,425,1,490,,2410,1000,3900,6,4325,7
Planks,,4.736,,0.005,166.67,0.014207716,,0,0,,,,,0,0,60,,,,60,1,60,1
Pork,pounds,68.52,,0.00025,166.67,0.010277794,16024,16024,165,,,,600,600,6,,,,,0,0,16624,171
Rye,bushels,1.53,,0.05,166.67,0.045899082,,0,0,,,,9,9,0,,,,,0,0,9,0
Staves,,2.96,,0.001,166.67,0.001775964,,0,0,,,,,0,0,,6737,,,6737,12,6737,12
Staves and heading,,2.96,,0.001,166.67,0.001775964,300,300,1,5000,,3000,,8000,14,41150,17411,26400,10000,94961,169,103261,184
Tobacco,pounds,12.65,,0.0005,166.67,0.003794924,,0,0,,300,,,300,1,,,,,0,0,300,1
Tobacco,hhds,12.65,,0.483,166.67,3.665896682,,0,0,,,,,0,0,2407,1192,1937,640,6176,22641,6176,22641
Wheat,bushels,2.49,,0.05,166.67,0.074698506,,0,0,,5800,4100,2200,12100,904,,,,,0,0,12100,904
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,250,,,,,,1389,,,,,,22829,,24468
