Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,Falmouth,Philadelphia,Piscataqua,Rhode Island,Salem,Yarmouth,NA,,London,Whitehaven,Glasgow,GB,,Cork,IRE,,Lisbon,SEU,,TOTAL,
,,1771,,,,Sterling,,,Quantity,Value,,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,24.07,,1,165.69,14.52712898,,,0,0,,,,,,,,0,0,60.5,,35,95.5,1387,,0,0,,0,0,95.5,1387
Beans,bushels,3.5,,0.05,165.69,0.105618927,,,0,0,,,,,,5,8,13,1,,,,0,0,,0,0,,0,0,13,1
Bread,barrels,28.93,,0.089285714,165.69,1.558956916,,,0,0,,,,,20,,,20,31,,,,0,0,,0,0,,0,0,20,31
Corn,bushels,3.5,,0.05,165.69,0.105618927,2000,4899,6899,729,1900,2200,,3850,1500,7285,850,17585,1857,,,,0,0,,0,0,1987.5,1987.5,210,26471.5,2796
Flour,barrels,17.5,,0.089285714,165.69,0.943026133,,450,450,424,37,30,,11,37,5,27,147,139,,,,0,0,12,12,11,88,88,83,697,657
Handspikes,,,,,165.69,0,,,0,0,,,,,,,,0,0,,156,,156,0,,0,0,,0,0,156,0
Hoops,,,,,165.69,0,,4350,4350,0,,,,,,,,0,0,,,,0,0,,0,0,,0,0,4350,0
Logs (walnut),feet,10.832,,0.0005,165.69,0.003268755,,,0,0,,,,,,,,0,0,,125,,125,0,,0,0,,0,0,125,0
Negroes,,38.89,,1,100,38.89,,2,2,78,,,,,,,,0,0,,,,0,0,,0,0,,0,0,2,78
Peas,bushels,3.5,,0.05,165.69,0.105618927,,,0,0,,,,,,10,,10,1,,,,0,0,150,150,16,,0,0,160,17
Pig iron,tons,8,,1,165.69,4.828293802,,,0,0,,,,,,,,0,0,151,,80,231,1115,,0,0,,0,0,231,1115
Plank,feet,10.832,,0.0005,165.69,0.003268755,,,0,0,,,,,,280,,280,1,,15705,,15705,51,500,500,2,,0,0,16485,54
Plate,pounds,67.38,,0.066666667,100,4.492,,,0,0,,,,,,,,0,0,95,,,95,427,,0,0,,0,0,95,427
Plate,ounces,67.38,,0.004166667,100,0.28075,,,0,0,,,,,,,,0,0,4,,,4,1,,0,0,,0,0,4,1
Staves,,6.77,,0.001,165.69,0.004085944,,,0,0,,,,,,,,0,0,1000,,,1000,4,,0,0,,0,0,1000,4
Staves and heading,,6.77,,0.001,165.69,0.004085944,6000,27002,33002,135,4000,,,,3000,5000,,12000,49,82825,7300,50804,140929,576,77800,77800,318,,0,0,263731,1078
Tobacco,hhds,32.5,,0.5385,165.69,10.56264711,,2,2,21,,,,,,,,0,0,2894,,1932,4826,50975,,0,0,,0,0,4828,50996
Wheat,bushels,6.78,,0.05,165.69,0.20459895,,,0,0,2750,50,,370,400,1120,12,4702,962,,,,0,0,120,120,25,,0,0,4822,987
Wine,gallons,50,,0.007936508,165.69,0.2394987,,,0,0,,,3136,,,,,3136,751,,,,0,0,,0,0,,0,0,3136,751
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1387,,,,,,,,,3792,,,,,54536,,,372,,,293,,60380
