Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Barbadoes,Nevis,WI,,Bermuda,Boston,New England,New York,Rhode Island,NA,,London,Bristol,Hull,Liverpool,Whitehaven,Glasgow,GB,,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1754,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.34,,0.05,168.35,0.069498069,,20,,20,1,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,20,1
Bread,barrels,21.64,,0.089285714,168.35,1.147694005,,33,9,42,48,,,,,18,18,21,,,,,,,0,0,,0,0,,0,0,60,69
Corn,bushels,2.34,,0.05,168.35,0.069498069,1050,37580.5,655,39285.5,2730,2000,1700,1552,,3699,8951,622,,,,,,,0,0,5523,5523,384,2116,2116,147,55875.5,3883
Cotton,bags,1.58,,6,168.35,5.631125631,,,,0,0,,,,,,0,0,4,,,,,,4,23,,0,0,,0,0,4,23
Cotton wool,pounds,1.58,,0.05,168.35,0.046926047,,,,0,0,,,,,,0,0,,180,,,,,180,8,,0,0,,0,0,180,8
Deer Skins,,,,,168.35,0,,,,0,0,,,,,,0,0,86,92,120,,,,298,0,,0,0,,0,0,298,0
Flour,barrels,14.11,,0.089285714,168.35,0.748334677,,,39,39,29,,,,,8,8,6,,,,,,,0,0,,0,0,,0,0,47,35
Handspikes,,,,,168.35,0,,,,0,0,,,,,,0,0,240,,,120,,,360,0,,0,0,,0,0,360,0
Heading,,4.92,,0.001,168.35,0.002922483,,,,0,0,,,,,,0,0,,,,,,330,330,1,,0,0,,0,0,330,1
Hoops,,,,,168.35,0,,,,0,0,,,,,,0,0,,,,,,480,480,0,,0,0,,0,0,480,0
Iron,tons,7.67,,1,168.35,4.555984556,,,,0,0,,,,,,0,0,103,128.5,,43,,,274.5,1251,,0,0,,0,0,274.5,1251
Peas,bushels,2.34,,0.05,168.35,0.069498069,50,254,,304,21,,,,,,0,0,,,,,,,0,0,,0,0,,0,0,304,21
Plank,feet,7.872,,0.0005,168.35,0.002337986,,2450,,2450,6,,,,,,0,0,1382,,,300,100,,1782,4,,0,0,600,600,1,4832,11
Pork,barrels,61.19,,0.05,168.35,1.817344817,4,46,33,83,151,2,8,,20,,30,55,,,,,,,0,0,,0,0,,0,0,113,206
Rum,gallons,3.22,,0.05,168.35,0.095634096,,,,0,0,,,170,,,170,16,1210,316,,117,105,123,1871,179,,0,0,,0,0,2041,195
Shingles,,,,,168.35,0,3000,183700,12000,198700,0,,,,,14000,14000,0,,,,,,,0,0,,0,0,,0,0,212700,0
Staves,,4.92,,0.001,168.35,0.002922483,,36460,2000,38460,112,,,,,,0,0,167100,74000,2580,17800,10000,50600,322080,941,,0,0,,0,0,360540,1053
Sugar,hhds,50.85,,0.609375,168.35,18.40612934,,,,0,0,,,,,,0,0,,2,,,,,2,37,,0,0,,0,0,2,37
Tar,barrels,10.67,,0.05,168.35,0.316899317,,29,,29,9,,,,,,0,0,1670,,,,,,1670,529,,0,0,,0,0,1699,538
Tar and turpentine,barrels,28.57,,0.05,168.35,0.848529849,,,,0,0,,,,,,0,0,,,200,,,,200,170,,0,0,,0,0,200,170
Tobacco,hhds,17.77,,0.533,168.35,5.626023166,,1,,1,6,,,,,1,1,6,8854,3754,213,986,353,1836,15996,89994,,0,0,,0,0,15998,90006
Turpentine,barrels,17.9,,0.05,168.35,0.531630532,,,,0,0,,,,,,0,0,121,,,,,,121,64,,0,0,,0,0,121,64
Wax,barrels,,,,168.35,0,,,,0,0,,,,,,0,0,,,,,,,0,0,2,2,0,,0,0,2,0
Wheat,bushels,4.46,,0.05,168.35,0.132462132,,,,0,0,,,,,,0,0,,,,,,,0,0,1614,1614,214,,0,0,1614,214
Wine,quarter casks,28.96,,0.25,168.35,4.300564301,,,,0,0,,,,,,0,0,2,,,,,,2,9,,0,0,,0,0,2,9
Wine,pipes,28.96,,1,168.35,17.2022572,,4,,4,69,,,,,,0,0,2,,21,,,,23,396,,0,0,,0,0,27,465
Wine,hhds,28.96,,0.5,168.35,8.601128601,,,,0,0,,,,,,0,0,1,,,,,,1,9,,0,0,,0,0,1,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,3182,,,,,,,726,,,,,,,,93615,,,598,,,148,,98269
