Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Bermuda,NA,,London,Bristol,Liverpool,Weymouth,GB,,Madeira,SEU,,TOTAL,
,,1725,,,,Sterling,,,Quantity,Value,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.13,,0.05,139.34,0.07643175,4233,950,5183,396,2100,2100,161,,,,,0,0,1200,1200,92,8483,649
Peas,bushels,2.13,,0.05,139.34,0.07643175,23,54,77,6,20,20,2,,,,,0,0,,0,0,97,8
Pitch,barrels,18.42,,0.05,139.34,0.660973159,22,,22,15,,0,0,,1891,695,10,2596,1716,,0,0,2618,1731
Plank,feet,3.6,,0.0005,139.34,0.001291804,10000,,10000,13,1000,1000,1,500,,,,500,1,,0,0,11500,15
Skins,boxes,,,,139.34,0,,,0,0,,0,0,1,,,,1,0,,0,0,1,0
Staves,,2.25,,0.001,139.34,0.001614755,,,0,0,,0,0,7500,12800,,,20300,33,,0,0,20300,33
Staves (barrels),,22.5,,0.00005,139.34,0.000807378,1000,,1000,1,,0,0,3520,6823,24750,700,35793,29,,0,0,36793,30
Staves (hhds),,2.25,,0.001,139.34,0.001614755,,,0,0,,0,0,6700,22430,,3600,32730,53,,0,0,32730,53
Staves (pipes),,3,,0.001,139.34,0.002153007,,,0,0,,0,0,30960,21657,,,52617,113,,0,0,52617,113
Tar,barrels,14.15,,0.05,139.34,0.507750825,35,,35,18,,0,0,,,,,0,0,,0,0,35,18
Tobacco,tubs,33.46,,0.0975,139.34,2.341287498,,,0,0,,0,0,3,4,7,,14,33,,0,0,14,33
Tobacco,hhds,33.46,,0.39,139.34,9.365149993,,,0,0,,0,0,3951,3013,25,171,7160,67054,,0,0,7160,67054
Wheat,bushels,3.87,,0.05,139.34,0.138868954,,,0,0,,0,0,,,,,0,0,600,600,83,600,83
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,449,,,164,,,,,,69032,,,175,,69820
