Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Bermuda,New England,North Carolina,South Carolina,NA,,London,Bristol,Liverpool,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1742,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,36.63,,0.05,159.38,1.149140419,35,,35,40,,,,,0,0,,,,,0,0,,0,0,35,40
Bread,pounds,15.96,,0.000446429,159.38,0.004470448,,,0,0,,1000,,,1000,4,,,,,0,0,,0,0,1000,4
Corn,bushels,2.69,,0.05,159.38,0.084389509,2595,,2595,219,1400,2797,,3242,7439,628,,,,,0,0,9514,9514,803,19548,1650
Deer Skins,hhds,,,,159.38,0,,,0,0,,,,,0,0,7,3,,,10,0,,0,0,10,0
Deer Skins,,,,,159.38,0,,,0,0,,,,,0,0,934,,,,934,0,,0,0,934,0
Heading,,3.68,,0.001,159.38,0.002308947,700,,700,2,,,,,0,0,,,,,0,0,,0,0,700,2
Iron,tons,9.17,,1,159.38,5.753544987,,,0,0,,,,,0,0,312,241,,,553,3182,,0,0,553,3182
Peas/beans,bushels,2.69,,0.05,159.38,0.084389509,298,,298,25,,167.5,,,167.5,14,,,,,0,0,1061.25,1061.25,90,1526.75,129
Pitch,barrels,16.21,,0.05,159.38,0.508533066,,66,66,34,,,,,0,0,,31,,,31,16,,0,0,97,50
Plank,feet,5.888,,0.0005,159.38,0.001847158,,,0,0,,100,,,100,0,1853,424,15,800,3092,6,,0,0,3192,6
Planks,,5.888,,0.005,159.38,0.018471577,,,0,0,,,,,0,0,,61,,,61,1,,0,0,61,1
Pork,pounds,54.17,,0.00025,159.38,0.008496988,,,0,0,,2000,,,2000,17,,,,,0,0,,0,0,2000,17
Pork,barrels,54.17,,0.05,159.38,1.699397666,300,30,330,561,,23,,,23,39,,,,,0,0,85,85,144,438,744
Rum,hhds,3.64,,5.25,159.38,11.99021207,,,0,0,,,,,0,0,,1,,,1,12,,0,0,1,12
Rum,gallons,3.64,,0.05,159.38,0.114192496,,,0,0,,10,,,10,1,261.5,50,,,311.5,36,,0,0,321.5,37
Shingles,,,,,159.38,0,81000,88850,169850,0,,,,,0,0,,,,,0,0,,0,0,169850,0
Staves,,3.68,,0.001,159.38,0.002308947,3600,,3600,8,,,,,0,0,144434,60390,11300,7000,223124,515,14720,14720,34,241444,557
Sugar,barrels,40.94,,0.15,159.38,3.85305559,,,0,0,,,1,,1,4,,,,,0,0,,0,0,1,4
Tar,barrels,12.75,,0.05,159.38,0.399987451,,136,136,54,,,,,0,0,,295,,,295,118,,0,0,431,172
Tobacco,hhds,17.65,,0.4745,159.38,5.254690049,,,0,0,,,,,0,0,5975,2599,574,524,9672,50823,,0,0,9672,50823
Wax,pounds,,,,159.38,0,,,0,0,,,,,0,0,,,,,0,0,1210,1210,0,1210,0
Wheat,bushels,3.58,,0.05,159.38,0.112310202,,,0,0,,10,,,10,1,,,,,0,0,630,630,71,640,72
Wine,quarter casks,24.35,,0.25,159.38,3.819488016,,11,11,42,,,,,0,0,,,,,0,0,,0,0,11,42
Wine,pipes,24.35,,1,159.38,15.27795206,,11,11,168,,,,,0,0,2,,,,2,31,,0,0,13,199
Wine,hhds,24.35,,0.5,159.38,7.638976032,,,0,0,,,,,0,0,4,,,,4,31,,0,0,4,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1153,,,,,,708,,,,,,54771,,,1142,,57774
