Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Dominica,WI,,Boston,Newfoundland,Philadelphia,Salem,Yarmouth,NA,,London,Liverpool,Whitehaven,Glasgow,GB,,Cork,IRE,,Cadiz,Lisbon,Madeira,Vigo,SEU,,TOTAL,
,,1772,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,27.07,,1,160.83,16.83143692,,,0,0,,,,,,0,0,29,,,,29,488,,0,0,,,,,0,0,29,488
Beans,bushels,3.69,,0.05,160.83,0.114717403,12,,12,1,,,,10,36,46,5,,,,,0,0,,0,0,,,,,0,0,58,6
Beef,pounds,57.05,,0.00025,160.83,0.008868059,,,0,0,26000,,,,,26000,231,,,,,0,0,,0,0,,,,,0,0,26000,231
Bread,barrels,31.23,,0.089285714,160.83,1.733751699,,,0,0,55,55,,,,110,191,,,,,0,0,,0,0,,,,,0,0,110,191
Corn,bushels,3.69,,0.05,160.83,0.114717403,7108,,7108,815,2500,,,3320,1000,6820,782,,,,,0,0,,0,0,6000,2500,2650,2500,13650,1566,27578,3163
Flour,barrels,20.26,,0.089285714,160.83,1.124745739,450,50,500,562,22,160,,,3,185,208,,,,,0,0,,0,0,,,70,,70,79,755,849
Handspikes,,,,,160.83,0,,,0,0,,,,,,0,0,250,,,,250,0,,0,0,,,,,0,0,250,0
Peas,bushels,3.69,,0.05,160.83,0.114717403,,100,100,11,,,,9,,9,1,,,,,0,0,,0,0,,,,,0,0,109,12
Pig iron,tons,8.15,,1,160.83,5.067462538,,,0,0,,,,,,0,0,116,,,36,152,770,,0,0,,,,,0,0,152,770
Plank,feet,10.752,,0.0005,160.83,0.00334266,,50000,50000,167,,,,,,0,0,7510,42679,6564,150,56903,190,,0,0,,,,,0,0,106903,357
Rye,bushels,3.69,,0.05,160.83,0.114717403,,,0,0,,,,17,40,57,7,,,,,0,0,,0,0,,,,,0,0,57,7
Shingles,,,,,160.83,0,,35000,35000,0,,,,,,0,0,,,,,0,0,,0,0,,,,,0,0,35000,0
Staves and heading,,6.72,,0.001,160.83,0.004178325,10354,,10354,43,,,,,,0,0,94250,21457,,40420,156127,652,60000,60000,251,10000,11000,1600,3200,25800,108,252281,1054
Tobacco,hhds,32.29,,0.537,160.83,10.78140272,,,0,0,,1,,,,1,11,2170,,,1461,3631,39147,,0,0,,,,,0,0,3632,39158
Wheat,bushels,7.74,,0.05,160.83,0.240626749,,,0,0,,,2000,77,,2077,500,,,,,0,0,,0,0,200,,,,200,48,2277,548
Wine,hhds,54.03,,0.5,160.83,16.79723932,,,0,0,,,,,,0,0,,,,1,1,17,,0,0,,,,,0,0,1,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1599,,,,,,,1936,,,,,,41264,,,251,,,,,,1801,,46851
