Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,Nantucket,New York,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,TOTAL,
,,1746,,,,Sterling,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Corn,bushels,1.82,,0.05,179.86,0.050594907,3500,6740,4000,1412,600,859,5090,1050,23251,1176,23251,1176
Flaxseed,hhds,2.32,,,179.86,0,,6,,,,,,,6,0,6,0
Flaxseed,bushels,2.32,,0.05,179.86,0.064494607,,,,,,,40,,40,3,40,3
Oats,bushels,1.82,,0.05,179.86,0.050594907,,,,45,2000,,350,,2395,121,2395,121
Peas,bushels,1.82,,0.05,179.86,0.050594907,,,30,,,,,,30,2,30,2
Pork,pounds,53.79,,0.00025,179.86,0.007476649,,,,,,,,100,100,1,100,1
Pork,barrels,53.79,,0.05,179.86,1.495329701,10,47,,,,,,,57,85,57,85
Potatoes,bushels,,,,179.86,0,,,40,,,,,,40,0,40,0
Rum,hhds,3.03,,5.25,179.86,8.844378961,,,4,,,,,,4,35,4,35
Staves (barrels),,40.63,,0.00005,179.86,0.00112949,,2800,,,,,,,2800,3,2800,3
Tobacco,pounds,13.93,,0.0005,179.86,0.003872456,,,,,,348,200,,548,2,548,2
Wax,boxes,,,,179.86,0,,,,,,,1,,1,0,1,0
Wheat,bushels,2.87,,0.05,179.86,0.079784277,,100,300,32,,,122,,554,44,554,44
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,1472,,1472
