Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,St. Christophers,WI,,Boston,New England,Piscataqua,Rhode Island,Salem,NA,,Madeira,SEU,,TOTAL,
,,1730,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.93,,0.05,152.03,0.063474314,,,0,0,,15,,,53,68,4,,0,0,68,4
Beef,barrels,30,,0.05,152.03,0.986647372,,,0,0,60,,,,,60,59,,0,0,60,59
Corn,bushels,1.93,,0.05,152.03,0.063474314,2400,,2400,152,6814,150,1400,1503,2720,12587,799,600,600,38,15587,989
Deer Skin,barrels,,,,152.03,0,,,0,0,15,,,,,15,0,,0,0,15,0
Peas,bushels,1.93,,0.05,152.03,0.063474314,30,,30,2,,,,,,0,0,,0,0,30,2
Pork,pounds,59.24,,0.00025,152.03,0.009741498,,,0,0,200,,1000,,570,1770,17,,0,0,1770,17
Pork,barrels,59.24,,0.05,152.03,1.948299678,14,2,16,31,119,,20,2,25,166,323,,0,0,182,354
Rum,hhds,2.51,,5.25,152.03,8.667697165,,,0,0,,,1,,,1,9,,0,0,1,9
Rum,gallons,2.51,,0.05,152.03,0.082549497,,,0,0,,,,70,,70,6,,0,0,70,6
Rum,barrels,2.51,,1.45,152.03,2.393935407,,,0,0,,,,,1,1,2,,0,0,1,2
Staves,,2.25,,0.001,152.03,0.001479971,1000,,1000,1,,,,,,0,0,,0,0,1000,1
Staves (hhds),,2.25,,0.001,152.03,0.001479971,,1300,1300,2,,,,,,0,0,2000,2000,3,3300,5
Staves (pipes),,3,,0.001,152.03,0.001973295,,,0,0,,,,,,0,0,9000,9000,18,9000,18
Wax,pounds,,,,152.03,0,,,0,0,200,,,49,,249,0,150,150,0,399,0
Wheat,bushels,3.68,,0.05,152.03,0.121028744,,,0,0,1356,850,100,1000,400,3706,449,1200,1200,145,4906,594
"Wheat, beans, peas",bushels,3.68,,0.05,152.03,0.121028744,,600,600,73,,,,,,0,0,,0,0,600,73
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,261,,,,,,,1668,,,204,,2133
