Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,New Providence,Bermuda,Boston,Lewes DE,New York,Philadelphia,Piscataway,Providence,Rhode Island,Salem,NA,,TOTAL,
,,1752,,,,Sterling,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.56,,0.05,166.85,0.076715613,4200,10960,2100,17260,1324,400,3500,2660,1050,3620,1100,2000,1450,7860,3300,26940,2067,44200,3391
Flaxseed,bushels,5.34,,0.05,166.85,0.160023974,,,,0,0,,,30,,730,522,,,150,,1432,229,1432,229
Flaxseed,hhds,5.34,,,166.85,0,,,,0,0,,,,,,10,,,,,10,0,10,0
Hoops,,,,,166.85,0,1000,,,1000,0,,,,,,,,,,,0,0,1000,0
Oats,bushels,2.56,,0.05,166.85,0.076715613,1900,2091,,3991,306,,,350,200,1475,3100,,,2960,,8085,620,12076,926
Peas,bushels,2.56,,0.05,166.85,0.076715613,,450,,450,35,,,,,,,,,,,0,0,450,35
Plank,pieces,6.816,,0.005,166.85,0.020425532,400,120,,520,11,,,,,,,,,,,0,0,520,11
Plank,feet,6.816,,0.0005,166.85,0.002042553,,11000,500,11500,23,,2000,800,,,,,1600,,20,4420,9,15920,32
Pork,pounds,72.35,,0.00025,166.85,0.010840575,,,,0,0,,93,,,,,,,,100,193,2,193,2
Pork,barrels,72.35,,0.05,166.85,2.168115073,25,,,25,54,,,,,,,,,,,0,0,25,54
Potatoes,bushels,,,,166.85,0,,,,0,0,,,,,100,,,,,,100,0,100,0
Rum,hhds,3.22,,5.25,166.85,10.13185496,,,,0,0,,,,,,,,6,,,6,61,6,61
Rum,gallons,3.22,,0.05,166.85,0.096493857,,,,0,0,,,,,,,,,,170,170,16,170,16
Shingles,,,,,166.85,0,,28400,,28400,0,,,,,,,,3000,,,3000,0,31400,0
Staves,,4.26,,0.001,166.85,0.002553191,2500,4350,,6850,17,,,,,7000,,,1000,2200,1000,11200,29,18050,46
Tobacco,pounds,19.9,,0.0005,166.85,0.00596344,,2671,,2671,16,,,,,,,,,444,,444,3,3115,19
Wax,pounds,,,,166.85,0,,,,0,0,,,,,,10,,,,,10,0,10,0
Wheat,bushels,4.38,,0.05,166.85,0.131255619,,,,0,0,,,,,,,,,,12,12,2,12,2
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,1786,,,,,,,,,,,,3038,,4824
