Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,St. Christophers,Virgin Islands,WI,,Bermuda,Boston,New York,North Carolina,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Barnstaple,Biddeford,Bristol,GB,,Ireland,IRE,,Africa,AFR,,TOTAL,
,,1752,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,72.35,,0.05,166.85,2.168115073,,,,,,0,0,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,0,0
Board,feet,6.816,,0.0005,166.85,0.002042553,,,,,,0,0,,,,,,,1500,,1500,3,,,,,0,0,,0,0,,0,0,1500,3
Brown sugar,quarters,48,,0.0125,166.85,0.359604435,,,,,,0,0,,,2,,,,,,2,1,,,,,0,0,,0,0,,0,0,2,1
Brown sugar,barrels,48,,0.15,166.85,4.315253221,,18,45,8,,71,306,,10,,,,,,,10,43,,,,,0,0,,0,0,,0,0,81,349
Brown sugar,cwt,48,,0.05,166.85,1.43841774,,,,,,0,0,,,3,,,,,,3,4,,,,,0,0,,0,0,,0,0,3,4
Calves skins,boxes,,,,166.85,0,,,,,,0,0,,,,,4,,,,4,0,,,,,0,0,,0,0,,0,0,4,0
Cheese,pounds,,,,166.85,0,,,,,,0,0,,,,,,1400,700,,2100,0,,,,,0,0,,0,0,,0,0,2100,0
Cheese,hhds,,,,166.85,0,,,,,,0,0,,1,,,,,,,1,0,,,,,0,0,,0,0,,0,0,1,0
Cheese,casks,,,,166.85,0,,,,,,0,0,,2,,,,,,,2,0,,,,,0,0,,0,0,,0,0,2,0
Chocolate,boxes,,,,166.85,0,,,,,,0,0,,,,,16,,,,16,0,,,,,0,0,,0,0,,0,0,16,0
