Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,St. Martins,Sta. Cruz,WI,,New Providence,Turks Island,Bermuda,Boston,New York,North Carolina,Nova Scotia,Philadelphia,Quebec,Rhode Island,NA,,London,Bideford,Bristol,GB,,Africa,AFR,,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1763,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,60.29,,0.05,173,1.742485549,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,12,12,21,12,21
Brown sugar,tierces,49.79,,0.489285714,173,14.08181255,3,,,,,,,3,42,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,,0,0,3,42
Brown sugar,pounds,49.79,,0.000446429,173,0.012848369,2850,,,,,,,2850,37,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,,0,0,2850,37
Brown sugar,hhds,49.79,,0.632142857,173,18.19329067,,,,,,,,0,0,,,,,1,,,,,,1,18,,,,0,0,,0,0,,0,0,,0,0,1,18
Brown sugar,barrels,49.79,,0.15,173,4.317052023,8,,,,,10,,18,78,,,,9,,,,,,,9,39,,,,0,0,,0,0,,0,0,,0,0,27,117
Cheese,pounds,,,,173,0,,,,,,,,0,0,,,,10000,,,,,,,10000,0,,,,0,0,,0,0,,0,0,,0,0,10000,0
Chocolate,boxes,,,,173,0,,,,,,,,0,0,,,,,10,,,14,,,24,0,,,,0,0,,0,0,,0,0,,0,0,24,0
Claret,hhds,49.34,,0.5,173,14.26011561,,,,,,,,0,0,32,,,,6,,,,6,,44,627,,,,0,0,,0,0,,0,0,,0,0,44,627
Claret,gallons,49.34,,,173,0,,600,,,,,,600,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,,0,0,600,0
Claret,casks,49.34,,,173,0,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,,0,0,0,0
Cocoa,bags,,,,173,0,,,,,,,,0,0,,,2,,,,,,,,2,0,,,,0,0,,0,0,,0,0,,0,0,2,0
Coffee,barrels,,,,173,0,,,,,,,,0,0,10,,,,,,,1,,,11,0,,,,0,0,,0,0,,0,0,,0,0,11,0
Coffee,tierces,,,,173,0,,,,,,,,0,0,8,,,,,,,,,,8,0,,,,0,0,,0,0,,0,0,,0,0,8,0
Convicts,,12.63272727,,1,100,12.63272727,,,,,,,,0,0,,,,,1,,,,,,1,13,40,2,38,80,1011,,0,0,,0,0,,0,0,81,1024
Fyall wine,quarter casks,49.34,,0.25,173,7.130057803,,,,,,,,0,0,,,,4,,,,,,,4,29,,,,0,0,,0,0,,0,0,,0,0,4,29
Fyall wine,pipes,49.34,,1,173,28.52023121,,,,,,,,0,0,,,,,5,,,15,,,20,570,,,,0,0,,0,0,,0,0,,0,0,20,570
Indigo,pounds,,,,173,0,,,,,,,,0,0,,,90,,,,,,,,90,0,,,,0,0,,0,0,,0,0,,0,0,90,0
Loaf sugar,pounds,1.04,,0.05,173,0.030057803,,,,,,,,0,0,,,,2000,,,,,,100,2100,63,,,,0,0,,0,0,,0,0,,0,0,2100,63
Loaf sugar,tierces,1.04,,17,173,10.21965318,,,,,,,,0,0,,,,,2,,,,,,2,20,,,,0,0,,0,0,,0,0,,0,0,2,20
Loaf sugar,barrels,1.04,,6.25,173,3.757225434,,,,,,,,0,0,,,,2,8,,,,,,10,38,,,,0,0,,0,0,,0,0,,0,0,10,38
Loaf sugar,casks,1.04,,6.25,173,3.757225434,,,,,,,,0,0,,,,,,,,19,,,19,71,,,,0,0,,0,0,,0,0,,0,0,19,71
Loaf sugar,hhds,1.04,,25,173,15.02890173,,,,,,,,0,0,,,,9,,,,10,,,19,286,,,,0,0,,0,0,,0,0,,0,0,19,286
Madeira,pipes,49.34,,1,173,28.52023121,,,,,,5,,5,143,,,,,,,,,,,0,0,,,,0,0,,0,0,100,100,2852,,0,0,105,2995
Madeira,quarter casks,49.34,,0.25,173,7.130057803,,,,,,4,,4,29,,,,,4,,,,,,4,29,,,,0,0,,0,0,5,5,36,,0,0,13,94
Madeira,casks,49.34,,0.25,173,7.130057803,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,,0,0,0,0
Madeira,hhds,49.34,,0.5,173,14.26011561,,,,,,2,,2,29,,,,,,,,,,,0,0,,,,0,0,,0,0,27,27,385,,0,0,29,414
Mahogany,planks,,,,173,0,,,,,,,,0,0,1000,,,,,,,,,,1000,0,,,,0,0,,0,0,,0,0,,0,0,1000,0
Mahogany plank,feet,,,,173,0,,,,,,,,0,0,500,,,,,,,,,,500,0,,,,0,0,,0,0,,0,0,,0,0,500,0
Molasses,barrels,1.99,,1.45,173,1.667919075,,,,,,,,0,0,,,,2,,,,,,,2,3,,,,0,0,,0,0,,0,0,,0,0,2,3
Molasses,tierces,1.99,,3.05,173,3.508381503,17,,,,,,,17,60,,,,6,,,,,,,6,21,,,,0,0,,0,0,,0,0,1,1,4,24,85
Molasses,puncheons,1.99,,5.05,173,5.808959538,,,,,,,,0,0,,,,,,,,8,,,8,46,,,,0,0,,0,0,,0,0,,0,0,8,46
Molasses,gallons,1.99,,0.05,173,0.057514451,,,,,,,,0,0,,,,1400,,200,200,,,,1800,104,,,,0,0,,0,0,,0,0,,0,0,1800,104
Molasses,hhds,1.99,,5.05,173,5.808959538,11,,,,,,,11,64,,,14,3,6,,,,,25,48,279,,,,0,0,,0,0,,0,0,3,3,17,62,360
Muscovado sugar,tierces,49.79,,0.489285714,173,14.08181255,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,0,0,,0,0,3,3,42,3,42
Muscovado sugar,hhds,49.79,,0.063214286,173,1.819329067,,,,,,,,0,0,,,,,,,,1,,,1,2,,,,0,0,,0,0,,0,0,4,4,7,5,9
