Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Granada,Jamaica,Montserrat,St. Christophers,St. Martins,Tortola,WI,,Turks Island,Boston,Lewis DE,North Carolina,Philadelphia,Rhode Island,South Carolina,NA,,London,Bristol,GB,,Cork,IRE,,Isle of May,SEU,,Senegal,AFR,,TOTAL,
,,1764,,,,Sterling,,,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar,pounds,48.73,,0.000446429,172.86,0.012585019,,28600,49000,,76025,2700,1600,895,,158820,1999,,,,,,3700,,3700,47,,,0,0,,0,0,,0,0,,0,0,158820,2046
Sugar,barrels,48.73,,0.15,172.86,4.22856647,,,,,,,,,,0,0,,,,,,8,,8,34,,,0,0,,0,0,,0,0,,0,0,0,34
Tar,barrels,12.36,,0.05,172.86,0.357514752,,,,,,,,,,0,0,,,,464,,,,464,166,,,0,0,,0,0,,0,0,,0,0,0,166
Tea,pounds,7.3,,0.05,172.86,0.211153535,,,71,,,,,,,71,15,,,,,,,,0,0,,,0,0,,0,0,,0,0,,0,0,71,15
Turpentine,barrels,16.75,,0.05,172.86,0.484496124,,,,,,,,,,0,0,,,,24,,,,24,12,,,0,0,,0,0,,0,0,,0,0,0,12
Wine,pipes,50.56,,1,172.86,29.24910332,,7,,,,,,,,7,205,,,,40,,,,40,1170,,,0,0,,0,0,,0,0,,0,0,7,1375
Wine,quarter casks,50.56,,0.25,172.86,7.31227583,,7,,,,,,,,7,51,,,,2,,,,2,15,,,0,0,,0,0,,0,0,,0,0,7,66
Wine,gallons,50.56,,0.007936508,172.86,0.232135741,,3700,5100,,,,,,,8800,2043,,600,,,,100,2035,2735,635,,,0,0,,0,0,,0,0,,0,0,8800,2678
Wine,hhds,50.56,,0.5,172.86,14.62455166,,3,,,,,,,,3,44,,,,4,,,,4,58,,,0,0,,0,0,,0,0,,0,0,3,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,,,18014,,,,,,,,,5932,,,,2995,,,694,,,389,,,2814,,30838
