Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Grenadoes,Jamaica,Mole of St. Nicholas,St. Christophers,St. Eustatia,WI,,New Providence,Boston,Falmouth NE,Lewis DE,North Carolina,Philadelphia,Piscataqua,Rhode Island,NA,,London,Bristol,Liverpool,GB,,Cork,Dublin,IRE,,Africa,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel staves,,65.47,,0.00005,166.62,0.00196465,,,,,,,,0,0,,,,,,2000,,,2000,4,,,,0,0,,,0,0,,0,0,,,0,0,2000,4
Bread,kegs,26.38,,,166.62,0,,,,,,,,0,0,,,,,,4,,,4,0,,,,0,0,,,0,0,,0,0,,,0,0,4,0
Cheese,pounds,,,,166.62,0,,,,,,,,0,0,,,,,,,,700,700,0,,,,0,0,,,0,0,,0,0,,,0,0,700,0
Cheese,cwt,,,,166.62,0,,,,,,,,0,0,,,,,,,,11,11,0,,,,0,0,,,0,0,,0,0,,,0,0,11,0
Chocolate,boxes,,,,166.62,0,,,,,,,,0,0,,6,,,,2,,,8,0,,,,0,0,,,0,0,,0,0,,,0,0,8,0
Chocolate,pounds,,,,166.62,0,,,,,,,,0,0,,,,,,50,,,50,0,,,,0,0,,,0,0,,0,0,,,0,0,50,0
Coffee,pounds,,,,166.62,0,,,,,,,,0,0,,100,,,,,,,100,0,,,,0,0,,,0,0,,0,0,,,0,0,100,0
Convicts,,13.96,,1,100,13.96,,,,,,,,0,0,,,,,,,,,0,0,357,224,,581,8111,,,0,0,,0,0,,,0,0,581,8111
Cotton,pounds,1.71,,0.05,166.62,0.051314368,,250,,,,,,250,13,118,,,,,,,,118,6,,,,0,0,,,0,0,,0,0,,,0,0,368,19
Cotton wool,bags,1.71,,,166.62,0,,,,,,,,0,0,,,,,,,,2,2,0,,,,0,0,,,0,0,,0,0,,,0,0,2,0
Flour,barrels,16.89,,0.089285714,166.62,0.90507485,,,,,,,,0,0,,,,,,398,,,398,360,,,,0,0,,,0,0,,0,0,,,0,0,398,360
Ginger,boxes,,,,166.62,0,,,,,,,,0,0,,,,,,1,,,1,0,,,,0,0,,,0,0,,0,0,,,0,0,1,0
Indigo,pounds,,,,166.62,0,,,,,,,,0,0,,,,,,,,1250,1250,0,,,,0,0,,,0,0,,0,0,,,0,0,1250,0
Linen,yards,,,,166.62,0,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,11229,11229,0,,0,0,,,0,0,11229,0
Loaf sugar,hhds,0.93,,25,166.62,13.95390709,,,,,,,,0,0,,,,,,12,,,12,167,,,,0,0,,,0,0,,0,0,,,0,0,12,167
Loaf sugar,pounds,0.93,,0.05,166.62,0.027907814,,,,,,,,0,0,,20,,,,,1196,,1216,34,,,,0,0,,,0,0,,0,0,,,0,0,1216,34
Loaf sugar,quarters,0.93,,1.4,166.62,0.781418797,,,,,,,,0,0,,3,,,,,,,3,2,,,,0,0,,,0,0,,0,0,,,0,0,3,2
Loaf sugar,cwt,0.93,,5.6,166.62,3.125675189,,,,,,,,0,0,,9,,,,,,,9,28,,,,0,0,,,0,0,,0,0,,,0,0,9,28
Mahogany plank,feet,,,,166.62,0,,,,,,,,0,0,815,,,,,,,,815,0,,,,0,0,,,0,0,,0,0,,,0,0,815,0
Molasses,gallons,1.81,,0.05,166.62,0.054315208,270,,2700,,15360,500,1901,20731,1126,,26932,,,,777,3930,400,32039,1740,,,,0,0,,,0,0,,0,0,,,0,0,52770,2866
Negroes,,38.39,,1,100,38.39,13,,,,,8,,21,806,,,,,,,,,0,0,,,,0,0,,,0,0,120,120,4607,,,0,0,141,5413
Peas,bushels,,,,166.62,0,,,,,,,,0,0,,,,,30,,,,30,0,,,,0,0,,,0,0,,0,0,,,0,0,30,0
Pine boards,feet,8.624,,0.0005,166.62,0.002587925,,,,,,,,0,0,,2000,18000,,,,,,20000,52,,,,0,0,,,0,0,,0,0,,,0,0,20000,52
Pipe staves,,10.01,,0.001,166.62,0.006007682,,,,,,,,0,0,,,,,,4000,,,4000,24,,,,0,0,,,0,0,,0,0,,,0,0,4000,24
Pitch,barrels,14.34,,0.05,166.62,0.43032049,,,,,,,,0,0,,,,,63,,,,63,27,,,,0,0,,,0,0,,0,0,,,0,0,63,27
Pork,barrels,73.43,,0.05,166.62,2.203516985,,,,,,,,0,0,,60,,,155,,,6,221,487,,,,0,0,,,0,0,,0,0,,,0,0,221,487
Refined sugar,barrels,0.93,,6.25,166.62,3.488476773,,,,,,,,0,0,,,,,,1,,,1,3,,,,0,0,,,0,0,,0,0,,,0,0,1,3
Rice,tierces,,,,166.62,0,,,,,,,,0,0,,,,,,1,,,1,0,,,,0,0,,,0,0,,0,0,,,0,0,1,0
Rum,gallons,3.34,,0.05,166.62,0.100228064,1540,48880,4140,104,,9500,3690,67854,6801,,11571,230,,,4230,2530,1800,20361,2041,,,,0,0,,,0,0,,0,0,,,0,0,88215,8842
Salt,casks,1.57,,0.175,166.62,0.164896171,,,,,,,,0,0,,,,,,,2,,2,0,,,,0,0,,,0,0,,0,0,,,0,0,2,0
Salt,bushels,1.57,,0.05,166.62,0.047113192,,,,1200,,,,1200,57,136,,,9000,,,,374,9510,448,,400,13280,13680,645,,,0,0,,0,0,4000,,4000,188,28390,1338
Servants,,13.96,,1,100,13.96,,,,,,,,0,0,,,,,,,,,0,0,115,,92,207,2890,24,99,123,1717,,0,0,,,0,0,330,4607
Shingles,,,,,166.62,0,,,,,,,,0,0,,,,,154600,,,,154600,0,,,,0,0,,,0,0,,0,0,,,0,0,154600,0
Sugar,barrels,46.42,,0.15,166.62,4.178970112,,,,,,,,0,0,,6,,,,,,,6,25,,,,0,0,,,0,0,,0,0,,,0,0,6,25
Sugar,pounds,46.42,,0.000446429,166.62,0.012437411,2000,4600,,,,3850,400,10850,135,1960,,,,,2700,1200,2096,7956,99,,,,0,0,,,0,0,,0,0,,,0,0,18806,234
Table board,feet,8.624,,0.0005,166.62,0.002587925,,,,,,,,0,0,440,,,,,,,,440,1,,,,0,0,,,0,0,,0,0,,,0,0,440,1
Tar,barrels,11.01,,0.05,166.62,0.33039251,,,,,,,,0,0,,,,,417,,,,417,138,,,,0,0,,,0,0,,0,0,,,0,0,417,138
Tea,pounds,4.21,,0.05,166.62,0.126335374,,,,,,,,0,0,,75,,,,,,660,735,93,,,,0,0,,,0,0,,0,0,,,0,0,735,93
Tea,cwt,4.21,,5.6,166.62,14.14956188,,,,,,,,0,0,3,,,,,,,,3,42,,,,0,0,,,0,0,,0,0,,,0,0,3,42
Turpentine,barrels,15.86,,0.05,166.62,0.475933261,,,,,,,,0,0,,,,,160,,,,160,76,,,,0,0,,,0,0,,0,0,,,0,0,160,76
Wheat,bushels,6.31,,0.05,166.62,0.189353019,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,0,0,0,0
Wine,pipes,47.73,,1,166.62,28.64602089,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,23,23,659,23,659
Wine,quarter casks,47.73,,0.25,166.62,7.161505221,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,1,1,7,1,7
Wine,gallons,47.73,,0.007936508,166.62,0.227349372,,890,,,,,,890,202,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,,0,0,890,202
Wine,hhds,47.73,,0.5,166.62,14.32301044,,,,,,,,0,0,,,,,,,,,0,0,,,,0,0,,,0,0,,0,0,,2,2,29,2,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,9140,,,,,,,,,,5897,,,,,11646,,,,1717,,,4607,,,,883,,33890
