Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Boston,New Jersey,Philadelphia,Rhode Island,Salem,South Carolina,NA,,London,Bideford,Bristol,GB,,Cork,IRE,,Madeira,SEU,,TOTAL,
,,1755,,,,Sterling,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown sugar,barrels,48.39,,0.15,168.79,4.300314,,,,,0,0,5,,,,,,5,22,,,,0,0,,0,0,,0,0,5,22
Brown sugar,pounds,48.39,,0.000446429,168.79,0.012798554,,,,,0,0,3500,,,,,,3500,45,,,,0,0,,0,0,,0,0,3500,45
Cheese,,,,,168.79,0,,,,,0,0,,25,,,,,25,0,,,,0,0,,0,0,,0,0,25,0
Cheese,weight,,,,168.79,0,,,,,0,0,500,,,,,,500,0,,,,0,0,,0,0,,0,0,500,0
Cheese,pounds,,,,168.79,0,,,,,0,0,,,,,500,,500,0,,,,0,0,,0,0,,0,0,500,0
Cheese,barrels,,,,168.79,0,,,,,0,0,,,3,,,,3,0,,,,0,0,,0,0,,0,0,3,0
Chocolate,boxes,,,,168.79,0,,,,,0,0,6,,,,,,6,0,,,,0,0,,0,0,,0,0,6,0
Coffee,bags,,,,168.79,0,,,,,0,0,,,2,,,,2,0,,,,0,0,,0,0,,0,0,2,0
Convicts,,12.03636364,,1,100,12.03636364,,,,,0,0,,,,,,,0,0,209,59,93,361,4345,3,3,36,,0,0,364,4381
Leather,bundles,,,,168.79,0,,,,,0,0,,,6,,,,6,0,,,,0,0,,0,0,,0,0,6,0
Loaf sugar,casks,1.06,,6.25,168.79,3.924995557,,,,,0,0,2,,,,,,2,8,,,,0,0,,0,0,,0,0,2,8
Loaf sugar,hhds,1.06,,25,168.79,15.69998223,,,,,0,0,1,,,,,,1,16,,,,0,0,,0,0,,0,0,1,16
Loaf sugar,tierces,1.06,,17,168.79,10.67598791,,,,,0,0,,2,,,,,2,21,,,,0,0,,0,0,,0,0,2,21
Madeira,pipes,29.56,,1,168.79,17.51288583,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,27,27,473,27,473
Madeira,quarter casks,29.56,,0.25,168.79,4.378221459,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,38,38,166,38,166
Madeira,gallons,29.56,,0.007936508,168.79,0.138991157,,,,,0,0,,,125,,50,,175,24,,,,0,0,,0,0,,0,0,175,24
Madeira,hhds,29.56,,0.5,168.79,8.756442917,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,8,8,70,8,70
Mahogany,feet,,,,168.79,0,,,4138,,4138,0,,,,100,,,100,0,,,,0,0,,0,0,,0,0,4238,0
Molasses,gallons,1.89,,0.05,168.79,0.055986729,,,,,0,0,1000,,500,1500,2179,,5179,290,,,,0,0,,0,0,,0,0,5179,290
Muscovado sugar,hhds,48.39,,0.632142857,168.79,18.12275186,,,,,0,0,3,,,,,,3,54,,,,0,0,,0,0,,0,0,3,54
Muscovado sugar,barrels,48.39,,0.15,168.79,4.300314,,10,,,10,43,,,,,,,0,0,,,,0,0,,0,0,,0,0,10,43
Muscovado sugar,pounds,48.39,,4.46429E-05,168.79,0.001279855,,37834,,,37834,48,,,,,490,,490,1,,,,0,0,,0,0,,0,0,38324,49
Negroes,,33.1,,1,100,33.1,,,,8,8,265,,,,1,,,1,33,,,,0,0,,0,0,,0,0,9,298
Rum,gallons,2.84,,0.05,168.79,0.084128207,7500,47110,200,1400,56210,4729,2225,,7500,2500,3730,,15955,1342,,,,0,0,,0,0,,0,0,72165,6071
Rum,tierces,2.84,,3,168.79,5.047692399,,,,,0,0,,,,,,8,8,40,,,,0,0,,0,0,,0,0,8,40
Rum,hhds,2.84,,5.25,168.79,8.833461698,,,,,0,0,,2,,,,,2,18,,,,0,0,,0,0,,0,0,2,18
Salt,bushels,1.515,,0.05,168.79,0.044878251,,,,,0,0,,,1500,,,,1500,67,,,,0,0,,0,0,,0,0,1500,67
Salt,hhds,1.515,,,168.79,0,,,,,0,0,12,,,,16,,28,0,,,,0,0,,0,0,,0,0,28,0
Servants,,12.03636364,,1,100,12.03636364,,,,,0,0,,,1,,,,1,12,103,3,104,210,2528,34,34,409,,0,0,245,2949
Sugar,hhds,48.39,,0.632142857,168.79,18.12275186,,,,,0,0,,,1,,,,1,18,,,,0,0,,0,0,,0,0,1,18
Sugar,pounds,48.39,,0.000446429,168.79,0.012798554,5350,31000,,,36350,465,,,5750,115,4900,,10765,138,,,,0,0,,0,0,,0,0,47115,603
Sugar,barrels,48.39,,0.15,168.79,4.300314,,,,,0,0,,16,,,,,16,69,,,,0,0,,0,0,,0,0,16,69
Wine,quarter casks,29.56,,0.25,168.79,4.378221459,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,5550,,,,,,,,2218,,,,,6873,,,445,,,709,,15795
