Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Turks Island,Boston,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,GB,,Ireland,IRE,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1756,,,,Sterling,,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,22.74,,1,172.57,13.1772614,,,,0,0,,,,3,,,3,40,,,0,0,,0,0,,0,0,,0,0,3,40
Brown sugar,pounds,48.83,,0.000446429,172.57,0.012632038,2400,,,2400,30,,,,,,,0,0,,,0,0,,0,0,,0,0,,0,0,2400,30
Cheese,pounds,,,,172.57,0,,,,0,0,,500,,,,400,900,0,,,0,0,,0,0,,0,0,,0,0,900,0
Chocolate,boxes,,,,172.57,0,,,,0,0,,,,3,,,3,0,,,0,0,,0,0,,0,0,,0,0,3,0
Coffee,barrels,,,,172.57,0,,,,0,0,,,,1,,,1,0,,,0,0,,0,0,,0,0,,0,0,1,0
Convicts,,12.03636364,,1,100,12.03636364,,,,0,0,,,,,,,0,0,213,,213,2564,1,1,12,,0,0,,0,0,214,2576
Ginger,bags,,,,172.57,0,,,,0,0,,,,1,,,1,0,,,0,0,,0,0,,0,0,,0,0,1,0
Hides (raw),pounds,,,,172.57,0,,,,0,0,,,300,,,,300,0,,,0,0,,0,0,,0,0,,0,0,300,0
Indian corn,bushels,2.5,,0.05,172.57,0.072434374,,,,0,0,,,1200,,,,1200,87,,,0,0,,0,0,,0,0,,0,0,1200,87
Loaf sugar,hhds,1.16,,0.05,172.57,0.03360955,,,,0,0,,2,,1,,,3,0,,,0,0,,0,0,,0,0,,0,0,3,0
Molasses,gallons,2.04,,0.05,172.57,0.05910645,,,280,280,17,,,,,,220,220,13,,,0,0,,0,0,,0,0,,0,0,500,30
Molasses,hhds,2.04,,5.05,172.57,5.969751405,,,,0,0,,,,1,,2,3,18,,,0,0,,0,0,,0,0,,0,0,3,18
Negroes,,33.1,,1,100,33.1,,1,,1,33,,,,,,,0,0,,,0,0,,0,0,90,90,2979,,0,0,91,3012
Peas,bushels,2.5,,0.05,172.57,0.072434374,,,,0,0,,,150,,,,150,11,,,0,0,,0,0,,0,0,,0,0,150,11
Pig iron,tons,7.58,,1,172.57,4.392420467,,,,0,0,,,,20,,,20,88,,,0,0,,0,0,,0,0,,0,0,20,88
Pork,barrels,61.42,,0.05,172.57,1.779567712,,,,0,0,,,73,,,,73,130,,,0,0,,0,0,,0,0,,0,0,73,130
Rice,barrels,16.5,,,172.57,0,,,,0,0,,,,2,,,2,0,,,0,0,,0,0,,0,0,,0,0,2,0
Rice,pounds,16.5,,0.000446429,172.57,0.004268454,,,,0,0,,,600,,,,600,3,,,0,0,,0,0,,0,0,,0,0,600,3
Rum,hhds,2.73,,5.25,172.57,8.305325375,,,,0,0,,,,14,,,14,116,,,0,0,,0,0,,0,0,,0,0,14,116
Rum,gallons,2.73,,0.05,172.57,0.079098337,2796,46420,500,49716,3932,,200,,5000,300,,5500,435,,,0,0,,0,0,,0,0,,0,0,55216,4367
Salt,hhds,2.27,,0.35,172.57,0.460392884,,,,0,0,,45,,,,14,59,27,,,0,0,,0,0,,0,0,,0,0,59,27
Salt,bushels,2.27,,0.05,172.57,0.065770412,,,,0,0,1000,,,900,,,1900,125,,,0,0,,0,0,,0,0,,0,0,1900,125
Servants,,12.03636364,,1,100,12.03636364,,,,0,0,,,,,,,0,0,34,132,166,1998,4,4,48,,0,0,,0,0,170,2046
Shingles,,,,,172.57,0,,,,0,0,,,35000,,,,35000,0,,,0,0,,0,0,,0,0,,0,0,35000,0
Sugar,pounds,48.83,,0.000446429,172.57,0.012632038,,57326,13040,70366,889,,,,4450,,600,5050,64,,,0,0,,0,0,,0,0,,0,0,75416,953
Sugar,barrels,48.83,,0.15,172.57,4.244364606,,,,0,0,,,,3,,3,6,25,,,0,0,,0,0,,0,0,,0,0,6,25
Tea,chests,,,,172.57,0,,,,0,0,,,,3,,,3,0,,,0,0,,0,0,,0,0,,0,0,3,0
Turpentine,barrels,13.53,,0.05,172.57,0.392014835,,,,0,0,,,25,,,,25,10,,,0,0,,0,0,,0,0,,0,0,25,10
Wine,gallons,32.78,,0.007936508,172.57,0.150755479,,7200,,7200,1085,,,,75,,,75,11,,,0,0,,0,0,,0,0,700,700,106,7975,1202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,5986,,,,,,,,1203,,,,4562,,,60,,,2979,,,106,,14896
