Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadaloupe,Montserrat,New Providence,St. Christophers,St. Martins,WI,,Boston,New London,New York,Newport,Philadelphia,Rhode Island,Salem,NA,,London,Bideford,Bristol,Liverpool,GB,,Africa,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1760,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown sugar,tierces,47.85,,0.489285714,158.61,14.76093653,,,,,,4,,4,59,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,4,59
Brown sugar,hhds,47.85,,0.632142857,158.61,19.07069902,,,,,,2,,2,38,2,,,,,,,2,38,,,,,0,0,,0,0,,,0,0,4,76
Chocolate,pounds,,,,158.61,0,,,,,,,,0,0,100,,,,,,,100,0,,,,,0,0,,0,0,,,0,0,100,0
Cocoa,bags,,,,158.61,0,,,,10,,,,10,0,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,10,0
Cocoa,barrels,,,,158.61,0,,,,21,,,,21,0,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,21,0
Coffee,pounds,,,,158.61,0,,,800,,2500,,,3300,0,600,,,,,,,600,0,,,,,0,0,,0,0,,,0,0,3900,0
Coffee,cwt,,,,158.61,0,,,,,40,,,40,0,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,40,0
Coffee,bags,,,,158.61,0,,,,20,,6,,26,0,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,26,0
Convicts,,12.94909091,,1,100,12.94909091,,,,,,,,0,0,,,,,,,,0,0,92,8,97,,197,2551,,0,0,,,0,0,197,2551
Cotton,pounds,1.32,,0.05,158.61,0.0416115,,180,,,,,,180,7,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,180,7
Hides in hair,,,,,158.61,0,,,,,60,,,60,0,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,60,0
Loaf sugar,hhds,1.01,,25,158.61,15.9195511,,,,,,,,0,0,6,,2,,,,,8,127,,,,,0,0,,0,0,,,0,0,8,127
Loaf sugar,tierces,1.01,,17,158.61,10.82529475,,,,,,,,0,0,1,,2,,,,,3,32,,,,,0,0,,0,0,,,0,0,3,32
Loaf sugar,barrels,1.01,,6.25,158.61,3.979887775,,,,,,,,0,0,,,,,2,,,2,8,,,,,0,0,,0,0,,,0,0,2,8
Loaf sugar,casks,1.01,,6.25,158.61,3.979887775,,,,,,,,0,0,2,,,,,,,2,8,,,,,0,0,,0,0,,,0,0,2,8
Madeira,gallons,50.31,,0.007936508,158.61,0.251740568,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,0,0,1000,300,1300,327,1300,327
Mahogany plank,feet,,,,158.61,0,,,,,210,,,210,0,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,210,0
Molasses,gallons,2.7,,0.05,158.61,0.085114432,178,270,,,2480,,,2928,249,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,2928,249
Molasses,hhds,2.7,,5.05,158.61,8.596557594,,,56,,10,4,,70,602,3,3,13,,,,24,43,370,,,,,0,0,,0,0,,,0,0,113,972
Molasses,tierces,2.7,,3.05,158.61,5.191980329,,,,,,2,,2,10,,2,,,,,,2,10,,,,,0,0,,0,0,,,0,0,4,20
Molasses,casks,2.7,,3.05,158.61,5.191980329,,,,,,,,0,0,,,,6,,,,6,31,,,,,0,0,,0,0,,,0,0,6,31
Muscovado sugar,barrels,47.85,,0.15,158.61,4.525250615,,,,,,,,0,0,,,,,3,,,3,14,,,,,0,0,,0,0,,,0,0,3,14
Muscovado sugar,hhds,47.85,,0.632142857,158.61,19.07069902,,,,,,,,0,0,,,5,,,,,5,95,,,,,0,0,,0,0,,,0,0,5,95
Negroes,,35.61,,1,100,35.61,,,,,,,2,2,71,,,,,,,,0,0,1,,,,1,36,333,333,11858,,,0,0,336,11965
Pepper,pounds,,,,158.61,0,,,,,,,,0,0,,,100,,,,,100,0,,,,,0,0,,0,0,,,0,0,100,0
Potatoes,barrels,,,,158.61,0,,,,,,,,0,0,8,,,,,,,8,0,,,,,0,0,,0,0,,,0,0,8,0
Refined sugar,casks,1.01,,6.25,158.61,3.979887775,,,,,,,,0,0,,,4,,,,,4,16,,,,,0,0,,0,0,,,0,0,4,16
Refined sugar,weight,1.01,,0.05,158.61,0.031839102,,,,,,,,0,0,,,,,,,100,100,3,,,,,0,0,,0,0,,,0,0,100,3
Refined sugar,hhds,1.01,,25,158.61,15.9195511,,,,,,,,0,0,,,7,,,,,7,111,,,,,0,0,,0,0,,,0,0,7,111
Refined sugar,tierces,1.01,,17,158.61,10.82529475,,,,,,,,0,0,,,2,,,,,2,22,,,,,0,0,,0,0,,,0,0,2,22
Rice,pounds,19,,0.000446429,158.61,0.005347798,,,,,2400,,,2400,13,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,2400,13
Rice,casks,19,,,158.61,0,,,,,,,,0,0,,,1,,,,,1,0,,,,,0,0,,0,0,,,0,0,1,0
Rice,tierces,19,,,158.61,0,,,,,55,,,55,0,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,55,0
Rum,casks,4.73,,1.45,158.61,4.324128365,,,,,,,,0,0,,,1,,,,,1,4,,,,,0,0,,0,0,,,0,0,1,4
Rum,barrels,4.73,,1.45,158.61,4.324128365,,,,,,,,0,0,,,,12,,,,12,52,,,,,0,0,,0,0,,,0,0,12,52
Rum,hhds,4.73,,5.25,158.61,15.65632684,,,,,,22,,22,344,5,4,2,2,,,5,18,282,,,,,0,0,,0,0,,,0,0,40,626
Rum,gallons,4.73,,0.05,158.61,0.149107875,5580,24917,100,1350,700,10500,,43147,6434,1500,130,6960,,400,,220,9210,1373,,,,,0,0,,0,0,,,0,0,52357,7807
Salt,hhds,2.555,,0.35,158.61,0.5638043,,,,,,,,0,0,,,,,,,8,8,5,,,,,0,0,,0,0,,,0,0,8,5
Salt,bushels,2.555,,0.05,158.61,0.080543471,,,600,,,3000,3000,6600,532,,470,150,,,,300,920,74,,,,4011,4011,323,,0,0,1500,,1500,121,13031,1050
Servants,,12.94909091,,1,100,12.94909091,,,,,,,,0,0,,,,,,,,0,0,1,,7,,8,104,,0,0,,,0,0,8,104
Sugar,cwt,47.85,,0.05,158.61,1.508416872,,,,,213,,,213,321,20,,,,,,,20,30,,,,,0,0,,0,0,,,0,0,233,351
Sugar,hhds,47.85,,0.632142857,158.61,19.07069902,,,,,15,,,15,286,,,14,,,,1,15,286,,,,,0,0,,0,0,,,0,0,30,572
Sugar,tierces,47.85,,0.489285714,158.61,14.76093653,,,,,5,,,5,74,,,,,,,,0,0,,,,,0,0,,0,0,,,0,0,5,74
