Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Montserrat,Nevis,St. Christophers,WI,,Bermuda,Boston,Philadelphia,Rhode Island,Salem,South Carolina,NA,,Barnstaple,Bideford,London,GB,,Madeira,SEU,,TOTAL,
,,1750,,,,Sterling,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axes,dozen,,,,170.6,0,,,,,,,0,0,,,,3,12,,15,0,,,,0,0,,0,0,15,0
Blubber,barrels,,,,170.6,0,,,,,,,0,0,,2,,,3,,5,0,,,,0,0,,0,0,5,0
Bread,barrels,23.82,,0.089285714,170.6,1.246650477,,,,,,,0,0,,,25,,,,25,31,,,,0,0,,0,0,25,31
Bread,casks,23.82,,0.089285714,170.6,1.246650477,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Bricks,M,,,,170.6,0,,,,,,,0,0,,5,,,,,5,0,,,,0,0,,0,0,5,0
Brown Sugar,barrels,51.98,,0.15,170.6,4.570339977,,25,30,,,,55,251,,3,,,,,3,14,,,,0,0,,0,0,58,265
Brown Sugar,kilderkins,51.98,,,170.6,0,,,,,12,,12,0,,,,,,,0,0,,,,0,0,,0,0,12,0
Brown Sugar,pounds,51.98,,0.000446429,170.6,0.013602202,,,17800,,,,17800,242,,,,,600,,600,8,,,,0,0,,0,0,18400,250
Brown Sugar,tierces,51.98,,0.466964286,170.6,14.22790362,,,,,3,,3,43,,,,,,,0,0,,,,0,0,,0,0,3,43
Brushes,dozens,,,,170.6,0,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,0,0
Chairs,,,,,170.6,0,,,,,,,0,0,,37,,,,,37,0,,,,0,0,,0,0,37,0
Chaises,,,,,170.6,0,,,,,,,0,0,,1,,,,,1,0,,,,0,0,,0,0,1,0
Cheese,tons,,,,170.6,0,,,,,,,0,0,,0.5,,,,,0.5,0,,,,0,0,,0,0,0.5,0
Convicts,,9.861818182,,1,100,9.861818182,,,,,,,0,0,,,,,,,0,0,59,,113,172,1696,,0,0,172,1696
Cyder,barrels,,,,170.6,0,,,,,,,0,0,,130,,,,,130,0,,,,0,0,,0,0,130,0
Desks,,,,,170.6,0,,,,,,,0,0,,4,,,,,4,0,,,,0,0,,0,0,4,0
