Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadaloupe,Jamaica,Nevis,St. Christophers,St. Martins,WI,,New Providence,Bermuda,Boston,Lewis DE,New York,Newcastle DE,North Carolina,Philadelphia,Piscataway,Rhode Island,Salem,NA,,London,Bristol,GB,,Londonderry,IRE,,Africa,AFR,,Madeira,Teneriffe,SEU,,TOTAL,
,,1761,,,,Sterling,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convicts,,12.94909091,,1,100,12.94909091,,,,,,,,0,0,,,,,,,,,,,,0,0,115,44,159,2059,,0,0,,0,0,,,0,0,159,2059
Cotton,packs,1.45,,6,172.71,5.03734584,,,,,,,,0,0,,,,,,2,,,,,,2,10,,,0,0,,0,0,,0,0,,,0,0,2,10
Cotton,bags,1.45,,,172.71,0,,,,,,,,0,0,1650,,,,,,,,,,,1650,0,,,0,0,,0,0,,0,0,,,0,0,1650,0
Deer Skin,pounds,,,,172.71,0,,,,,,,,0,0,,,,,,,18,,,,,18,0,,,0,0,,0,0,,0,0,,,0,0,18,0
Deer Skin,,,,,172.71,0,,,,,,,,0,0,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,0,0,0,0
Fyall wine,quarter casks,48.83,,0.25,172.71,7.068206821,,,,,,,,0,0,,,,,,,,12,,,,12,85,,,0,0,,0,0,,0,0,,,0,0,12,85
Fyall wine,gallons,48.83,,0.007936508,172.71,0.224387518,,,,,,,,0,0,,,,,50,,,,,,,50,11,,,0,0,,0,0,,0,0,,,0,0,50,11
Fyall wine,pipes,48.83,,1,172.71,28.27282728,,,,,,,,0,0,,,,,23,,,,,,,23,650,,,0,0,,0,0,,0,0,,,0,0,23,650
Hides (sole leather),,,,,172.71,0,,,,,,,,0,0,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,0,0,0,0
Indigo,casks,7.59,,,172.71,0,,,,,,,,0,0,,,,,1,,,,,,,1,0,,,0,0,,0,0,,0,0,,,0,0,1,0
Loaf sugar,hhds,1.08,,25,172.71,15.63314226,,,,,,,,0,0,,,4,,8,,,,,3,,15,234,,,0,0,,0,0,,0,0,,,0,0,15,234
Loaf sugar,barrels,1.08,,6.25,172.71,3.908285565,,,,,,,,0,0,,,14,,,,,,,,,14,55,,,0,0,,0,0,,0,0,,,0,0,14,55
Loaf sugar,pounds,1.08,,0.05,172.71,0.031266285,,,,,,,,0,0,,,500,,,,,,,,,500,16,,,0,0,,0,0,,0,0,,,0,0,500,16
Loaf sugar,tierces,1.08,,17,172.71,10.63053674,,,,,,,,0,0,,,1,,4,,2,,,,,7,74,,,0,0,,0,0,,0,0,,,0,0,7,74
Madeira,quarter casks,48.83,,0.25,172.71,7.068206821,,,,,,,,0,0,,,,,8,,,,,,,8,57,,,0,0,,0,0,,0,0,,,0,0,8,57
Madeira,pipes,48.83,,1,172.71,28.27282728,,,,,,,,0,0,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,3,3,85,3,85
Madeira,gallons,48.83,,0.007936508,172.71,0.224387518,,,,,,,,0,0,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,6600,,6600,1481,6600,1481
Mahogany plank,feet,,,,172.71,0,,,,,,,,0,0,300,,,,,,,,,,,300,0,,,0,0,,0,0,,0,0,,,0,0,300,0
Molasses,hhds,2.42,,5.05,172.71,7.076023392,,,,,,9,,9,64,,,8,,6,,,,,,,14,99,,,0,0,,0,0,,0,0,,,0,0,23,163
Molasses,tierces,2.42,,3.05,172.71,4.27363789,,,,,,2,,2,9,,,6,,,,,,,1,,7,30,,,0,0,,0,0,,0,0,,,0,0,9,39
Molasses,gallons,2.42,,0.05,172.71,0.070059638,,,,,,,,0,0,,,100,,,1100,400,,200,10,,1810,127,,,0,0,,0,0,,0,0,,,0,0,1810,127
Molasses,barrels,2.42,,1.45,172.71,2.031729489,,,,,,,,0,0,,,,,,,,,,4,,4,8,,,0,0,,0,0,,0,0,,,0,0,4,8
Muscovado sugar,hhds,49.14,,0.632142857,172.71,17.98593017,,,,,,,,0,0,,,,,,,1,,,,,1,18,,,0,0,,0,0,,0,0,,,0,0,1,18
Muscovado sugar,pounds,49.14,,0.000446429,172.71,0.012701928,,7100,,,,,,7100,90,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,0,0,7100,90
Negroes,,35.61,,1,100,35.61,,,,14,,,,14,499,,,,,,,,,,,,0,0,,,0,0,,0,0,110,110,3917,,,0,0,124,4416
Pimento,hhds,,,,172.71,0,,,,,,,,0,0,,,1,,,,,,,,,1,0,,,0,0,,0,0,,0,0,,,0,0,1,0
Rum,gallons,3.93,,0.05,172.71,0.113774535,7146,20380,2700,,,,,30226,3439,500,200,850,,800,400,,,600,,,3350,381,,,0,0,,0,0,,0,0,,,0,0,33576,3820
Rum,hhds,3.93,,5.25,172.71,11.94632621,,,,,17,129,,146,1744,1,,15,,12,,,20,,7,2,57,681,,,0,0,,0,0,,0,0,,,0,0,203,2425
Rum,puncheons,3.93,,5.25,172.71,11.94632621,,,,4,,,,4,48,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,0,0,4,48
Rum,barrels,3.93,,1.45,172.71,3.299461525,,,,,,,,0,0,,,,,,,,,,4,,4,13,,,0,0,,0,0,,0,0,,,0,0,4,13
Rum,tierces,3.93,,3,172.71,6.826472121,,,,,,1,,1,7,10,,,,,,,,,,,10,68,,,0,0,,0,0,,0,0,,,0,0,11,75
Salt,bushels,2.42,,0.05,172.71,0.070059638,,,,,,,1800,1800,126,,,,4500,,203,,300,,40,,5043,353,,6000,6000,420,2664,2664,187,,0,0,,,0,0,15507,1086
Salt,hhds,2.42,,0.35,172.71,0.490417463,,,,,,20,,20,10,,,,,,,,,,,2,2,1,,,0,0,,0,0,,0,0,,,0,0,22,11
Servants,,12.94909091,,1,100,12.94909091,,,,,,,,0,0,,,,,,,,,,,,0,0,,3,3,39,,0,0,,0,0,,,0,0,3,39
Spirit turpentine,barrels,,,,172.71,0,,,,,,,,0,0,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,,0,0,0,0
Sugar,hhds,49.14,,0.632142857,172.71,17.98593017,,,,,,,,0,0,20,,,96,6,,,,,,,122,2194,,,0,0,,0,0,,0,0,,,0,0,122,2194
Sugar,tierces,49.14,,0.489285714,172.71,13.92131318,,,,,,2,,2,28,10,,,4,2,,,,,1,,17,237,,,0,0,,0,0,,0,0,,,0,0,19,265
Sugar,cwt,49.14,,0.05,172.71,1.422615946,,,,,,,,0,0,1323,,,,,,,,,,,1323,1882,,,0,0,,0,0,,0,0,,,0,0,1323,1882
Sugar,pounds,49.14,,0.000446429,172.71,0.012701928,800,9600,,,,,,10400,132,,,800,,,,,,800,,,1600,20,,,0,0,,0,0,,0,0,,,0,0,12000,152
Sugar,barrels,49.14,,0.15,172.71,4.267847837,,,,,,,,0,0,12,,,,14,,,,,,3,29,124,,,0,0,,0,0,,0,0,,,0,0,29,124
Tar,barrels,11.25,,0.05,172.71,0.325690464,,,,,,,,0,0,,,,,,,106,,,,,106,35,,,0,0,,0,0,,0,0,,,0,0,106,35
Teneriff wine,quarter casks,48.83,,0.25,172.71,7.068206821,,,,,,,,0,0,,,,,,,,,,1,,1,7,,,0,0,,0,0,,0,0,,,0,0,1,7
Teneriff wine,pipes,48.83,,1,172.71,28.27282728,,,,,,,,0,0,,,,,10,,,,,1.5,,11.5,325,,,0,0,,0,0,,0,0,,,0,0,11.5,325
Teneriff wine,barrels,48.83,,0.25,172.71,7.068206821,,,,,,,,0,0,,,,,,,,,,3,,3,21,,,0,0,,0,0,,0,0,,,0,0,3,21
Turpentine,barrels,14.11,,0.05,172.71,0.408488217,,,,,,,,0,0,,,,,,,100,,,,,100,41,,,0,0,,0,0,,0,0,,,0,0,100,41
Vedonia wine,quarter casks,48.83,,0.25,172.71,7.068206821,,,,,,,,0,0,,,2,,,,,,,,,2,14,,,0,0,,0,0,,0,0,,,0,0,2,14
Wine,quarter casks,48.83,,0.25,172.71,7.068206821,,,,,,,,0,0,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,32,32,226,32,226
Wine,pipes,48.83,,1,172.71,28.27282728,,,,,,,,0,0,,,,,,,,,,,,0,0,,,0,0,,0,0,,0,0,,43,43,1216,43,1216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,6293,,,,,,,,,,,,,8115,,,,2518,,,187,,,3917,,,,3008,,24038
