Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Grenadoes,WI,,Boston,Falmouth,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,Greenock,Kinsale,GB,,Cadiz,SEU,,TOTAL,
,,1768,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,cwt,23.71,,0.05,166.62,0.71149922,60,,10,70,50,,,,12,,12,9,,,,,31,,,31,22,,0,0,113,81
Bar iron,pounds,23.71,,0.000446429,166.62,0.006352672,67,,,67,0,,,,,,0,0,,,16,3,13,,,32,0,,0,0,99,0
Bar iron,quarters,23.71,,0.0125,166.62,0.177874805,6,,,6,1,,,,,,0,0,,,1,2,4,,,7,1,,0,0,13,2
Bar iron,tons,23.71,,1,166.62,14.2299844,3,,,3,43,4,,,,,4,57,,22,5,2,35,,,64,911,,0,0,71,1011
Bread and flour,barrels,16.89,,0.089285714,166.62,0.90507485,320,210,325,855,774,,,,307,,307,278,30,162,,,,,,192,174,492,492,445,1846,1671
Corn,hhds,2.57,,0.35,166.62,0.539851158,,,,0,0,,,,,,0,0,102,,,,,,,102,55,,0,0,102,55
Corn,bushels,2.57,,0.05,166.62,0.077121594,28098,12910,375,41383,3192,80,1100,2210,1760,4050,9200,710,8800,3000,,,,,4860,16660,1285,14395,14395,1110,81638,6297
Cotton,bags,1.71,,6,166.62,6.157724163,,,,0,0,,,,,,0,0,,,,,8,,,8,49,,0,0,8,49
Flaxseed,barrels,5.5,,,166.62,0,,,,0,0,,,2,,,2,0,,,,,,,,0,0,,0,0,2,0
Flaxseed,casks,5.5,,,166.62,0,,,,0,0,,,,,,0,0,10,,,,,,,10,0,,0,0,10,0
Flaxseed,tierces,5.5,,,166.62,0,,,,0,0,1,,2,,,3,0,,,,,,,,0,0,,0,0,3,0
Handspikes,,,,,166.62,0,,,,0,0,,,,,,0,0,48,,,,,,,48,0,,0,0,48,0
Hemp,quarters,4.55,,0.116666667,166.62,0.318589205,,,,0,0,,,,,,0,0,2,,9,,2,,,13,4,,0,0,13,4
Hemp,cwt,4.55,,0.466666667,166.62,1.27435682,,,,0,0,10,,10,10,,30,38,28,10,30,,28,,,96,122,,0,0,126,160
Hemp,pounds,4.55,,0.004166667,166.62,0.011378186,,,,0,0,,,,,,0,0,34,,34,,2,,,70,1,,0,0,70,1
Hemp,tons,4.55,,9.333333333,166.62,25.4871364,,,,0,0,48,,,6,,54,1376,12,48,12,,18,,,90,2294,,0,0,144,3670
Hoops,,,,,166.62,0,6625,275,,6900,0,,,,,,0,0,,,,,840,720,,1560,0,,0,0,8460,0
Logs,,,,,166.62,0,,,,0,0,,,,,,0,0,,,2,,,,,2,0,,0,0,2,0
Molasses,hhds,1.81,,5.05,166.62,5.485836034,,,,0,0,,,,,2,2,11,,,,,,,,0,0,,0,0,2,11
Peas,bushels,2.57,,0.05,166.62,0.077121594,1456,70,84,1610,124,,,,60,,60,5,,,,,,,,0,0,,0,0,1670,129
Peas,barrels,2.57,,0.175,166.62,0.269925579,,15,,15,4,,,,,,0,0,,,,,,,,0,0,,0,0,15,4
Peas,bags,2.57,,,166.62,0,,22,,22,0,,,,,,0,0,,,,,,,,0,0,,0,0,22,0
Peas/beans,bushels,2.57,,0.05,166.62,0.077121594,428,637,,1065,82,,,,115,115,230,18,,,,,,,,0,0,90,90,7,1385,107
Pig iron,tons,8.2,,1,166.62,4.921377986,,,,0,0,,,,,,0,0,96,,65,,89.5,30,,280.5,1380,,0,0,280.5,1380
Plank,feet,8.624,,0.0005,166.62,0.002587925,300,,3000,3300,9,,,,,,0,0,10000,3000,400,,6820,,3000,23220,60,,0,0,26520,69
Pork,pounds,73.43,,0.00025,166.62,0.011017585,295,,,295,3,,,,,,0,0,,,,,,,,0,0,,0,0,295,3
Pork,barrels,73.43,,0.05,166.62,2.203516985,209,,,209,461,,,,,2,2,4,,,,,2,,,2,4,,0,0,213,469
Rum,hhds,3.34,,5.25,166.62,10.52394671,,,,0,0,,,,,1,1,11,1,,,,6,,,7,74,,0,0,8,85
Shingles,,,,,166.62,0,31600,8600,,40200,0,,,1400,,,1400,0,,,,,,,,0,0,5000,5000,0,46600,0
Skins,boxes,,,,166.62,0,,,,0,0,,,,,,0,0,1,1,,,,,,2,0,,0,0,2,0
Skins,cases,,,,166.62,0,,,,0,0,,,,,,0,0,7,,,,,,,7,0,,0,0,7,0
Staves,,5.39,,0.001,166.62,0.003234906,14300,13100,,27400,89,,,200,500,,700,2,75300,10000,22900,19700,161000,7200,,296100,958,7500,7500,24,331700,1073
Sugar,barrels,46.42,,0.15,166.62,4.178970112,,,,0,0,,,,9,,9,38,,,,,,,,0,0,,0,0,9,38
Tobacco,hhds,21.83,,0.5485,166.62,7.186265154,6,3,,9,65,,,,2,,2,14,2277,300,1075,818,5309,325,,10104,72610,,0,0,10115,72689
Wax,pounds,,,,166.62,0,,,,0,0,,,,,,0,0,,,,,,,,0,0,136,136,0,136,0
Wheat,bushels,6.31,,0.05,166.62,0.189353019,,,,0,0,,,3204,,,3204,607,,,,,,,,0,0,50,50,9,3254,616
Wine,quarter casks,47.73,,0.25,166.62,7.161505221,,,,0,0,,,,,,0,0,,,,1,,,,1,7,,0,0,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4897,,,,,,,3178,,,,,,,,,80011,,,1595,,89681
