Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,New York,Salem,South Carolina,NA,,London,Bristol,Liverpool,Whitehaven,Aberdeen,Glasgow,Montrose,GB,,Madeira,SEU,,TOTAL,
,,1750,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.56,,0.05,170.6,0.075029308,,0,0,,,15,,15,1,,,,,,,,0,0,56,56,4,71,5
Corn,bushels,2.56,,0.05,170.6,0.075029308,3955,3955,297,7450,350,1400,,9200,690,,,,,,,,0,0,1800,1800,135,14955,1122
Cotton,bags,1.89,,6,170.6,6.647127784,,0,0,,,,,0,0,,,,,,1,,1,7,,0,0,1,7
Cotton,pounds,1.89,,0.05,170.6,0.055392732,,0,0,,,,,0,0,,,,,,500,,500,28,,0,0,500,28
Deer Skins,casks,,,,170.6,0,,0,0,,,,,0,0,1,,,,,,,1,0,,0,0,1,0
Deer Skins,cases,,,,170.6,0,,0,0,,,,,0,0,13,,,,,10,,23,0,,0,0,23,0
Furs,hhds,,,,170.6,0,,0,0,,,,,0,0,,,2,,,,,2,0,,0,0,2,0
Handspikes,,,,,170.6,0,,0,0,,,,,0,0,,,36,,,,,36,0,,0,0,36,0
Heading,,5.98,,0.001,170.6,0.003505275,7000,7000,25,,,,,0,0,,,1000,,1600,,,2600,9,,0,0,9600,34
Hoops,,,,,170.6,0,240,240,0,,,,,0,0,,,,,48,2924,,2972,0,,0,0,3212,0
Iron,tons,8.8,,1,170.6,5.158264947,,0,0,,,,,0,0,93,,25,10,,,,128,660,,0,0,128,660
Linen,boxes,,,,170.6,0,,0,0,,,,,0,0,,,,4,,,,4,0,,0,0,4,0
Logs (walnut),feet,,,,170.6,0,,0,0,,,,,0,0,,,,,40,,,40,0,,0,0,40,0
Logs (walnut),,,,,170.6,0,,0,0,,,,,0,0,4,,9,2,,,,15,0,,0,0,15,0
Pig iron,tons,8.8,,1,170.6,5.158264947,,0,0,,,,,0,0,,,30,107,,4,,141,727,,0,0,141,727
Plank,pieces,9.568,,0.005,170.6,0.028042204,,0,0,,,,,0,0,,,,2,,16,,18,1,,0,0,18,1
Plank,feet,9.568,,0.0005,170.6,0.00280422,,0,0,,,,,0,0,15890,,4400,3716,50,2854,,26910,75,250,250,1,27160,76
Pork,pounds,63.99,,0.00025,170.6,0.009377198,,0,0,,,2500,,2500,23,,,,,,,,0,0,,0,0,2500,23
Rum,hhds,3.46,,5.25,170.6,10.64771395,,0,0,,,,,0,0,1,,1,,,,,2,21,,0,0,2,21
Rum,casks,3.46,,1.45,170.6,2.940797186,,0,0,,,,,0,0,1,,,,,,,1,3,,0,0,1,3
Shingles,,,,,170.6,0,11803,11803,0,,,,,0,0,,,,,,,,0,0,,0,0,11803,0
Skins,hhds,,,,170.6,0,,0,0,,,,,0,0,,1,,,,,,1,0,,0,0,1,0
Skins,cases,,,,170.6,0,,0,0,,,,,0,0,5,3,4,3,,,,15,0,,0,0,15,0
Staves,,5.98,,0.001,170.6,0.003505275,,0,0,,,,,0,0,70900,10000,34000,68000,477700,154038,4000,818638,2870,,0,0,818638,2870
Tobacco,hhds,19.98,,0.5005,170.6,5.861658851,,0,0,,,,2,2,12,3040,426,1026,4121,1426,5761,172,15972,93622,,0,0,15974,93634
Wax,pounds,,,,170.6,0,,0,0,,,,,0,0,,,,,,,,0,0,100,100,0,100,0
Wheat,bushels,4.51,,0.05,170.6,,,0,0,,,12,,12,0,,,,,,,,0,0,1700,1700,0,1712,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,322,,,,,,726,,,,,,,,,98023,,,140,,99211
