Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Boston,New York,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,Greenock,GB,,Cork,IRE,,Cadiz,Leghorn,Lisbon,Oporto,Vigo,SEU,,TOTAL,
,,1769,,,,Sterling,,,,Quantity,Value,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,cwt,23.35,,0.05,157.56,0.74098756,,,,0,0,19,,,15,,34,25,,,9,10,7,,26,19,,0,0,,,,,,0,0,60,44
Bar iron,tons,23.35,,1,157.56,14.81975121,4,,,4,59,9,,1,3,,13,193,4,20,21,1,37,,83,1230,,0,0,,,,,,0,0,100,1482
Bar iron,pounds,23.35,,0.000446429,157.56,0.00661596,,,,0,0,7,,,,,7,0,,,9,,4,,13,0,,0,0,,,,,,0,0,20,0
Bar iron,quarters,23.35,,0.0125,157.56,0.18524689,,,,0,0,2,,,,,2,0,,,,,3,,3,1,,0,0,,,,,,0,0,5,1
Bread,cwt,25.45,,0.05,157.56,0.80762884,,,,0,0,,,,30,,30,24,,,,,,,0,0,,0,0,,,,,,0,0,30,24
Bread and flour,barrels,15.04,,0.089285714,157.56,0.852283031,600,311,220,1131,964,1590,,47,138,,1775,1513,,,500,,,,500,426,1050,1050,895,166,129,104,16,130,545,464,5001,4262
Chocolate,boxes,,,,157.56,0,,,,0,0,,,,1,,1,0,,,,,,,0,0,,0,0,,,,,,0,0,1,0
Corn,bushels,2.8,,0.05,157.56,0.088855039,34440,7042,3500,44982,3997,1900,1213,1140,7230,11803,23286,2069,,,,,,,0,0,,0,0,1900,4500,1200,6000,5853,19453,1728,87721,7794
Deer Skins,,,,,157.56,0,,,,0,0,,,144,,,144,0,,,,,,,0,0,,0,0,,,,,,0,0,144,0
Flaxseed,casks,4.04,,,157.56,0,,,,0,0,,,,,,0,0,,,,46,,,46,0,,0,0,,,,,,0,0,46,0
Flaxseed,barrels,4.04,,,157.56,0,,,,0,0,,,10,,,10,0,,,,,,,0,0,,0,0,,,,,,0,0,10,0
Handspikes,,,,,157.56,0,,,,0,0,,,,,,0,0,300,,,,,,300,0,,0,0,,,,,,0,0,300,0
Hemp,tons,4.95,,9.333333333,157.56,29.32216299,,,,0,0,26,,32,9,,67,1965,,,5,,8,,13,381,,0,0,,,,,,0,0,80,2346
Hemp,quarters,4.95,,0.116666667,157.56,0.366527037,,,,0,0,2,,4,,,6,2,,,2,,,,2,1,,0,0,,,,,,0,0,8,3
Hemp,pounds,4.95,,0.004166667,157.56,0.013090251,,,,0,0,57,,6,,,63,1,,,14,,20,,34,0,,0,0,,,,,,0,0,97,1
Hemp,cwt,4.95,,0.466666667,157.56,1.466108149,,,,0,0,21,,18,,,39,57,,,6,,1,,7,10,,0,0,,,,,,0,0,46,67
Hoops,,,,,157.56,0,720,,,720,0,,,,,,0,0,,,,,660,240,900,0,,0,0,,,,,,0,0,1620,0
Indigo,casks,,,,157.56,0,,,,0,0,,,,,,0,0,,,,,1,,1,0,,0,0,,,,,,0,0,1,0
Iron,tons,7.92,,1,157.56,5.026656512,,,,0,0,,,,,,0,0,40,,,,,,40,201,,0,0,,,,,,0,0,40,201
Logs,,,,,157.56,0,,,,0,0,,,,,,0,0,,,,2,,,2,0,,0,0,,,,,,0,0,2,0
Logs (walnut),,,,,157.56,0,,,,0,0,,,,,,0,0,,,1,,,,1,0,,0,0,,,,,,0,0,1,0
Peas/beans,bushels,2.8,,0.05,157.56,0.088855039,467,172,50,689,61,,,,24,148,172,15,,,,,,,0,0,,0,0,,,,,,0,0,861,76
Pig iron,tons,7.92,,1,157.56,5.026656512,,,,0,0,,,,,,0,0,122,,53,29.25,111.5,,315.75,1587,,0,0,,,,,,0,0,315.75,1587
Plank,feet,8.032,,0.0005,157.56,0.00254887,,,,0,0,,,,,180,180,0,,,,,2470,900,3370,9,,0,0,,3000,,,,3000,8,6550,17
Pork,pounds,80.29,,0.00025,157.56,0.012739591,,,,0,0,,,,,40,40,1,,,,,,,0,0,,0,0,,,,,,0,0,40,1
Pork,barrels,80.29,,0.05,157.56,2.547918253,2,,,2,5,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,0,0,2,5
Rum,hhds,3.29,,5.25,157.56,10.96249048,,,,0,0,,,,,3,3,33,2,,,,5,1,8,88,,0,0,,,,,,0,0,11,121
Rye,bushels,2.8,,0.05,157.56,0.088855039,,,,0,0,,,,38,141,179,16,,,,,,,0,0,,0,0,,,,,,0,0,179,16
Salt,bushels,1.62,,0.05,157.56,0.051408987,,,,0,0,,,,,20,20,1,,,,,,,0,0,,0,0,,,,,,0,0,20,1
Shingles,,,,,157.56,0,47300,,5000,52300,0,,,,,,0,0,,,,,,,0,0,,0,0,,,,,14000,14000,0,66300,0
Skins,boxes,,,,157.56,0,,,,0,0,,,,,,0,0,,,1,,,,1,0,,0,0,,,,,,0,0,1,0
Staves,,5.02,,0.001,157.56,0.003186088,9910,4600,,14510,46,,,,,,0,0,,,,1000,39700,,40700,130,,0,0,,,9000,,,9000,29,64210,205
Staves and heading,,5.02,,0.001,157.56,0.003186088,,,,0,0,,,,5630,,5630,18,80000,10000,24400,10100,86200,15200,225900,720,,0,0,,,,,,0,0,231530,738
Sugar,barrels,52.74,,0.15,157.56,5.020944402,,,,0,0,,,,1,1,2,10,,,,,,,0,0,,0,0,,,,,,0,0,2,10
Tea,box,,,,157.56,0,,,,0,0,,,,1,,1,0,,,,,,,0,0,,0,0,,,,,,0,0,1,0
Tobacco,hhds,25.12,,0.545,157.56,8.689007362,,,,0,0,,,,,,0,0,2596,182,1022,822,5381,438,10441,90722,,0,0,,,,,,0,0,10441,90722
Wheat,bushels,5.48,,0.05,157.56,0.173902006,,,,0,0,848,,663,102,306,1919,334,,,,,,,0,0,,0,0,,,6014,,,6014,1046,7933,1380
Wine,quarter casks,48.02,,0.25,157.56,7.619319624,,,,0,0,,,,5,,5,38,,,,,,,0,0,,0,0,,,,,,0,0,5,38
Wine,pipes,48.02,,1,157.56,30.4772785,,,,0,0,,,,,,0,0,1,,,,,,1,30,,0,0,,,,,,0,0,1,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,5132,,,,,,,6315,,,,,,,,95555,,,895,,,,,,,3275,,111172
