Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,New York,North Carolina,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Aberdeen,Ayr,Glasgow,GB,,TOTAL,
,,1752,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,barrels,21.94,,0.089285714,166.85,1.174065671,,20,20,23,,,,,0,0,,,,,,,,0,0,20,23
Bread,firkins,21.94,,,166.85,0,64,,64,0,,,,,0,0,,,,,,,,0,0,64,0
Corn,bushels,2.56,,0.05,166.85,0.076715613,6510,8075,14585,1119,1150,1030,215,1312,3707,284,,,,,,,,0,0,18292,1403
Deer Skins,,,,,166.85,0,,,0,0,,,,,0,0,,,,33,,,,33,0,33,0
Deer Skins,cases,,,,166.85,0,,,0,0,,,,,0,0,,,,,1,,,1,0,1,0
Flour,barrels,13.13,,0.089285714,166.85,0.702619975,,115,115,81,,,,,0,0,,,,,,,,0,0,115,81
Hoops,,,,,166.85,0,,,0,0,,,,,0,0,,,,,360,,3336,3696,0,3696,0
Logs (walnut),feet,,,,166.85,0,,,0,0,,,,,0,0,80,,,,30,,,110,0,110,0
Logs (walnut),,,,,166.85,0,,,0,0,,,,,0,0,,,,,4,,,4,0,4,0
Peas,casks,2.56,,0.175,166.85,0.268504645,2,,2,1,,,,,0,0,,,,,,,,0,0,2,1
Peas,bushels,2.56,,0.05,166.85,0.076715613,,50,50,4,,,,,0,0,,,,,,,,0,0,50,4
Pig iron,tons,8.42,,1,166.85,5.046448906,,,0,0,,,,,0,0,133.75,30,30,150.5,,,4,348.25,1757,348.25,1757
Plank,feet,6.816,,0.0005,166.85,0.002042553,,,0,0,,,,,0,0,1100,,1489,8100,,,,10689,22,10689,22
Planks,,6.816,,0.005,166.85,0.020425532,,,0,0,,,,,0,0,,,,,,,2540,2540,52,2540,52
Pork,barrels,72.35,,0.05,166.85,2.168115073,,60,60,130,,,,,0,0,,,,,,,,0,0,60,130
Rum,casks,3.22,,1.45,166.85,2.798321846,,,0,0,,,,,0,0,,,,,,,2,2,6,2,6
Rum,hhds,3.22,,5.25,166.85,10.13185496,,,0,0,3,,,,3,30,1,,2,1,,,2,6,61,9,91
Shingles,,,,,166.85,0,35300,,35300,0,,,,,0,0,,,,,,,,0,0,35300,0
Skins,hhds,,,,166.85,0,,,0,0,,,,,0,0,,1,,,,,,1,0,1,0
Staves,,4.26,,0.001,166.85,0.002553191,,,0,0,,,,,0,0,71200,15410,34271,60180,27000,6200,152210,366471,936,366471,936
Tobacco,hhds,19.9,,0.513,166.85,6.118489661,,,0,0,,8,,,8,49,3235,580,1333,3852,876,285,5456,15617,95552,15625,95601
Tobacco,pounds,19.9,,0.0005,166.85,0.00596344,,416,416,2,,,,,0,0,,,,,,,,0,0,416,2
Wheat,bushels,4.38,,0.05,166.85,0.131255619,,,0,0,,,,87,87,11,,,,,,,,0,0,87,11
Wine,hhds,30.1,,0.5,166.85,9.020077914,,,0,0,,,,,0,0,1,,,,,,,1,9,1,9
Wine,pipes,30.1,,1,166.85,18.04015583,,,0,0,,,,,0,0,3,,,,,,,3,54,3,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,1360,,,,,,374,,,,,,,,,98449,,100183
