Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,London,Bristol,Liverpool,Whitehaven,Dumfries,Glasgow,Irvin,Leith,GB,,TOTAL,
,,1733,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.1,,0.05,166.94,0.062896849,164,164,10,,,0,0,,,,,,,,,0,0,164,10
Corn,bushels,2.1,,0.05,166.94,0.062896849,3804,3804,239,4900,2160,7060,444,,,,,,,,,0,0,10864,683
Deer Skins,,,,,166.94,0,,0,0,,13,13,0,,,,,,,,,0,0,13,0
Flour,barrels,8.84,,0.089285714,166.94,0.472796043,2,2,1,,,0,0,,,,,,,,,0,0,2,1
Furs,hhds,,,,166.94,0,,0,0,,,0,0,1,,,,,,,,1,0,1,0
Heading,,2.25,,0.001,166.94,0.00134779,700,700,1,,,0,0,300,,,,,,,,300,0,1000,1
Iron,tons,,,1,166.94,0,,0,0,,,0,0,140,197,40,20,,,,,397,0,397,0
Peas,casks,2.1,,0.175,166.94,0.220138972,3,3,1,,,0,0,,,,,,,,,0,0,3,1
Peas,bushels,2.1,,0.05,166.94,0.062896849,611,611,38,100,205,305,19,,,,,,,,,0,0,916,57
Pitch,barrels,11.1,,0.05,166.94,0.332454774,,0,0,,,0,0,,,160,8,,,,,168,56,168,56
Plank,feet,3.6,,0.0005,166.94,0.001078232,400,400,0,400,,400,0,,2022,1944,200,,900,,,5066,5,5866,5
Pork,barrels,47.54,,0.05,166.94,1.423864862,73,73,104,20,43,63,90,,,,,,,,,0,0,136,194
Staves (barrels),,22.5,,0.00005,166.94,0.000673895,1800,1800,1,,,0,0,9800,9900,22910,8000,,800,4000,500,55910,38,57710,39
Staves (hhds),,2.5,,0.001,166.94,0.001497544,1800,1800,3,,,0,0,17400,14000,,12000,,15000,,,58400,87,60200,90
Staves (pipes),,3,,0.001,166.94,0.001797053,,0,0,,,0,0,3760,4000,,,,,,,7760,14,7760,14
Tobacco,hhds,15.13,,0.4055,166.94,3.675101833,,0,0,,,0,0,1553,27370,736,839,103,396,150,25-,3147,11566,3147,11566
Wheat,bushels,3.06,,0.05,166.94,0.091649695,,0,0,40,640,680,62,,,,,,,,,0,0,680,62
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,398,,,,615,,,,,,,,,,11766,,12779
