Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1751,,,,Sterling,,,Quantity,Value,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscuits,pounds,14.2,,0.000446429,169.86,0.003732065,,4000,4000,15,,0,0,,,,,,,0,0,,0,0,4000,15
Corn,bushels,2.79,,0.05,169.86,0.082126457,2034,3900,5934,487,1450,1450,119,,,,,,,0,0,1000,1000,82,8384,688
Deer Skins,,,,,169.86,0,,,0,0,,0,0,,,,700,,,700,0,,0,0,700,0
Deer Skins,hhds,,,,169.86,0,,,0,0,,0,0,,,2,,,,2,0,,0,0,2,0
Deer Skins,casks,,,,169.86,0,,,0,0,,0,0,,,,,,1,1,0,,0,0,1,0
Deer Skins,cases,,,,169.86,0,,,0,0,,0,0,,,4,,,,4,0,,0,0,4,0
Heading,,4.66,,0.001,169.86,0.002743436,1000,,1000,3,,0,0,,,,,96,,96,0,,0,0,1096,3
Hoops,,,,,169.86,0,,,0,0,,0,0,,,,,1048,2424,3472,0,,0,0,3472,0
Linen,pieces,,,,169.86,0,,12,12,0,,0,0,,,,,,,0,0,,0,0,12,0
Logs (walnut),feet,,,,169.86,0,,,0,0,,0,0,,,,100,15,75,190,0,,0,0,190,0
Logs (walnut),,,,,169.86,0,,,0,0,,0,0,,,,,,4,4,0,,0,0,4,0
Oats,bushels,2.79,,0.05,169.86,0.082126457,,70,70,6,,0,0,,,,,,,0,0,,0,0,70,6
Pig iron,tons,8.34,,1,169.86,4.909925821,,,0,0,,0,0,30,40,78,95,,,243,1193,,0,0,243,1193
Plank,feet,7.456,,0.0005,169.86,0.002194749,,2000,2000,4,,0,0,,,2163,6729,,674,9566,21,,0,0,11566,25
Planks,,7.456,,0.005,169.86,0.021947486,,,0,0,,0,0,,,,,,500,500,11,,0,0,500,11
Pork,barrels,69.97,,0.05,169.86,2.059637348,,18,18,37,,0,0,,,,,,,0,0,,0,0,18,37
Rum,barrels,3.49,,1.45,169.86,2.97921818,,,0,0,,0,0,,,,,5,,5,15,,0,0,5,15
Rum,gallons,3.49,,0.05,169.86,0.102731661,,,0,0,40,40,4,,,,,,,0,0,,0,0,40,4
Rum,hhds,3.49,,5.25,169.86,10.78682444,,,0,0,,0,0,2,,,,,,2,22,,0,0,2,22
Shingles,,,,,169.86,0,10800,17000,27800,0,,0,0,,,,,,,0,0,,0,0,27800,0
Staves,,4.66,,0.001,169.86,0.002743436,4700,2500,7200,20,,0,0,31000,12740,25400,57000,60560,138578,325278,892,,0,0,332478,912
Tobacco,hhds,20.19,,0.503,169.86,5.978788414,,,0,0,,0,0,1243,426,1193,3455,1723,5217,13257,79261,,0,0,13257,79261
Tobacco,pounds,20.19,,0.0005,169.86,0.00594313,,250,250,1,,0,0,,,,,,,0,0,,0,0,250,1
Wax,barrels,,,,169.86,0,,1,1,0,,0,0,,,,,,,0,0,,0,0,1,0
Wheat,bushels,4.28,,0.05,169.86,0.125986106,,,0,0,,0,0,,,,,,,0,0,1700,1700,214,1700,214
Wine,pipes,30.07,,1,169.86,17.70281408,,,0,0,,0,0,1,,,,,,1,18,,0,0,1,18
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,573,,,123,,,,,,,,81433,,,296,,82425
