Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,South Carolina,NA,,London,Bristol,Liverpool,Whitehaven,Dumfries,Glasgow,Irvine,Kirkcudbright,GB,,TOTAL,
,,1737,,,,Sterling,,,,Quantity,Value,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.08,,0.05,170.25,0.061086637,,21,,21,1,,,,,,,,,0,0,21,1
Corn,bushels,2.08,,0.05,170.25,0.061086637,1300,850,1650,3800,232,,,,,,,,,0,0,3800,232
Deer Skin,barrels,,,,170.25,0,,,,0,0,,2,,,,,,,2,0,2,0
Deer Skins,casks,,,,170.25,0,,,,0,0,1,,,,,,,,1,0,1,0
Deer Skins,,,,,170.25,0,,,,0,0,,,,,,,,5,5,0,5,0
Furs,pounds,,,,170.25,0,,,,0,0,,,25,,,,,,25,0,25,0
Hoops,,,,,170.25,0,,,,0,0,,,,,,1540,,,1540,0,1540,0
Linen,yards,,,,170.25,0,,,,0,0,,,,,,1635.5,,,1635.5,0,1635.5,0
Linen,pieces,,,,170.25,0,,,,0,0,,,,9,,,,,9,0,9,0
Pig iron,tons,,,1,170.25,0,,,,0,0,102,84,60,25,,,,,271,0,271,0
Plank,feet,5.104,,0.0005,170.25,0.001498972,,,,0,0,1618,,20,600,90,,,100,2428,4,2428,4
Plank,pieces,5.104,,0.005,170.25,0.014989721,,,,0,0,,,,,,3,,,3,0,3,0
Planks,,5.104,,0.005,170.25,0.014989721,,,,0,0,,,,,,5,,,5,0,5,0
Rum,tierces,2.65,,3,170.25,4.669603524,,,,0,0,,,,1,,,,,1,5,1,5
Rum,gallons,2.65,,0.05,170.25,0.077826725,,20,,20,2,,,,,,,,,0,0,20,2
Staves,,3.19,,0.001,170.25,0.001873715,,,,0,0,32888,12600,16761,36750,4000,75600,6000,2500,187099,351,187099,351
Sugar,barrels,35.64,,0.15,170.25,3.140088106,,,,0,0,,2,,20,,,,,22,69,22,69
Tobacco,barrels,17.41,,0.21825,170.25,2.231854626,,,,0,0,,,14,27,,,,9,50,112,50,112
Tobacco,hhds,17.41,,0.4365,170.25,4.463709251,,,,0,0,2407,744,1102,1750,68,2930,249,196,9446,42164,9446,42164
Wheat,bushels,3.88,,0.05,170.25,0.113950073,,26,,26,3,,,,,,,,,0,0,26,3
Wine,pipes,20.88,,1,170.25,12.26431718,,,,0,0,1,,,,,,,,1,12,1,12
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,238,,,,,,,,,,42717,,42955
