Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,New York,North Carolina,Rhode Island,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,GB,,TOTAL,
,,1760,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,32.6,,1,158.61,20.55355904,,0,0,,1,,,1,21,,,,,8,8,164,9,185
Bar iron,quarters,32.6,,0.25,158.61,5.138389761,,0,0,,,,,0,0,,,,,2,2,10,2,10
Bar iron,cwt,32.6,,0.05,158.61,1.027677952,,0,0,,,,,0,0,,,,,2,2,2,2,2
Corn,bushels,2.96,,0.05,158.61,0.093310636,1774,1774,166,,,1640,8878,10518,981,,,,,,0,0,12292,1147
Cotton,pounds,1.32,,0.05,158.61,0.0416115,,0,0,,,,,0,0,,,,,210,210,9,210,9
Cotton,bags,1.32,,6,158.61,4.993379989,,0,0,,,,,0,0,,,,,2,2,10,2,10
Deer Skins,,,,,158.61,0,,0,0,,,,,0,0,,,20,,,20,0,20,0
Furs,casks,,,,158.61,0,,0,0,,,,,0,0,,,,1,,1,0,1,0
Handspikes,,,,,158.61,0,,0,0,,,,,0,0,,,,,180,180,0,180,0
Heading,,5.35,,0.001,158.61,0.003373053,,0,0,,,,,0,0,,,,,1050,1050,4,1050,4
Hoops,,,,,158.61,0,,0,0,,,,,0,0,,,,,3108,3108,0,3108,0
Indigo,pounds,7.97,,0.05,158.61,0.251245193,,0,0,,,,,0,0,431,,336,,,767,193,767,193
Indigo,casks,7.97,,,158.61,0,,0,0,,,,,0,0,1,,,,,1,0,1,0
Logs,feet,,,,158.61,0,,0,0,,,,,0,0,,,,30,,30,0,30,0
Peas,bushels,2.96,,0.05,158.61,0.093310636,31,31,3,409,,,248,657,61,,,,,,0,0,688,64
Pig iron,tons,10.87,,1,158.61,6.853287939,,0,0,,,,,0,0,339,13,166,122.5,316.5,957,6559,957,6559
Plank,feet,8.56,,0.0005,158.61,0.002698443,,0,0,,,,,0,0,,,,,255,255,1,255,1
Plank,pieces,8.56,,0.005,158.61,0.026984427,,0,0,,,,,0,0,,40,25,,,65,2,65,2
Planks,,8.56,,0.005,158.61,0.026984427,,0,0,,,,,0,0,,,20,,1351,1371,37,1371,37
Pork,barrels,69.3,,0.05,158.61,2.184603745,,0,0,,,,13,13,28,,,,,,0,0,13,28
Rum,gallons,4.73,,0.05,158.61,0.149107875,,0,0,,,,,0,0,108,,198,,744.5,1050.5,157,1050.5,157
Rum,hhds,4.73,,5.25,158.61,15.65632684,,0,0,,,,,0,0,,,1,,,1,16,1,16
Shingles,,,,,158.61,0,4000,4000,0,500,,,,500,0,,,,,12000,12000,0,16500,0
Staves,,5.35,,0.001,158.61,0.003373053,,0,0,,,,,0,0,162238,8000,63450,18400,270399,522487,1762,522487,1762
Tobacco,hhds,20.43,,0.5695,158.61,7.335530547,,0,0,,,,,0,0,4764,227,2632,2777,8920,19320,141722,19320,141722
Turpentine,barrels,14.29,,0.05,158.61,0.45047601,,0,0,,,,,0,0,,,,,3,3,1,3,1
Wheat,bushels,5.11,,0.05,158.61,0.161086943,,0,0,1299,,,100,1399,225,,,,,,0,0,1399,225
Wine,pipes,50.31,,1,158.61,31.71931152,,0,0,,,,,0,0,,,,,1,1,32,1,32
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,169,,,,,,1316,,,,,,,150681,,152166
