Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Cape Ann,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,Montrose,GB,,TOTAL,
,,1741,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.74,,0.05,146.14,0.093745723,,0,0,,151,,151,14,,,,,,,0,0,151,14
Corn,bushels,2.74,,0.05,146.14,0.093745723,1075,1075,101,4200,7021,25,11246,1054,,,,,,,0,0,12321,1155
Deer Skin,chests,,,,146.14,0,,0,0,,,,0,0,6,,,,,,6,0,6,0
Deer Skins,cases,,,,146.14,0,,0,0,,,,0,0,2,,,,,,2,0,2,0
Deer Skins,,,,,146.14,0,,0,0,,69,,69,0,,,,,,,0,0,69,0
Heading,,4.5,,0.001,146.14,0.003079239,800,800,2,,,,0,0,,,,,,,0,0,800,2
Hoops,,,,,146.14,0,,0,0,,,,0,0,,,,,480,,480,0,480,0
Peas,bushels,2.74,,0.05,146.14,0.093745723,157,157,15,30,23,,53,5,,,,,,,0,0,210,20
Pig iron,tons,9.59,,1,146.14,6.56220063,,0,0,,,,0,0,204,,40,12,,,256,1680,256,1680
Plank,feet,7.2,,0.0005,146.14,0.002463391,,0,0,,,,0,0,186,,500,1300,800,,2786,7,2786,7
Pork,pounds,49.83,,0.00025,146.14,0.00852436,,0,0,,4400,,4400,38,,,,,,,0,0,4400,38
Pork,barrels,49.83,,0.05,146.14,1.704872041,,0,0,11,17,1,29,49,,,,3,,,3,5,32,54
Pork,hhds,49.83,,0.1,146.14,3.409744081,,0,0,4,,,4,14,,,,,,,0,0,4,14
Rum,gallons,2.96,,0.05,146.14,0.101272752,,0,0,,30,,30,3,,,,,,,0,0,30,3
Skins,hhds,,,,146.14,0,,0,0,,,,0,0,1,,,,,,1,0,1,0
Staves,,4.5,,0.001,146.14,0.003079239,1800,1800,6,,,,0,0,60240,7310,14961,31950,46000,1000,161461,497,163261,503
Tobacco,barrels,14.83,,0.23525,146.14,2.387270768,,0,0,,,,0,0,,,,12,,,12,29,12,29
Tobacco,hhds,14.83,,0.4705,146.14,4.774541536,,0,0,,,,0,0,3924,319,1462,2244,2347,156,10452,49904,10452,49904
Wheat,bushels,4.47,,0.05,146.14,0.152935541,,0,0,,524,100,624,95,,,,,,,0,0,624,95
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,124,,,,,1272,,,,,,,,52122,,53518
