Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,TOTAL,
,,1749,,,,Sterling,,,Quantity,Value,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.63,,0.05,171.39,0.076725597,,,0,0,124,30,154,12,,,,,,,0,0,154,12
Corn,bushels,2.63,,0.05,171.39,0.076725597,1117,1294,2411,185,920,1500,2420,186,,,,,,,0,0,4831,371
Hoops,,,,,171.39,0,7000,,7000,0,,,0,0,,,,,,2160,2160,0,9160,0
Linen,bales,,,,171.39,0,,2,2,0,,,0,0,,,,,,,0,0,2,0
Logs (walnut),feet,,,,171.39,0,,,0,0,,,0,0,,,200,,,,200,0,200,0
Logs (walnut),,,,,171.39,0,,,0,0,,,0,0,,,12,5,,,17,0,17,0
Peas,bushels,2.63,,0.05,171.39,0.076725597,,,0,0,17,15,32,2,,,,,,,0,0,32,2
Pig iron,tons,8.56,,0.05,171.39,0.249722854,,,0,0,,,0,0,48,,30,163.5,,,241.5,60,241.5,60
Plank,feet,8.4,,0.0005,171.39,0.002450551,,,0,0,,40,40,0,62,,,5786,150,4408,10406,26,10446,26
Pork,pounds,60.16,,0.1,171.39,3.510123111,,,0,0,,200,200,702,,,,,,,0,0,200,702
Rum,gallons,3.77,,0.05,171.39,0.10998308,,,0,0,,,0,0,72,,,,,,72,8,72,8
Skins,cases,,,,171.39,0,,,0,0,,,0,0,8,,,,,,8,0,8,0
Skins,kegs,,,,171.39,0,,,0,0,,,0,0,3,2,,,,,5,0,5,0
Staves,,5.25,,0.001,171.39,0.003063189,,8300,8300,25,,,0,0,23800,9000,32806,76960,20500,98024,261090,800,269390,825
Tobacco,hhds,17.1,,0.4985,171.39,4.973656573,,1,1,5,,,0,0,1427,449,1009,4937,679,4280,12781,63568,12782,63573
Wheat,bushels,5.66,,0.05,171.39,0.165120485,,,0,0,,15,15,2,,,,,,,0,0,15,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,215,,,,904,,,,,,,,64462,,65581
