Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Cape Ann,NA,,London,Bristol,Liverpool,Whitehaven,Ayr,Glasgow,GB,,TOTAL,
,,1740,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.5,,0.05,165.45,0.045330916,,0,0,,,38,38,2,,,,,,,0,0,38,2
Bread,casks,13.56,,0.089285714,165.45,0.731770496,3,3,2,,,,0,0,,,,,,,0,0,3,2
Corn,bushels,1.5,,0.05,165.45,0.045330916,3450.5,3450.5,156,6200,775,2909,9884,448,,,,,,,0,0,13334.5,604
Deer Skin,chests,,,,165.45,0,,0,0,,,,0,0,3,,,,,,3,0,3,0
Deer Skins,,,,,165.45,0,,0,0,,,,0,0,,20,,,,,20,0,20,0
Heading,,,,,165.45,0,,0,0,,,,0,0,,,530,,,,530,0,530,0
Hoops,,,,,165.45,0,,0,0,,,,0,0,,,600,,,800,1400,0,1400,0
Logs (walnut),,,,,165.45,0,,0,0,,,,0,0,,,,6,,,6,0,6,0
Peas,bushels,1.5,,0.05,165.45,0.045330916,,0,0,27,,,27,1,,,,,,,0,0,27,1
Pig iron,tons,9.45,,1,165.45,5.711695376,,0,0,,,,0,0,116,35,110,,,,261,1491,261,1491
Plank,feet,5.344,,0.0005,165.45,0.001614989,,0,0,,,,0,0,25,,,1240,,,1265,2,1265,2
Pork,barrels,46.04,,0.05,165.45,1.391356905,82,82,114,,,,0,0,,,,,,,0,0,82,114
Shingles,,,,,165.45,0,2000,2000,0,,,,0,0,,,,,,,0,0,2000,0
Staves,,3.34,,0.001,165.45,0.002018737,,0,0,,,,0,0,50206,4950,28595,41200,3500,61350,189801,383,189801,383
Tobacco,barrels,13.92,,0.231,165.45,1.943499547,,0,0,,,,0,0,,,,19,3,,22,43,22,43
Tobacco,hhds,13.92,,0.462,165.45,3.886999093,,0,0,,,,0,0,2483,307,1722,2332,183,2914,9941,38641,9941,38641
Wax,pounds,,,,165.45,0,,0,0,,,,0,0,,,2000,,,,2000,0,2000,0
Wheat,bushels,3.25,,0.05,165.45,0.098216984,,0,0,,503,179,682,67,,,,,,,0,0,682,67
Wine,hhds,20.17,,0.5,165.45,6.095497129,,0,0,,,,0,0,1,,,,,,1,6,1,6
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,272,,,,,518,,,,,,,,40566,,41356
