Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,New England,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1738,,,,Sterling,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,2.1,,0.05,160.42,0.065453185,5000,1000,6000,393,,,,,,0,0,100,100,7,6100,400
Deer Skin,chests,,,,160.42,0,,,0,0,10,,,,,10,0,,0,0,10,0
Deer Skins,,,,,160.42,0,,,0,0,8,,,,,8,0,,0,0,8,0
Peas,bushels,2.1,,0.05,160.42,0.065453185,50,100,150,10,,,,,,0,0,25,25,2,175,12
Pig iron,tons,10,,1,160.42,6.233636704,,,0,0,178,30,35,31,40,314,1957,,0,0,314,1957
Plank,feet,5.456,,0.0005,160.42,0.001700536,,,0,0,130,,335,495,,960,2,,0,0,960,2
Staves,,3.41,,0.001,160.42,0.00212567,,,0,0,29100,5360,10065,24390,59600,128515,273,,0,0,128515,273
Tobacco,hhds,17,,0.445,160.42,4.715746166,,,0,0,1816,263,965,1512,2515,7071,33345,,0,0,7071,33345
Tobacco,barrels,17,,0.2225,160.42,2.357873083,,,0,0,1,,,,,1,2,,0,0,1,2
Wheat,bushels,3.48,,0.05,160.42,0.108465279,,650,650,71,,,,,,0,0,2300,2300,249,2950,320
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,474,,,,,,,35579,,,258,,36311
