Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,NA,,London,Liverpool,Weymouth,Whitehaven,Ayr,Dumfries,Glasgow,Penryn,GB,,TOTAL,
,,1746,,,,Sterling,,Quantity,Value,,Quantity,Value,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.82,,0.05,179.86,0.050594907,,0,0,64,64,3,,,,,,,,,0,0,64,3
Corn,bushels,1.82,,0.05,179.86,0.050594907,2800,2800,142,1650,1650,83,,,,,,,,,0,0,4450,225
Deer Skins,,,,,179.86,0,,0,0,63,63,0,,,,,,,,,0,0,63,0
Hoops,,,,,179.86,0,,0,0,,0,0,,,,,,600,,,600,0,600,0
Peas,bushels,1.82,,0.05,179.86,0.050594907,,0,0,10,10,1,,,,,,,,,0,0,10,1
Pig iron,tons,6.5,,1,179.86,3.613921939,,0,0,,0,0,56,,,,,,,,56,202,56,202
Plank,feet,6.528,,0.0005,179.86,0.001814745,,0,0,,0,0,300,,980,1100,2630,700,1120,,6830,12,6830,12
Pork,barrels,53.79,,0.05,179.86,1.495329701,,0,0,22,22,33,,,,,,,,,0,0,22,33
Rum,hhds,3.03,,5.25,179.86,8.844378961,,0,0,1,1,9,,,,,1,,,,1,9,2,18
Staves,,4.08,,0.001,179.86,0.002268431,,0,0,,0,0,10960,,2800,32780,5500,18900,3900,,74840,170,74840,170
Tobacco,hhds,13.93,,0.4915,179.86,3.806624597,,0,0,,0,0,571,143,184,1920,609,887,1694,164,6172,23494,6172,23494
Tobacco,barrels,13.93,,0.24575,179.86,1.903312298,,0,0,,0,0,,,,,,12,,,12,23,12,23
Turpentine,barrels,13.83,,0.05,179.86,0.384465696,,0,0,,0,0,,,,3,,,,,3,1,3,1
Wheat,bushels,2.87,,0.05,179.86,0.079784277,,0,0,370,370,30,,,,,,,,,0,0,370,30
Wine,pipes,22.9,,1,179.86,12.73212499,,0,0,,0,0,,,,1,,,,,1,13,1,13
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,142,,,159,,,,,,,,,,23924,,24225
