Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Bermuda,Marblehead,Salem,NA,,London,Bideford,Bristol,Liverpool,Whitehaven,Ayr,Dumfries,Glasgow,Leith,GB,,TOTAL,
,,1758,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.94,,0.05,159,0.061006289,77,77,5,,,290,290,18,,,,,,,,,,0,0,367,23
Beef,barrels,48.18,,0.05,159,1.51509434,30,30,45,,,,0,0,,,,,,,,,,0,0,30,45
Bread,barrels,21.84,,0.089285714,159,1.226415094,61,61,75,,,,0,0,,,,,,,,,,0,0,61,75
Corn,bushels,1.94,,0.05,159,0.061006289,10814,10814,660,3900,300,5250,9450,577,,,,,,,,1020,,1020,62,21284,1299
Flour,barrels,12.27,,0.089285714,159,0.689016173,20,20,14,,,,0,0,,,,,,,,,,0,0,20,14
Handspikes,,,,,159,0,,0,0,,,,0,0,72,,,,,,,,,72,0,72,0
Heading,,5.6,,0.001,159,0.003522013,960,960,3,,,175,175,1,,,,,,125,,,,125,0,1260,4
Hoops,,,,,159,0,1896,1896,0,,,,0,0,,,,,,492,,360,,852,0,2748,0
Indigo,boxes,9.38,,,159,0,,0,0,,,,0,0,,,,,,,,,1,1,0,1,0
Indigo,casks,9.38,,,159,0,,0,0,,,,0,0,13,,,,,,,,1,14,0,14,0
Logs (walnut),,,,,159,0,,0,0,,,,0,0,12,,,,,,,,,12,0,12,0
Logs (walnut),feet,,,,159,0,,0,0,,,,0,0,,,,,100,,,,,100,0,100,0
Peas,bushels,1.94,,0.05,159,0.061006289,150,150,9,,,,0,0,,,,,,,,,,0,0,150,9
Pig iron,tons,7.67,,1,159,4.823899371,,0,0,,,,0,0,100,,45,,115,,,30,,290,1399,290,1399
Plank,feet,8.96,,0.0005,159,0.00281761,,0,0,,,119,119,0,400,1100,,,4250,1000,,,300,7050,20,7169,20
Pork,barrels,59.49,,0.05,159,1.870754717,112,112,210,,,,0,0,,,,,,,,,,0,0,112,210
Pork,pounds,59.49,,0.00025,159,0.009353774,,0,0,,,3609,3609,34,,,,,,,,,,0,0,3609,34
Rum,hhds,3.72,,5.25,159,12.28301887,,0,0,,,,0,0,1,,,,,,1,,2,4,49,4,49
Skins,chests,,,,159,0,,0,0,,,,0,0,,,,,3,,,,,3,0,3,0
Staves,,5.6,,0.001,159,0.003522013,5200,5200,18,,,,0,0,39000,14000,5000,,62500,17900,48250,90300,32000,308950,1088,314150,1106
Tobacco,hhds,18.33,,0.5725,159,6.59995283,,0,0,,,,0,0,1196,158,406,28,2326,1665,112,1496,173,7560,49896,7560,49896
Wheat,bushels,3.89,,0.05,159,0.122327044,,0,0,,260,24-,260,32,,,,,,,,,,0,0,260,32
Wine,pipes,41.77,,1,159,26.27044025,,0,0,,,,0,0,15,,,,,,,1,,16,420,16,420
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1039,,,,,662,,,,,,,,,,,52934,,54635
