Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Bermuda,Boston,Salem,NA,,London,Bideford,Liverpool,Weymouth,Whitehaven,Ayr,Dumfries,Glasgow,Kirkcudbright,GB,,TOTAL,
,,1739,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.41,,0.05,169.69,0.041546349,,0,0,,,40,40,2,,,,,,,,,,0,0,40,2
Beans,barrels,1.41,,0.05,169.69,0.041546349,,0,0,,,2,2,0,,,,,,,,,,0,0,2,0
Corn,bushels,1.41,,0.05,169.69,0.041546349,935,935,39,3200,1700,2800,7700,320,,,,,,,,,,0,0,8635,359
Deer Skins,hhds,,,,169.69,0,,0,0,,,,0,0,1,,,,,,,,,1,0,1,0
Deer Skins,,,,,169.69,0,,0,0,,,,0,0,764,,,,,,,,,764,0,764,0
Furs and skins,casks,,,,169.69,0,,0,0,,,,0,0,3,,,,,,,,,3,0,3,0
Furs and skins,cases,,,,169.69,0,,0,0,,,,0,0,5,,,,,,,,,5,0,5,0
Heading,,3.22,,0.001,169.69,0.001897578,,0,0,,,,0,0,,,,,1000,,,,,1000,2,1000,2
Hoops,,,,,169.69,0,,0,0,,,,0,0,,,,,,240,,,,240,0,240,0
Logs (walnut),,,,,169.69,0,,0,0,,,,0,0,,,,26,,,,,,26,0,26,0
Peas,hhds,1.41,,0.35,169.69,0.290824445,,0,0,,,1,1,0,,,,,,,,,,0,0,1,0
Peas,bushels,1.41,,0.05,169.69,0.041546349,,0,0,,,80,80,3,,,,,,,,,,0,0,80,3
Pig iron,tons,10,,1,169.69,5.893099181,,0,0,,,,0,0,124,,,,,,,,,124,731,124,731
Plank,feet,5.152,,0.0005,169.69,0.001518062,,0,0,,,,0,0,90,,,1200,,,200,500,,1990,3,1990,3
Pork,barrels,54.88,,0.05,169.69,1.617066415,,0,0,15,,,15,24,,,,,,,,,,0,0,15,24
Staves,,3.22,,0.001,169.69,0.001897578,,0,0,,,,0,0,31800,6000,,5100,10800,11000,6000,20000,,90700,172,90700,172
Tobacco,barrels,15.63,,0.22675,169.69,2.088574754,,0,0,,,,0,0,,1,,6,7,,,,,14,29,14,29
Tobacco,hhds,15.63,,0.4535,169.69,4.177149508,,0,0,,,,0,0,1681,244,6,295,683,360,519,951,95,4834,20192,4834,20192
Wheat,bushels,2.82,,0.05,169.69,0.083092698,,0,0,,300,930,1230,102,,,,,,,,,,0,0,1230,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,39,,,,,451,,,,,,,,,,,21129,,21619
