Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,London,Bideford,Hull,Liverpool,Whitehaven,Ayr,Dumfries,Glasgow,Leith,Montrose,GB,,Cork,IRE,,Madeira,SEU,,TOTAL,
,,1752,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.56,,0.05,166.85,0.076715613,,0,0,,16,16,1,,,,,,,,,,,0,0,,0,0,,0,0,16,1
Corn,bushels,2.56,,0.05,166.85,0.076715613,9542.5,9542.5,732,4300,1000,5300,407,,,,,,,,,,,0,0,,0,0,1480,1480,114,16322.5,1253
Deer Skins,,,,,166.85,0,,0,0,,60,60,0,,,,,,,21,,,,21,0,,0,0,,0,0,81,0
Flour,barrels,13.13,,0.089285714,166.85,0.702619975,,0,0,,,0,0,,,,,,,,,,,0,0,,0,0,55,55,39,55,39
Heading,,4.26,,0.001,166.85,0.002553191,1300,1300,3,,,0,0,,,,,,,412,,,,412,1,,0,0,,0,0,1712,4
Hoops,,,,,166.85,0,,0,0,,,0,0,,,,,,1042,768,540,,2688,5038,0,,0,0,,0,0,5038,0
Logs (walnut),,,,,166.85,0,,0,0,,,0,0,,,,,,,,,10,,10,0,,0,0,,0,0,10,0
Peas,bushels,2.56,,0.05,166.85,0.076715613,,0,0,,,0,0,,,,,,,,,,,0,0,,0,0,41,41,3,41,3
Pig iron,tons,8.42,,1,166.85,5.046448906,,0,0,,,0,0,,,,,,5,,5,,,10,50,,0,0,,0,0,10,50
Plank,feet,6.816,,0.0005,166.85,0.002042553,4800,4800,10,1753.5,,1753.5,4,,,700,,295,1660,769,750,300,,4474,9,,0,0,,0,0,11027.5,23
Pork,barrels,72.35,,0.05,166.85,2.168115073,,0,0,18,,18,39,,,,,,,,,,,0,0,,0,0,,0,0,18,39
Rum,gallons,3.22,,0.05,166.85,0.096493857,,0,0,,60,60,6,,,,,,,,,,,0,0,,0,0,,0,0,60,6
Rum,hhds,3.22,,5.25,166.85,10.13185496,,0,0,19,,19,193,,,,,,,,1,,,1,10,,0,0,,0,0,20,203
Shingles,,,,,166.85,0,10800,10800,0,,,0,0,,,,,,,,18800,,,18800,0,,0,0,,0,0,29600,0
Staves,,4.26,,0.001,166.85,0.002553191,8500,8500,22,,,0,0,15000,4000,9000,,11000,21700,24764,65600,17029,12000,180093,460,22000,22000,56,1700,1700,4,212293,542
Tobacco,hhds,19.9,,0.513,166.85,6.118489661,,0,0,,,0,0,561,226,280,27,602,1380,1012,2241,743,324,7396,45252,,0,0,,0,0,7396,45252
Tobacco,boxes,19.9,,,166.85,0,24,24,0,,,0,0,,,,,,,,,,,0,0,,0,0,,0,0,24,0
Walnut logs,feet,,,,166.85,0,,0,0,,,0,0,,,,,,,,,46,80,126,0,,0,0,,0,0,126,0
Wax,pounds,,,,166.85,0,,0,0,,,0,0,,,,,,,,,,,0,0,,0,0,132.5,132.5,0,132.5,0
Wheat,bushels,4.38,,0.05,166.85,0.131255619,,0,0,,38,38,5,,,,,,,,,,,0,0,,0,0,824,824,108,862,113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,767,,,,655,,,,,,,,,,,,45782,,,56,,,268,,47528
