Good,Unit,Price,Price,Conv,Exch,Price,Boston,North Carolina,NA,,London,Exeter,New Castle UK,Whitehaven,Ayr,Dumfries,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1744,,,,Sterling,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.53,,0.05,166.67,0.045899082,90,,90,4,,,,,,,,0,0,,0,0,90,4
Bread,barrels,13.32,,0.089285714,166.67,0.713557157,,2,2,1,,,,,,,,0,0,,0,0,2,1
Deer Skins,,,,,166.67,0,228,,228,0,228,,,,,,,228,0,,0,0,456,0
Flour,barrels,7.68,,0.089285714,166.67,0.411420343,,18,18,7,,,,,,,,0,0,42,42,17,60,24
Peas,bushels,1.53,,0.05,166.67,0.045899082,35,,35,2,,,,,,,,0,0,,0,0,35,2
Pig iron,tons,8.17,,1,166.67,4.901901962,,,0,0,25,,,,,,,25,123,,0,0,25,123
Plank,feet,4.736,,0.0005,166.67,0.001420772,,,0,0,200,,,584,,2216,208,3208,5,,0,0,3208,5
Pork,barrels,60.49,,0.05,166.67,1.814663707,,,0,0,,,,,,,,0,0,25,25,45,25,45
Staves,,2.96,,0.001,166.67,0.001775964,,,0,0,10000,,6000,13400,1900,10900,14450,56650,101,1561,1561,3,58211,104
"Tar, pitch, and turpentine",barrels,11.93333333,,0.05,166.67,0.35799284,,,0,0,,,,3,,,,3,1,,0,0,3,1
Tobacco,hhds,12.65,,0.483,166.67,3.665896682,,,0,0,368,18,257,1773,380,628,1243,4667,17109,,0,0,4667,17109
Wheat,bushels,2.49,,0.05,166.67,0.074698506,451,,451,34,,,,,,,,0,0,1821,1821,136,2272,170
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,48,,,,,,,,,17339,,,201,,17588
