Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,London,Whitehaven,Ayr,Dumfries,Glasgow,Leith,Montrose,GB,,Cork,IRE,,TOTAL,
,,1751,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscuits,pounds,14.2,,0.000446429,169.86,0.003732065,6668,6668,25,,,0,0,,,,,,,,0,0,,0,0,6668,25
Corn,bushels,2.79,,0.05,169.86,0.082126457,5123,5123,421,20,2300,2320,191,,,,,,,,0,0,,0,0,7443,612
Hoops,,,,,169.86,0,1500,1500,0,,,0,0,16500,32650,672,840,500,,1288,52450,0,,0,0,53950,0
Pig iron,tons,8.34,,1,169.86,4.909925821,,0,0,,,0,0,30,50,,,6,,60,146,717,,0,0,146,717
Plank,pieces,7.456,,0.005,169.86,0.021947486,,0,0,243,,243,5,,,,,,,,0,0,,0,0,243,5
Plank,feet,7.456,,0.0005,169.86,0.002194749,10115,10115,22,,,0,0,,3546,470,2600,1050,804,405,8875,19,,0,0,18990,41
Staves,,4.66,,0.001,169.86,0.002743436,9602,9602,26,,,0,0,,,17200,19402,45850,9100,17740,109292,300,23000,23000,63,141894,389
Tobacco,hhds,20.19,,0.503,169.86,5.978788414,,0,0,,,0,0,559,1133,1161,799,1772,400,612,6436,38479,,0,0,6436,38479
Tobacco,barrels,20.19,,0.2515,169.86,2.989394207,1,1,3,,,0,0,,,,,,,,0,0,,0,0,1,3
Tobacco,boxes,20.19,,,169.86,0,6,6,0,,,0,0,,,,,,,,0,0,,0,0,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,497,,,,196,,,,,,,,,39515,,,63,,40271
