Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Nevis,WI,,Bermuda,Boston,New York,North Carolina,Philadelphia,Piscataqua,Plymouth,Rhode Island,NA,,Madeira,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,51.48,,0.05,165.69,1.553503531,,,,,0,0,,,,,,,,1,1,2,,0,0,1,2
Bread,casks,28.93,,0.089285714,165.69,1.558956916,,,,,0,0,,,,,,,,1,1,2,,0,0,1,2
Cash,pence,1,,0.004166667,123.6,0.00337109,,,,,0,0,,,7,,,,,,7,0,,0,0,7,0
Cash,pounds,1,,1,123.6,0.809061489,,,,,0,0,150,45,188,,300,200,,,883,714,,0,0,883,714
Cash,shillings,1,,0.05,123.6,0.040453074,,,,,0,0,,,5,,,,,,5,0,,0,0,5,0
Cheese,pounds,,,,165.69,0,,,,,0,0,,500,150,,200,,486,140,1476,0,,0,0,1476,0
Cheese,cwt,,,,165.69,0,,,,,0,0,,,5,,,,,2,7,0,,0,0,7,0
Chocolate,cwt,,,,165.69,0,,,,,0,0,,,,,,,,1,1,0,,0,0,1,0
Chocolate,boxes,,,,165.69,0,,,,,0,0,,2,,,4,,,,6,0,,0,0,6,0
Chocolate,pounds,,,,165.69,0,,,,,0,0,,,200,46,112,30,100,48,536,0,,0,0,536,0
Cotton,bags,1.24,,6,165.69,4.490313236,,,,,0,0,,,,,1,,,,1,4,,0,0,1,4
Dollars,,0.23,,1,100,0.23,,870,,,870,200,,,50,,,250,50,200,550,127,,0,0,1420,327
Doubloons,,0.83,,1,100,0.83,,26.5,,,26.5,22,,,,,,,,,0,0,,0,0,26.5,22
Guineas,,1.05,,1,100,1.05,,0.5,,,0.5,1,,,,,,,,,0,0,,0,0,0.5,1
Half joes,,0.9,,1,100,0.9,,198.5,,,198.5,179,,,42,,,,,,42,38,,0,0,240.5,217
Loaf sugar,pounds,0.97,,0.05,165.69,0.029271531,,,,,0,0,,,1396,,416,,,,1812,53,,0,0,1812,53
Loaf sugar,cwt,0.97,,5.6,165.69,3.278411491,,,,,0,0,,,5,,,,1,,6,20,,0,0,6,20
Molasses,hhds,1.77,,5.05,165.69,5.394713018,,,,,0,0,,6,1,,2,,5,3,17,92,,0,0,17,92
Molasses,gallons,1.77,,0.05,165.69,0.053413,,,,,0,0,,770,900,90,1069,1356,,481,4666,249,,0,0,4666,249
Molasses,tierces,1.77,,3.05,165.69,3.258193011,,,,,0,0,,1,,,,,,,1,3,,0,0,1,3
Mordores,,,,1,100,0,,3,,,3,0,,,,,,,,,0,0,,0,0,3,0
Pistoles,,0.83,,1,100,0.83,,2,,,2,2,,,,,,,,,0,0,,0,0,2,2
Plank,M feet,10.832,,0.5,165.69,3.268754904,,,,,0,0,,10,,4,,7,,,21,69,,0,0,21,69
Pork,barrels,80.31,,0.05,165.69,2.42350172,,,,,0,0,,,,,,,,1,1,2,,0,0,1,2
Rum,hhds,3.35,,5.25,165.69,10.61470215,,51,56,26,133,1412,,13,54,,12,3,,,82,870,,0,0,215,2282
Rum,tierces,3.35,,3,165.69,6.065544088,,,,,0,0,,,,,,,,1,1,6,,0,0,1,6
Rum,gallons,3.35,,0.05,165.69,0.101092401,,220,,,220,22,,,,1500,,,,,1500,152,,0,0,1720,174
Rum,barrels,3.35,,1.45,165.69,2.931679643,,,,,0,0,,14,,,,,9,,23,67,,0,0,23,67
Rum,casks,3.35,,3.05,165.69,6.16663649,,,,,0,0,,,,,,,,1,1,6,,0,0,1,6
Salt,bushels,1.6,,0.05,165.69,0.048282938,1800,,500,,2300,111,,,60,,600,,,,660,32,,0,0,2960,143
Salt,hhds,1.6,,0.35,165.69,0.337980566,,,,,0,0,,10,,,1,,10,,21,7,,0,0,21,7
Shingles,,,,,165.69,0,,1000,,,1000,0,,,,,,,,,0,0,,0,0,1000,0
Sugar,pounds,50.86,,0.000446429,165.69,0.013703517,,4000,8200,,12200,167,,,,1000,,,,,1000,14,,0,0,13200,181
Sugar,barrels,50.86,,0.15,165.69,4.604381677,,,,,0,0,,,,,1,,,,1,5,,0,0,1,5
Sugar,loaves,0.97,,,165.69,0,,,,,0,0,,18,,,,,,,18,0,,0,0,18,0
Tar,barrels,12.41,,0.05,165.69,0.374494538,,,,,0,0,,,,39,,,,,39,15,,0,0,39,15
Tea,pounds,4.93,,0.05,165.69,0.148771803,,,,,0,0,,,,,,,20,,20,3,,0,0,20,3
Turpentine,barrels,14.31,,0.05,165.69,0.431830527,,,,,0,0,,,,6,,,,,6,3,,0,0,6,3
Virginia currency,pounds,1,,1,123.6,0.809061489,,484,,,484,392,,,,,,,,,0,0,,0,0,484,392
Virginia currency,shillings,1,,0.05,123.6,0.040453074,,10,,,10,0,,,,,,,,,0,0,,0,0,10,0
Wine,gallons,50,,0.007936508,165.69,0.2394987,,,,,0,0,,,,,,,,,0,0,222,222,53,222,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,2508,,,,,,,,,,2555,,,53,,5116
