Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Nevis,St. Eustatia,WI,,Bermuda,Boston,Lewes DE,New York,Nova Scotia,Philadelphia,Plymouth NE,Rhode Island,Salem NE,NA,,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,52.41,,0.05,166.62,1.572740367,,,,,0,0,,,,,,,,,3,3,5,,0,0,3,5
Bread,cwt,27.47,,0.05,166.62,0.824330813,,,,,0,0,,,,,,,,,3,3,2,,0,0,3,2
Cash,pence,1,,0.004166667,124.99,0.0033336,3,6,,,9,0,,,,,,,,,,0,0,,0,0,9,0
Cash,pounds,1,,1,124.99,0.800064005,202,209,,,411,329,,20,,128,,,,,87,235,188,,0,0,646,517
Cash,shillings,1,,0.05,124.99,0.0400032,9,12,,,21,1,,,,4,,,,,,4,0,,0,0,25,1
Cheese,cwt,,,,166.62,0,,,,,0,0,,9,,5,,2,9,5,,30,0,,0,0,30,0
Cheese,pounds,,,,166.62,0,,,,,0,0,,,,,,150,,,,150,0,,0,0,150,0
Chocolate,boxes,,,,166.62,0,,,,,0,0,,1,,2,,7,,,,10,0,,0,0,10,0
Coffee,cwt,,,,166.62,0,,,,,0,0,,0.5,,,,,,,,0.5,0,,0,0,0.5,0
Dollars,,0.23,,1,100,0.23,1,,,,1,0,38,,,925,,52,,200,,1215,279,,0,0,1216,279
Ginger,cwt,,,,166.62,0,,,,,0,0,,0.5,,,,,,,,0.5,0,,0,0,0.5,0
Half joes,,0.9,,1,100,0.9,39,,,95,134,121,11,,,37,,32,,,,80,72,,0,0,214,193
Johannes,,1.8,,1,100,1.8,2,,,,2,4,,,,,,,,,,0,0,,0,0,2,4
Loaf sugar,quarters,0.93,,1.4,166.62,0.781418797,,,,,0,0,,8,,,,,,,,8,6,,0,0,8,6
Loaf sugar,casks,0.93,,,166.62,0,,,,,0,0,,,,9,,,,,,9,0,,0,0,9,0
Loaf sugar,cwt,0.93,,5.6,166.62,3.125675189,,,,,0,0,,12,,,,2,2,2,,18,56,,0,0,18,56
Loaf sugar,pounds,0.93,,0.05,166.62,0.027907814,,,,,0,0,,22,,1000,,2087,,,,3109,87,,0,0,3109,87
Loaf sugar,barrels,0.93,,6.25,166.62,3.488476773,,,,,0,0,,,,1,,1,,,,2,7,,0,0,2,7
Molasses,tierces,1.81,,3.05,166.62,3.313227704,,,,1,1,3,,,,3,,,,,,3,10,,0,0,4,13
Molasses,casks,1.81,,3.05,166.62,3.313227704,,,,,0,0,,,,2,,,,,,2,7,,0,0,2,7
Molasses,barrels,1.81,,1.45,166.62,1.575141039,,,,,0,0,,,,1,,,,,,1,2,,0,0,1,2
Molasses,gallons,1.81,,0.05,166.62,0.054315208,360,,,,360,20,,477,,834,,,360,755,520,2946,160,,0,0,3306,180
Molasses,hhds,1.81,,5.05,166.62,5.485836034,,,1,27,28,154,,,1,6,,1,,,,8,44,,0,0,36,198
