Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,New Providence,Bermuda,Boston,New Hampshire,New York,Piscataqua,NA,,London,Bristol,Falmouth,Liverpool,Whitehaven,Ayr,Glasgow,GB,,Dublin,IRE,,Lisbon,Madeira,SEU,,TOTAL,
,,1741,,,,Sterling,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.74,,0.05,146.14,0.137,,943,,943,129,,,506,10,,,516,71,,,,,,,,0,0,,0,0,247,,247,34,1706,234
Beef,barrels,40.63,,0.05,146.14,2.0315,14,27,22,63,128,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,63,128
Bread,pounds,19.58,,0.000446429,146.14,0.008741071,20000,,,20000,175,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,20000,175
Bread,bags,19.58,,0.044642857,146.14,0.874107143,,13,,13,11,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,13,11
Bread,casks,19.58,,0.089285714,146.14,1.748214286,,33,,33,58,,,,,,,0,0,,,,,,,,0,0,42,42,73,9,,9,16,84,147
Cheese,hhds,,,,146.14,0,,,,0,0,,,,1,,,1,0,,,,,,,,0,0,,0,0,,,0,0,1,0
Corn,bushels,2.74,,0.05,146.14,0.137,175,1130,90,1395,191,1000,3900,16988,2500,200,2690,27278,3737,,,,,,,,0,0,,0,0,,2367,2367,324,31040,4252
Deer Skins,,,,,146.14,0,,,,0,0,,,10,,,,10,0,,,,,,,,0,0,,0,0,,,0,0,10,0
Flour,casks,13.66,,,146.14,0,,,,0,0,,,,,,,0,0,,,,,,,,0,0,6,6,0,,,0,0,6,0
Flour,barrels,13.66,,0.089285714,146.14,1.219642857,,10,,10,12,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,10,12
Flour,pounds,13.66,,0.000446429,146.14,0.006098214,10000,,,10000,61,,,,,,,0,0,,,,,,,,0,0,,0,0,,,0,0,10000,61
Furs,barrels,,,,146.14,0,,,,0,0,,,,,,,0,0,,1,,,,,,1,0,,0,0,,,0,0,1,0
