Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Boston,Halifax,New York,Newport,Philadelphia,Piscataway,Rhode Island,Salem,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,Greenock,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1765,,,,Sterling,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,3.01,,0.05,169.9,0.088581519,,12,16,28,2,30,,,,,30,,74,134,12,,,,,,,,,,0,0,,,0,0,162,14
Beef,barrels,58.75,,0.05,169.9,1.728958211,,,,0,0,,,,,,,,,0,0,,,,,,,,,,0,0,6,,6,10,6,10
Bread,barrels,24.92,,0.089285714,169.9,1.309593879,,,20,20,26,,,,,,,,1,1,1,,,,,,,,,,0,0,,,0,0,21,27
Bread,pounds,24.92,,0.000446429,169.9,0.006547969,,,,0,0,,,,40,,,1500,400,1940,13,,,,,,,,,,0,0,,,0,0,1940,13
Cheese,pounds,,,,169.9,0,,,,0,0,,,,,,20,,20,40,0,,,,,,,,,,0,0,,,0,0,40,0
Chocolate,pounds,,,,169.9,0,,,,0,0,50,,,,,,,,50,0,,,,,,,,,,0,0,,,0,0,50,0
Coffee,barrels,,,,169.9,0,,,,0,0,,,,,,,,1,1,0,,,,,,,,,,0,0,,,0,0,1,0
Coffee,bags,,,,169.9,0,,,,0,0,,,,,,,,2,2,0,,,,,,,,,,0,0,,,0,0,2,0
Corn,bushels,3.01,,0.05,169.9,0.088581519,1100,12740,,13840,1226,5065,,7943,900,150,8080,6289,24487,52914,4687,,,,,,,,,,0,0,2135,4381,6516,577,73270,6490
Cotton,pounds,1.87,,0.05,169.9,0.055032372,,,,0,0,580,,,,,,20,30,630,35,,,,,,,,,,0,0,,,0,0,630,35
Flour,barrels,13.5,,0.089285714,169.9,0.709450938,,330,80,410,291,,,,,185,4,56,28,273,194,,,,,,,,,,0,0,444,105,549,389,1232,874
Handspikes,,,,,169.9,0,,,,0,0,,,,,,,,,0,0,72,240,,,,,,,,312,0,,,0,0,312,0
Indigo,casks,,,,169.9,0,,,,0,0,,,,,,,,,0,0,1,,,,,,,,,1,0,,,0,0,1,0
Indigo,pounds,,,,169.9,0,,,,0,0,,,,,,,50,,50,0,,,,,,,,,,0,0,,,0,0,50,0
Iron,tons,8.79,,1,169.9,5.173631548,,,,0,0,,,,,,,,,0,0,130,109.25,,2,115.5,,,,,356.75,1846,,,0,0,356.75,1846
Iron,pounds,8.79,,0.000446429,169.9,0.002309657,,,,0,0,,,,,,,,,0,0,550,,,,,,,,,550,1,,,0,0,550,1
Molasses,barrels,1.76,,1.45,169.9,1.502060035,,,,0,0,,,,,,,,1,1,2,,,,,,,,,,0,0,,,0,0,1,2
Peas,barrels,3.01,,0.175,169.9,0.310035315,,,,0,0,,,,,,,,,0,0,,,,,,,,,,0,0,1,,1,0,1,0
Peas,bushels,3.01,,0.05,169.9,0.088581519,100,1550,262,1912,169,,,294,,65,10,39,293,701,62,,,,,,,,,,0,0,,,0,0,2613,231
Pig iron,tons,8.79,,1,169.9,5.173631548,,,,0,0,,,,,,,,,0,0,320,,,,,,,,,320,1656,,,0,0,320,1656
Pitch,barrels,17.33,,0.05,169.9,0.510005886,,,,0,0,,,,,,,,53,53,27,,,,,,,,,,0,0,,,0,0,53,27
Plank,pieces,10.944,,0.005,169.9,0.032207181,,,,0,0,,,5,,,,,,5,0,42,18,,,,,,,,60,2,,,0,0,65,2
Plank,feet,10.944,,0.0005,169.9,0.003220718,,,,0,0,,,,,,,,2760,2760,9,709,,,,500,800,,,,2009,6,,,0,0,4769,15
Planks,,10.944,,0.005,169.9,0.032207181,,,,0,0,,,50,,,,,,50,2,138,70,,,80,,6,,,294,9,,,0,0,344,11
Pork,pounds,74.36,,0.00025,169.9,0.01094173,,,,0,0,,,,,,270,,1450,1720,19,,,,,,,,,,0,0,,,0,0,1720,19
Pork,barrels,74.36,,0.05,169.9,2.188346086,,348,8,356,779,3,,,,,44,26,46.5,119.5,262,,,,,,,,,,0,0,6,,6,13,481.5,1054
Potatoes,bushels,,,,169.9,0,,,,0,0,,,,,,4,,,4,0,,,,,,,,,,0,0,,,0,0,4,0
Potatoes,barrels,,,,169.9,0,,,,0,0,,,,,,,1,,1,0,,,,,,,,,,0,0,,,0,0,1,0
Rum,barrels,3.02,,5.25,169.9,9.331959976,,,,0,0,,,,,,,,4,4,37,,,,,,,,,,0,0,,,0,0,4,37
Rum,gallons,3.02,,0.05,169.9,0.088875809,,,,0,0,100,,,,,,,18,118,10,,,,,,,,,,0,0,,,0,0,118,10
Rum,casks,3.02,,5.25,169.9,9.331959976,,,,0,0,,,,,,,,,0,0,,,,,2,,,,,2,19,,,0,0,2,19
Rum,puncheons,3.02,,5.25,169.9,9.331959976,,,,0,0,,,,,,,,,0,0,,1,,,,,,,,1,9,,,0,0,1,9
Rye,bushels,3.01,,0.05,169.9,0.088581519,,,,0,0,,,,,,,,16,16,1,,,,,,,,,,0,0,,,0,0,16,1
Shingles,,,,,169.9,0,15000,82450,109030,206480,0,,,,,1000,,,,1000,0,,,,,,,,,,0,0,,,0,0,207480,0
Skins,cases,,,,169.9,0,,,,0,0,,,,,,,,,0,0,,1,,,,,,,,1,0,,,0,0,1,0
Skins,bundles,,,,169.9,0,,,,0,0,,,,,,,,,0,0,1,,,,,,,,,1,0,,,0,0,1,0
Skins,hhds,,,,169.9,0,,,,0,0,,,,,,,,,0,0,28,,,,,12,,,,40,0,,,0,0,40,0
Skins,,,,,169.9,0,,,,0,0,,,,,,,36,,36,0,,,,,,,,,,0,0,,,0,0,36,0
Skins,barrels,,,,169.9,0,,,,0,0,,,,,,,,,0,0,1,,,,,,,,,1,0,,,0,0,1,0
Spirits,barrels,3.02,,5.25,169.9,9.331959976,,,,0,0,,,,,2,,,,2,19,,,,,,,,,,0,0,,,0,0,2,19
Staves,,6.84,,0.001,169.9,0.004025898,,3150,,3150,13,4450,,,,1000,4000,9500,,18950,76,73424,38440,5600,1200,29600,10500,8000,,,166764,671,,,0,0,188864,760
Tar,barrels,12.4,,0.05,169.9,0.364920541,,,56,56,20,,,,,,2,,28,30,11,,,,,,,,,,0,0,,,0,0,86,31
Tea,pounds,6.96,,0.05,169.9,0.204826368,,,,0,0,10,,,,,,,,10,2,,,,,,,,,,0,0,,,0,0,10,2
Tobacco,hhds,18.13,,0.555,169.9,5.922395527,,13,,13,77,,,2,,,2,8,10,22,130,3176,1811,192,356,1843,605,237,,,8220,48682,,,0,0,8255,48889
Turpentine,barrels,17.55,,0.05,169.9,0.516480283,,,,0,0,,,,,,,,4,4,2,,,,,,,,,,0,0,,,0,0,4,2
Wax,hhds,,,,169.9,0,,,,0,0,,,,,,,,,0,0,1,,,,,,,,,1,0,,,0,0,1,0
