Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Leeward Islands,WI,,Bermuda,Boston,Piscataqua,NA,,London,Bristol,Falmouth,Liverpool,Whitehaven,Dumfries,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1744,,,,Sterling,,,,,Quantity,Value,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.53,,0.05,166.67,0.045899082,,,,,0,0,,30,,30,1,,,,,,,,0,0,,0,0,30,1
Beef,barrels,41.94,,0.05,166.67,1.258174837,,10,10,,20,25,,4,,4,5,,,,,,,,0,0,,0,0,24,30
Bread,pounds,13.32,,0.000446429,166.67,0.003567786,,,4900,,4900,17,,,,0,0,,,,,,,,0,0,8989,8989,32,13889,49
Corn,bushels,1.53,,0.05,166.67,0.045899082,600,7285,2038,,9923,455,4400,4700,2500,11600,532,,,,,,,,0,0,,0,0,21523,987
Corn and peas,bushels,1.53,,0.05,166.67,0.045899082,,,,600,600,28,,,,0,0,,,,,,,,0,0,,0,0,600,28
Deer Skins,,,,,166.67,0,,,,,0,0,,7,,7,0,,,,,,,,0,0,,0,0,7,0
Flour,barrels,7.68,,0.089285714,166.67,0.411420343,,,,,0,0,,,,0,0,,,,,,,,0,0,4,4,2,4,2
Heading,pieces,2.96,,0.001,166.67,0.001775964,,,,,0,0,,,,0,0,,,,,,,600,600,1,,0,0,600,1
Logs (walnut),,,,,166.67,0,,,,,0,0,,,,0,0,,4,,,,,,4,0,,0,0,4,0
Logs (walnut),feet,,,,166.67,0,,,,,0,0,,,,0,0,,,,,50,,,50,0,,0,0,50,0
Peas,bushels,1.53,,0.05,166.67,0.045899082,84.5,278,1076,,1438.5,66,180,150,100,430,20,,,,,,,,0,0,1150,1150,53,3018.5,139
Plank,feet,4.736,,0.0005,166.67,0.001420772,,,,,0,0,,,,0,0,200,,,,1706,,600,2506,4,,0,0,2506,4
Planks,,4.736,,0.005,166.67,0.014207716,,,,,0,0,,,,0,0,,4,,,,,,4,0,,0,0,4,0
Pork,barrels,60.49,,0.05,166.67,1.814663707,29,627,145,44,845,1533,266,,33,299,543,,,,,,,,0,0,,0,0,1144,2076
Shingles,,,,,166.67,0,10000,40000,13000,,63000,0,,,,0,0,,,,,,,37000,37000,0,,0,0,100000,0
Skins,casks,,,,166.67,0,,,,,0,0,,,,0,0,,1,,,,,,1,0,,0,0,1,0
Skins,hhds,,,,166.67,0,,,,,0,0,,,,0,0,16,18,,,,,,34,0,,0,0,34,0
Skins,barrels,,,,166.67,0,,,,,0,0,,,,0,0,,5,,,,,,5,0,,0,0,5,0
Staves,,2.96,,0.001,166.67,0.001775964,,,,,0,0,,,,0,0,3000,19350,4000,1000,18800,6000,96100,148250,263,,0,0,148250,263
Tobacco,hhds,12.65,,0.483,166.67,3.665896682,,11,,,11,40,,,,0,0,1284,1408.5,133,200,1119,416,4257,8817.5,32324,,0,0,8828.5,32364
Tobacco,barrels,12.65,,0.2415,166.67,1.832948341,,,,,0,0,,,,0,0,,,,,14,,,14,26,,0,0,14,26
Wheat,bushels,2.49,,0.05,166.67,0.074698506,,,,,0,0,,1000,200,1200,90,,,,,,,,0,0,7482,7482,559,8682,649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2164,,,,,1191,,,,,,,,,32618,,,646,,36619
