Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,Piscataqua,NA,,London,Bristol,Plymouth,Whitehaven,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1732,,,,Sterling,,,,,Quantity,Value,,,,Quanttity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,30.33,,0.05,160.9,0.942510876,,,,,0,0,,11,,0,0,,,,,,0,0,,0,0,0,0
Corn,bushels,1.81,,0.05,160.9,0.056246116,880,2962,3900,1700,9442,531,7112,1800,3500,3500,197,,,,,,0,0,,0,0,12942,728
Deer Skins,,,,,160.9,0,,,,,0,0,,,,0,0,44,,,,,44,0,,0,0,44,0
Deer Skins,bundles,,,,160.9,0,,,,,0,0,,,,0,0,1,,,,,1,0,,0,0,1,0
Flour,barrels,8.17,,0.089285714,160.9,0.453365,,3,,,3,1,,,,0,0,,,,,,0,0,,0,0,3,1
Logs (walnut),feet,,,,160.9,0,,,,,0,0,,,,0,0,,,,60,,60,0,,0,0,60,0
Peas,bushels,1.18,,0.05,160.9,0.036668738,,,,,0,0,8,,,0,0,,,,,,0,0,,0,0,0,0
Pig iron,tons,,,,160.9,0,,,,,0,0,,,,0,0,40,,,,,40,0,,0,0,40,0
Pitch,barrels,13.75,,0.05,160.9,0.427284027,,,,,0,0,,,,0,0,,46,,,,46,20,,0,0,46,20
Plank,feet,3.6,,0.0005,160.9,0.001118707,,1500,,700,2200,2,,,,0,0,5401,,700,2373,2200,10674,12,,0,0,12874,14
Plank,pieces,3.6,,0.005,160.9,0.011187073,19,,,,19,0,,,,0,0,,,,,,0,0,,0,0,19,0
Planks,,3.6,,0.005,160.9,0.011187073,,,,,0,0,4,,,0,0,471,230,,,,701,8,,0,0,701,8
Pork,hhds,49.41,,0.1,160.9,3.070851461,,,,,0,0,,2,,0,0,,,,,,0,0,,0,0,0,0
Pork,pounds,49.41,,0.00025,160.9,0.007677129,,,,,0,0,36111,,8000,8000,61,,,,,,0,0,,0,0,8000,61
Pork,casks,49.41,,,160.9,0,,3,1,,4,0,,,,0,0,,,,,,0,0,,0,0,4,0
Pork,barrels,49.41,,0.05,160.9,1.53542573,81,366,21,,468,719,30,20,6,6,9,,,,,,0,0,14,14,21,488,749
Potatoes,hhds,,,,160.9,0,,,,,0,0,,1,,0,0,,,,,,0,0,,0,0,0,0
Rum,hhds,2.5,,65.3,160.9,101.4605345,,,,0.5,0.5,51,,,,0,0,,,,,,0,0,,0,0,0.5,51
Shingles,,,,,160.9,0,,8000,,,8000,0,,,,0,0,,,,,,0,0,,0,0,8000,0
Skins,hhds,,,,160.9,0,,,,,0,0,,,,0,0,29,,,,,29,0,,0,0,29,0
Skins,tierces,,,,160.9,0,,,,,0,0,,,,0,0,3,,,,,3,0,,0,0,3,0
Skins,casks,,,,160.9,0,,,,,0,0,,,,0,0,1,,,,,1,0,,0,0,1,0
Skins,,,,,160.9,0,,,,,0,0,,100,,0,0,7,,,,,7,0,,0,0,7,0
Skins,barrels,,,,160.9,0,,,,,0,0,,,,0,0,20,,,,,20,0,,0,0,20,0
Skins,bundles,,,,160.9,0,,,,,0,0,,,,0,0,3,,,,,3,0,,0,0,3,0
Staves,,2.25,,0.001,160.9,0.001398384,,2000,,,2000,3,,,,0,0,118700,6500,500,26200,29000,180900,253,,0,0,182900,256
Staves (pipes),,3,,0.001,160.9,0.001864512,,,,,0,0,,,,0,0,,,,,,0,0,2000,2000,4,2000,4
Tar,barrels,10.1,,0.05,160.9,0.31385954,,,,,0,0,,,,0,0,,512,,,,512,161,,0,0,512,161
Tobacco,barrels,15.53,,0.20175,160.9,1.947282474,,2,,,2,4,,,,0,0,,,,,1,1,2,,0,0,3,6
Tobacco,hhds,15.53,,0.4035,160.9,3.894564947,,2,,,2,8,,,,0,0,1930,105,192,254,912,3393,13214,,0,0,3395,13222
Wax,pounds,,,,160.9,0,,,,,0,0,6,4,5,5,0,,,,,,0,0,,0,0,5,0
Wheat,bushels,2.7,,0.05,160.9,0.083903045,,,,,0,0,,4944,,0,0,,,,,,0,0,5100,5100,428,5100,428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1319,,,,,267,,,,,,,13670,,,453,,15709
