Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Dominica,WI,,Bermuda,Boston,Charlestown,Nantucket,New York,Philadelphia,Piscataqua,Portsmouth,Rhode Island,Salem,NA,,London,Bristol,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,Greenock,GB,,Dublin,IRE,,Cadiz,Madeira,Teneriff,SEU,,TOTAL,
,,1764,,,,Sterling,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.74,,0.05,172.86,0.079254888,,,,0,0,,29,,,,,,,5,41,75,6,,,,,,,,,0,0,,0,0,,,,0,0,75,6
Bread,tierces,23.84,,0.11875,172.86,1.637741525,,,,0,0,,,50,,,,,,,,50,82,,,,,,,,,0,0,,0,0,,,,0,0,50,82
Corn,bushels,2.74,,0.05,172.86,0.079254888,11093.5,8369.5,2300,21763,1725,8800,11944,2300,,146.5,,3600,1057,1800,9020,38667.5,3065,,,,510,,,,,510,40,,0,0,,1944,1200,3144,249,64084.5,5079
Cotton,bags,1.87,,6,172.86,6.490801805,,,,0,0,,,,,,,,,,,0,0,,,,,,,16,,16,104,,0,0,,,,0,0,16,104
Flaxseed,bags,8.47,,,172.86,0,,,,0,0,,,,,1,,,,,,1,0,,,,,,,,,0,0,,0,0,,,,0,0,1,0
Flour,barrels,12.81,,0.089285714,172.86,0.661662617,25,266,,291,193,,,,,,,100,,50,2,152,101,,,,,,,,,0,0,,0,0,,80,,80,53,523,347
Handspikes,,,,,172.86,0,,,,0,0,,,,,,,,,,,0,0,252,,,60,,,,,312,0,,0,0,,,,0,0,312,0
Heading,pieces,5.4,,0.001,172.86,0.003123915,,,,0,0,,,,,,,,,,,0,0,3500,,,,,,,,3500,11,,0,0,,,,0,0,3500,11
Hoops,,,,,172.86,0,,,,0,0,,,,,,,,,,,0,0,,,,,,,2300,1150,3450,0,,0,0,,,,0,0,3450,0
Indigo,casks,,,,172.86,0,,,,0,0,,,,,,,,,,,0,0,,,,,,,4,,4,0,,0,0,,,,0,0,4,0
Indigo,barrels,,,,172.86,0,,,,0,0,,,,,,,,,,,0,0,,,,,,,7,1,8,0,,0,0,,,,0,0,8,0
Logs (walnut),,,,,172.86,0,,,,0,0,,,,,,,,,,11,11,0,4,,,50,12,,12,,78,0,,0,0,,,,0,0,89,0
Molasses,tierces,1.63,,3.2,172.86,3.017470786,,,,0,0,,,,,,,,,,1,1,3,,,,,,,,,0,0,,0,0,,,,0,0,1,3
Molasses,hhds,1.63,,5.3,172.86,4.997685989,,,,0,0,,,,,,,,,,1,1,5,,,,,,,,,0,0,,0,0,,,,0,0,1,5
Negroes,,34.74,,1,100,34.74,4,,,4,139,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,0,0,4,139
Oats,bushels,2.74,,0.05,172.86,0.079254888,,466,,466,37,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,0,0,466,37
Peas,bushels,2.74,,0.05,172.86,0.079254888,468.5,219,100,787.5,62,320,248,,,13,,50,8,,172,811,64,,,,,,,,,0,0,,0,0,,585,,585,46,2183.5,172
Pig iron,tons,8.5,,1,172.86,4.917274095,,,,0,0,,,,,,,,,,,0,0,28,,5,30,,,40,,103,506,,0,0,,,,0,0,103,506
Plank,feet,8.64,,0.0005,172.86,0.002499132,,4000,,4000,10,,51,,,2000,,,300,,250,2601,7,312,500,,400,1000,133,4075,1400,7820,20,,0,0,,4340,,4340,11,18761,48
Plank,pieces,8.64,,0.005,172.86,0.024991322,,,,0,0,,,,,5,,,,,,5,0,,,,,,,,,0,0,,0,0,,,,0,0,5,0
Planks,,8.64,,0.005,172.86,0.024991322,,,,0,0,,20,,,,,,,,,20,0,,,,196,268,,336,,800,20,,0,0,,,,0,0,820,20
Pork,barrels,98.26,,0.05,172.86,2.842184427,,34,,34,97,225,410,,,,,60,,35,79,809,2299,,,,,,,,,0,0,,0,0,,,70,70,199,913,2595
Pork,hhds,98.26,,0.1,172.86,5.684368853,,,,0,0,,,,,,,,,2,,2,11,,,,,,,,,0,0,,0,0,,,,0,0,2,11
Pork,pounds,98.26,,0.00025,172.86,0.014210922,,,,0,0,,,,,,,,200,2763,1079,4042,57,,,,,,,,,0,0,,0,0,,,,0,0,4042,57
Potatoes,bushels,,,,172.86,0,,,,0,0,,,,,334,,,,,,334,0,,,,,,,,,0,0,,0,0,,,,0,0,334,0
Rice,barrels,14.52,,,172.86,0,,,,0,0,,,,,,,,,,,0,0,5,,,,,,,,5,0,,0,0,,,,0,0,5,0
Rum,hhds,3.26,,5.25,172.86,9.901076015,,,,0,0,,,,,,,,,,2,2,20,2,,,,,,,,2,20,,0,0,5,,,5,50,9,90
Rum,barrels,3.26,,1.5,172.86,2.828878862,,,,0,0,,,,,,,,,1,4,5,14,,,,,,,,,0,0,,0,0,,,,0,0,5,14
Shingles,,,,,172.86,0,19000,38000,,57000,0,20000,,,,24360,,,,,1500,45860,0,,,,,,,,,0,0,,0,0,,,,0,0,102860,0
Skins,hhds,,,,172.86,0,,,,0,0,,,,,,,,,,,0,0,90,,1,1,,,41,33,166,0,,0,0,,,,0,0,166,0
Skins,boxes,,,,172.86,0,,,,0,0,,,,,,,,,,,0,0,1,,,,,,,,1,0,,0,0,,,,0,0,1,0
Staves,,5.4,,0.001,172.86,0.003123915,8760,6000,,14760,46,,250,,,,,,,400,7000,7650,24,106224,46400,,53200,19000,10000,278050,60900,573774,1792,6000,6000,19,7000,2750,8000,17750,55,619934,1936
Staves (pipes),,9.18,,0.001,172.86,0.005310656,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,250,,250,1,250,1
Sugar,barrels,48.73,,0.15,172.86,4.22856647,,,,0,0,,,,,2,,,,,,2,8,,,,,,,,,0,0,,0,0,,,,0,0,2,8
Tar,barrels,12.36,,0.05,172.86,0.357514752,,,,0,0,,,,,,,,,,,0,0,,,,,,,140,521,661,236,,0,0,,,,0,0,661,236
Tobacco,hhds,17.71,,0.558,172.86,5.716869143,12,9,,21,120,2,8,,,42,,,,,,52,297,,1171,181,1958,1395,191,8193,1924,15013,85827,,0,0,,,,0,0,15086,86244
Turpentine,barrels,16.75,,0.05,172.86,0.484496124,,,,0,0,,,,,150,,,,,,150,73,,,,,,,,55,55,27,,0,0,,,,0,0,205,100
Wax,hhds,,,,172.86,0,,,,0,0,,,,,,,,,,,0,0,1,,,,,,,,1,0,,0,0,,,,0,0,1,0
Wax,pounds,,,,172.86,0,190,,,190,0,,,,,,,,,,,0,0,,,,,76,,,,76,0,,0,0,,300,200,500,0,766,0
Wheat,bushels,4.6,,0.05,172.86,0.133055652,,,,0,0,,6158,,250,4400,1800,20,243,12,2892,15775,2099,5079,,,,,,,,5079,676,5030,5030,669,2950,4487,,7437,990,33321,4434
Wine,casks,50.56,,0.25,172.86,7.31227583,,,,0,0,,10,,,,,,,,,10,73,,,,,,,,,0,0,,0,0,,,,0,0,10,73
Wine,quarter casks,50.56,,0.25,172.86,7.31227583,,,,0,0,,,,,,,,,,,0,0,4,,,,,,,,4,29,,0,0,,,,0,0,4,29
Wine,pipes,50.56,,1,172.86,29.24910332,,,,0,0,,,,,,,,,,,0,0,1,,,1,,2,9.5,2,15.5,453,,0,0,,,,0,0,15.5,453
Wine,boxes,50.56,,,172.86,0,,6,,6,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,0,0,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2429,,,,,,,,,,,,8308,,,,,,,,,,89761,,,688,,,,,1654,,102840
