Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Barbadoes,WI,,Bermuda,Boston,Philadelphia,NA,,Isle of May,SEU,,TOTAL,
,,1755,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,22.13,,1,168.79,13.11096629,,,0,0,,,4,4,52,,0,0,4,52
Bread,kegs,21.64,,0.044642857,168.79,0.572351104,,,0,0,,,59,59,34,,0,0,59,34
Chocolate,pounds,,,,168.79,0,,,0,0,,,300,300,0,,0,0,300,0
Coffee,hhds,,,,168.79,0,,,0,0,,,1,1,0,,0,0,1,0
Coffee,barrels,,,,168.79,0,,,0,0,,,5,5,0,,0,0,5,0
Molasses,hhds,1.89,,5.05,168.79,5.654659636,4,,4,23,,6,18,24,136,,0,0,28,159
Rice,tierces,16.5,,,168.79,0,,,0,0,,,1,1,0,,0,0,1,0
Rum,hhds,2.84,,5.25,168.79,8.833461698,41,190,231,2041,34,5,24,63,557,,0,0,294,2598
Rum,barrels,2.84,,1.45,168.79,2.439717993,,,0,0,,,16,16,39,,0,0,16,39
Rum,tierces,2.84,,1.5,168.79,2.523846199,2,3,5,13,,,,0,0,,0,0,5,13
Salt,bushels,1.515,,0.05,168.79,0.044878251,400,1000,1400,63,,,,0,0,11000,11000,494,12400,557
Sugar,casks,48.39,,0.15,168.79,4.300314,4,,4,17,,,,0,0,,0,0,4,17
Sugar,barrels,48.39,,0.15,168.79,4.300314,11,70,81,348,,,6,6,26,,0,0,87,374
Wine,quarter casks,29.56,,0.25,168.79,4.378221459,,,0,0,,,21,21,92,,0,0,21,92
Wine,hhds,29.56,,0.5,168.79,8.756442917,,2,2,18,,,,0,0,,0,0,2,18
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,2523,,,,,936,,,494,,3953
