Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Turks Island,Bermuda,Boston,Philadelphia,NA,,Whitehaven,GB,,Gambia,AFR,,Gibraltar,SEU,,TOTAL,
,,1744,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,166.67,0,,0,0,,,850,,850,0,,0,0,,0,0,,0,0,850,0
Coffee,pounds,,,,166.67,0,,0,0,,111,,,111,0,,0,0,,0,0,,0,0,111,0
Indigo,pounds,6.67,,0.05,166.67,0.400191996,,0,0,,28,,,28,11,,0,0,,0,0,,0,0,28,11
Molasses,hhds,1.8,,5.05,166.67,10.90778184,,0,0,,,2,10,12,131,,0,0,,0,0,,0,0,12,131
Molasses,gallons,1.8,,0.05,166.67,0.10799784,540,540,58,,,2000,,2000,216,,0,0,,0,0,,0,0,2540,274
Negroes,,31.05,,1,100,62.1,6,6,373,,,,,0,0,,0,0,114,114,7079,,0,0,120,7452
Rum,gallons,3.2,,0.05,166.67,0.19199616,5830,5830,1119,75,320,4010,100,4505,865,,0,0,,0,0,,0,0,10335,1984
Salt,hhds,2.19,,0.35,166.67,0.919781604,,0,0,,,4,,4,4,,0,0,,0,0,,0,0,4,4
Salt,bushels,2.19,,0.05,166.67,0.131397372,,0,0,1500,500,,,2000,263,,0,0,,0,0,,0,0,2000,263
Servants,,11.29090909,,1,100,22.58181818,,0,0,,,,,0,0,1,1,23,,0,0,,0,0,1,23
Spirits,gallons,3.2,,0.05,166.67,0.19199616,,0,0,,,30,,30,6,,0,0,,0,0,,0,0,30,6
Staves,,2.96,,0.001,166.67,0.003551929,,0,0,,,,8000,8000,28,,0,0,,0,0,,0,0,8000,28
Sugar,pounds,49.97,,0.000446429,166.67,0.026769107,,0,0,,800,,,800,21,,0,0,,0,0,,0,0,800,21
Sugar,barrels,49.97,,0.15,166.67,8.994420112,,0,0,,,2,,2,18,,0,0,,0,0,,0,0,2,18
Sugar,cwt,49.97,,0.05,166.67,2.998140037,40,40,120,,,,,0,0,,0,0,,0,0,,0,0,40,120
Sugar,hhds,49.97,,0.596428571,166.67,35.76352759,,0,0,,,,5,5,179,,0,0,,0,0,,0,0,5,179
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,1670,,,,,,1742,,,23,,,7079,,,0,,10514
