Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Nevis,St. Christophers,WI,,Turks Island,Bermuda,Boston,Philadelphia,Salem,NA,,London,GB,,Isle of May,SEU,,TOTAL,
,,1754,,,,Sterling,,,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,168.35,0,,,,,,0,0,,,500,,,500,0,,0,0,,0,0,500,0
Cheese,casks,,,,168.35,0,,,,,,0,0,,,2,,,2,0,,0,0,,0,0,2,0
Chocolate,pounds,,,,168.35,0,,,,,,0,0,,,,150,,150,0,,0,0,,0,0,150,0
Coffee,barrels,,,,168.35,0,,,,,,0,0,,,,5,,5,0,,0,0,,0,0,5,0
Molasses,tierces,2,,3.05,168.35,3.623403623,,,,,,0,0,,,7,1,3,11,40,,0,0,,0,0,11,40
Molasses,hhds,2,,5.05,168.35,5.999405999,,,,,,0,0,,,5,,4,9,54,,0,0,,0,0,9,54
Potatoes,bushels,,,,168.35,0,,,,,,0,0,,,,,20,20,0,,0,0,,0,0,20,0
Refined sugar,pounds,1.06,,0.05,168.35,0.031482031,,,,,,0,0,,,400,,6,406,13,,0,0,,0,0,406,13
Rice,tierces,17.06,,,168.35,0,,,,,,0,0,,,,1,,1,0,,0,0,,0,0,1,0
Rum,tierces,3.22,,3,168.35,5.738045738,,,,,12,12,69,,,,,,0,0,,0,0,,0,0,12,69
Rum,barrels,3.22,,1.45,168.35,2.773388773,,,,,,0,0,,,5,,,5,14,,0,0,,0,0,5,14
Rum,gallons,3.22,,0.05,168.35,0.095634096,,3660,6330,328,,10318,987,,,,,,0,0,,0,0,,0,0,10318,987
Rum,hhds,3.22,,5.25,168.35,10.04158004,3,,22,,15,40,402,,,4,29,8,41,412,,0,0,,0,0,81,814
Salt,bushels,1.55,,0.05,168.35,0.046035046,1600,1500,,,1800,4900,226,1500,700,,30,,2230,103,3840,3840,177,15000,15000,691,25970,1197
Salt,hhds,1.55,,0.35,168.35,0.322245322,,,,,,0,0,,,6,,12,18,6,,0,0,,0,0,18,6
Servants,,12.03636364,,1,100,12.03636364,,,,,,0,0,,,,,,0,0,88,88,1059,,0,0,88,1059
Sugar,barrels,50.85,,0.15,168.35,4.530739531,,10,14,,,24,109,,12,6,,4,22,100,,0,0,,0,0,46,209
Sugar,hhds,50.85,,0.609375,168.35,18.40612934,14,,,,,14,258,,3,1,,,4,74,,0,0,,0,0,18,332
Sugar,tierces,50.85,,0.466964286,168.35,14.10462366,2,,,,,2,28,,,,,,0,0,,0,0,,0,0,2,28
Wine,hhds,28.96,,0.5,168.35,8.601128601,,,5,,,5,43,,,,,,0,0,,0,0,,0,0,5,43
Wine,pipes,28.96,,1,168.35,17.2022572,,,13,,15,28,482,,,,,,0,0,,0,0,,0,0,28,482
Wine,quarter casks,28.96,,0.25,168.35,4.300564301,,,4,,,4,17,,,6,13,,19,82,,0,0,,0,0,23,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,2621,,,,,,,898,,,1236,,,691,,5446
