Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,Jamaica,WI,,Bermuda,Boston,NA,,Liverpool,Dumfries,GB,,Guinea,AFR,,TOTAL,
,,1733,,,,Sterling,,,Quantity,Value,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Molasses,hhds,1.39,,5.05,166.94,4.204804121,,,0,0,4,10,14,59,,,0,0,,0,0,14,59
Molasses,casks,1.39,,3.05,166.94,2.539535162,,2,2,5,,,0,0,4,,4,10,,0,0,6,15
Negroes,,18.5,,1,100,18.5,227,,227,4200,,,0,0,,,0,0,194,194,3589,421,7789
Rum,tierces,2.3,,3,166.94,4.133221517,16,,16,66,5,,5,21,12,16,28,116,,0,0,49,203
Rum,hhds,2.3,,5.25,166.94,7.233137654,84,,84,608,,9,9,65,10,28,38,275,,0,0,131,948
Rum,barrels,2.3,,1.45,166.94,1.997723733,13,2,15,30,1,15,16,32,20,13,33,66,,0,0,64,128
Salt,bushels,2.36,,0.05,166.94,0.070684078,,1000,1000,71,1000,710,1710,121,,,0,0,,0,0,2710,192
Sugar,barrels,28.94,,0.175,166.94,3.033724692,12,6,18,55,,9,9,27,7,20,27,82,,0,0,54,164
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,5035,,,,325,,,,549,,,3589,,9498
