Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bath NC,Philadelphia,South Carolina,NA,,Guinea,AFR,,Isle of May,SEU,,TOTAL,
,,1737,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Molasses,hhds,1.58,,5.05,170.25,4.686637298,,2,2,9,,,2,2,9,,0,0,,0,0,4,18
Negroes,,18.5,,1,100,18.5,20,2,22,407,,,,0,0,232,232,4292,,0,0,254,4699
Pitch,barrels,10.85,,0.05,170.25,0.318649046,,,0,0,21,,,21,7,,0,0,,0,0,21,7
Pork,barrels,54.44,,0.05,170.25,1.598825257,,,0,0,1,,,1,2,,0,0,,0,0,1,2
Rice,barrels,17.44,,,170.25,0,,,0,0,,,2,2,0,,0,0,,0,0,2,0
Rum,hhds,2.65,,5.25,170.25,8.171806167,2,,2,16,,,,0,0,,0,0,,0,0,2,16
Rum,gallons,2.65,,0.05,170.25,0.077826725,1345,14445,15790,1229,,700,314,1014,79,,0,0,,0,0,16804,1308
Salt,bushels,1.73,,0.05,170.25,0.050807636,7100,200,7300,371,,,340,340,17,,0,0,2500,2500,127,10140,515
Sugar,casks,35.64,,0.15,170.25,3.140088106,,25,25,79,,,,0,0,,0,0,,0,0,25,79
Sugar,barrels,35.64,,0.15,170.25,3.140088106,,37,37,116,,,2,2,6,,0,0,,0,0,39,122
Tar,barrels,8.56,,0.05,170.25,0.251395007,,,0,0,35,,,35,9,,0,0,,0,0,35,9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,2227,,,,,129,,,4292,,,127,,6775
